 Date Time CO NO2 CHX NO PM10
 05.03.13 00:00 0.07 0.29 ---- 0.07 0.05
 -------- 01:00 0.08 0.27 ---- 0.05 0.04
 -------- 02:00 0.07 0.26 ---- 0.07 0.03
 -------- 03:00 0.07 0.32 ---- 0.11 0.03
 -------- 04:00 0.07 0.30 ---- 0.07 0.03
 05.03.13 05:00 0.08 0.34 ---- 0.12 0.03
 -------- 06:00 0.09 0.43 ---- 0.22 0.04
 -------- 07:00 0.15 0.51 ---- 0.30 0.06
 -------- 08:00 0.19 0.52 ---- 0.50 0.07
 -------- 09:00 0.31 0.55 ---- 0.79 0.11
 05.03.13 10:00 0.27 0.61 ---- 0.56 0.13
 -------- 11:00 0.15 0.58 ---- 0.35 0.09
 -------- 12:00 0.11 0.44 1.46 0.19 0.03
 -------- 13:00 0.08 0.33 1.31 0.14 0.06
 -------- 14:00 0.09 0.37 1.45 0.15 0.06
 05.03.13 15:00 0.08 0.32 1.46 0.11 0.06
 -------- 16:00 0.07 0.31 1.43 0.10 0.07
 -------- 17:00 0.07 0.35 1.41 0.09 0.05
 -------- 18:00 0.10 0.45 1.45 0.12 0.06
 -------- 19:00 0.07 0.43 1.43 0.04 0.05
 05.03.13 20:00 0.20 0.50 1.54 0.24 0.08
 -------- 21:00 0.37 0.56 1.61 0.67 0.09
 -------- 22:00 0.51 0.58 1.77 0.91 0.10
 -------- 23:00 0.47 0.62 1.83 0.95 0.12
 -------- 00:00 0.42 0.61 1.86 0.89 0.11
 06.03.13 01:00 0.18 0.57 1.59 0.32 0.11
 -------- 02:00 0.14 0.55 1.56 0.25 0.07
 -------- 03:00 0.13 0.56 1.55 0.23 0.10
 -------- 04:00 0.13 0.57 1.58 0.24 0.11
 -------- 05:00 0.10 0.54 1.53 0.20 0.08
 06.03.13 06:00 0.09 0.52 1.50 0.17 0.07
 -------- 07:00 0.13 0.52 1.52 0.20 0.08
 -------- 08:00 0.13 0.51 1.52 0.23 0.07
 -------- 09:00 0.15 0.51 1.53 0.24 0.08
 -------- 10:00 0.16 0.49 1.52 0.27 0.09
 06.03.13 11:00 0.15 0.46 1.54 0.24 0.09
 -------- 12:00 0.14 0.42 1.51 0.21 0.10
 -------- 13:00 0.13 0.38 1.47 0.17 0.10
 -------- 14:00 0.10 0.38 1.43 0.14 0.08
 -------- 15:00 0.11 0.41 1.44 0.15 0.08
 06.03.13 16:00 0.10 0.36 1.43 0.09 0.08
 -------- 17:00 0.07 0.26 1.40 0.02 0.06
 -------- 18:00 0.07 0.28 1.41 0.01 0.04
 -------- 19:00 0.07 0.33 1.40 0.00 0.05
 -------- 20:00 0.06 0.30 1.35 0.00 0.05
 06.03.13 21:00 0.06 0.26 1.34 ---- 0.04
 -------- 22:00 0.06 0.26 1.36 ---- 0.06
 -------- 23:00 0.05 0.25 1.34 0.00 0.06
