 Date Time CO SO2 H2S NO2 CHX NO PM10
 10.04.13 00:00 0.14 0.01 0.31 0.65 6.44 0.07 0.10
 -------- 01:00 0.13 0.01 0.50 0.64 8.20 0.07 0.10
 -------- 02:00 0.12 0.01 0.46 0.60 6.32 0.05 0.08
 -------- 03:00 0.12 0.01 0.54 0.61 7.74 0.05 0.08
 -------- 04:00 0.13 0.01 0.54 0.63 8.18 0.09 0.08
 10.04.13 05:00 0.13 0.01 0.79 0.64 11.99 0.11 0.10
 -------- 06:00 0.11 0.01 0.67 0.64 7.53 0.09 0.08
 -------- 07:00 0.11 0.02 0.50 0.58 5.16 0.10 0.08
 -------- 08:00 0.12 0.02 0.25 0.42 2.68 0.07 0.07
 -------- 09:00 0.09 0.02 0.21 0.34 1.88 0.07 0.08
 10.04.13 10:00 0.06 0.04 0.29 0.27 1.49 0.06 0.07
 -------- 11:00 0.04 0.03 0.42 0.23 1.53 0.05 0.07
 -------- 12:00 0.04 0.02 0.25 0.19 1.47 0.05 0.06
 -------- 13:00 0.02 0.01 0.12 0.10 1.41 0.04 0.02
 -------- 14:00 0.02 0.01 0.12 0.10 1.40 0.03 0.02
 10.04.13 15:00 0.02 0.01 0.12 0.11 1.40 0.03 0.03
 -------- 16:00 0.02 0.01 0.12 0.10 1.37 0.03 0.02
 -------- 17:00 0.02 0.01 ---- 0.12 1.37 0.03 0.02
 -------- 18:00 0.02 0.00 ---- 0.13 1.37 0.03 0.03
 -------- 19:00 0.02 0.01 0.25 0.16 1.52 0.03 0.03
 10.04.13 20:00 0.03 0.01 0.19 0.33 1.59 0.05 0.07
 -------- 21:00 0.05 0.01 0.12 0.32 1.68 0.04 0.08
 -------- 22:00 0.08 0.01 0.12 0.50 3.18 0.07 0.10
 -------- 23:00 0.07 0.02 0.33 0.30 5.61 0.03 0.06
 -------- 00:00 0.04 0.01 0.12 0.23 2.01 0.03 0.04
 11.04.13 01:00 0.05 0.02 0.29 0.24 3.11 0.03 0.05
 -------- 02:00 0.04 0.01 0.29 0.20 2.56 0.03 0.06
 -------- 03:00 0.03 0.01 0.17 0.16 2.00 0.03 0.06
 -------- 04:00 0.03 0.01 0.17 0.16 1.98 0.03 0.04
 -------- 05:00 0.03 0.01 0.21 0.22 4.84 0.03 0.04
 11.04.13 06:00 0.03 0.02 0.38 0.29 5.87 0.03 0.05
 -------- 07:00 0.10 0.04 0.75 0.45 9.26 0.06 0.08
 -------- 08:00 0.13 0.04 0.62 0.49 5.87 0.11 0.12
 -------- 09:00 0.11 0.03 0.42 0.35 2.79 0.08 0.10
 -------- 10:00 0.08 0.02 0.25 0.26 1.76 0.06 0.09
 11.04.13 11:00 0.05 0.02 0.25 0.16 1.46 0.04 0.05
 -------- 12:00 0.04 0.01 0.17 0.10 1.40 0.04 0.02
 -------- 13:00 0.04 0.01 0.17 0.10 1.38 0.03 0.03
 -------- 14:00 0.05 0.01 0.12 0.14 1.37 0.04 0.04
 -------- 15:00 0.04 0.01 0.12 0.12 1.38 0.03 0.03
 11.04.13 16:00 0.04 0.01 0.17 0.14 1.41 0.04 0.04
 -------- 17:00 0.04 0.01 0.12 0.14 1.41 0.03 0.04
 -------- 18:00 0.04 0.01 0.17 0.15 1.43 0.03 0.04
 -------- 19:00 0.05 0.01 0.17 0.13 1.51 0.03 0.04
 -------- 20:00 0.05 0.01 0.12 0.16 1.55 0.03 0.04
 11.04.13 21:00 0.06 0.02 0.17 0.20 2.28 0.03 0.06
 -------- 22:00 0.06 0.03 0.42 0.27 6.04 0.03 0.10
 -------- 23:00 0.07 0.02 0.44 0.25 3.25 0.03 0.06
