 Date Time CO SO2 H2S NO2 CHX NO PM10
 05.03.13 00:00 ---- 0.01 0.12 0.23 ---- 0.03 0.04
 -------- 01:00 0.02 0.01 0.12 0.27 ---- 0.03 0.04
 -------- 02:00 0.02 0.02 ---- 0.23 ---- 0.03 0.04
 -------- 03:00 0.02 0.02 ---- 0.29 ---- 0.03 0.04
 -------- 04:00 0.02 0.01 ---- 0.33 ---- 0.03 0.04
 05.03.13 05:00 0.02 0.02 ---- 0.36 ---- 0.03 0.04
 -------- 06:00 0.02 0.01 ---- 0.40 ---- 0.04 0.04
 -------- 07:00 0.02 0.01 ---- 0.51 ---- 0.15 0.05
 -------- 08:00 0.03 0.01 0.12 0.49 ---- 0.16 0.05
 -------- 09:00 0.03 0.01 0.12 0.47 ---- 0.22 0.06
 05.03.13 10:00 0.04 0.03 0.21 0.57 ---- 0.36 0.08
 -------- 11:00 0.04 0.04 0.42 0.38 ---- 0.14 0.05
 -------- 12:00 0.02 0.05 0.54 0.32 ---- 0.10 0.05
 -------- 13:00 0.02 0.04 0.75 0.28 ---- 0.08 0.04
 -------- 14:00 0.02 0.04 0.75 0.33 ---- 0.10 0.04
 05.03.13 15:00 0.02 0.04 0.75 0.34 ---- 0.10 0.04
 -------- 16:00 0.02 0.03 0.75 0.40 ---- 0.10 0.05
 -------- 17:00 0.02 0.04 0.75 0.49 ---- 0.12 0.06
 -------- 18:00 0.02 0.04 0.75 0.59 ---- 0.13 0.06
 -------- 19:00 0.03 0.04 0.79 0.66 ---- 0.20 0.09
 05.03.13 20:00 0.02 0.04 0.96 0.62 ---- 0.10 0.08
 -------- 21:00 0.02 0.03 0.92 0.62 ---- 0.09 0.08
 -------- 22:00 0.02 0.03 0.88 0.63 ---- 0.14 0.08
 -------- 23:00 0.03 0.02 0.88 0.64 ---- 0.28 0.09
 -------- 00:00 0.04 0.01 0.50 0.66 ---- 0.32 0.11
 06.03.13 01:00 0.04 0.01 0.17 0.67 ---- 0.31 0.12
 -------- 02:00 0.04 0.00 0.25 0.69 ---- 0.43 0.13
 -------- 03:00 0.04 ---- 0.19 0.69 ---- 0.43 0.13
 -------- 04:00 0.03 ---- 0.12 0.68 ---- 0.42 0.12
 -------- 05:00 0.02 ---- ---- 0.65 ---- 0.36 0.11
 06.03.13 06:00 0.03 ---- ---- 0.64 ---- 0.34 0.12
 -------- 07:00 0.07 ---- ---- 0.63 ---- 0.30 0.10
 -------- 08:00 0.09 ---- ---- 0.57 ---- 0.21 0.09
 -------- 09:00 0.07 ---- ---- 0.48 ---- 0.11 0.05
 -------- 10:00 0.06 ---- ---- 0.44 ---- 0.11 0.07
 06.03.13 11:00 0.06 0.01 ---- 0.38 ---- 0.10 0.07
 -------- 12:00 0.06 0.02 0.12 0.34 ---- 0.08 0.06
 -------- 13:00 0.05 0.03 0.12 0.30 ---- 0.07 0.06
 -------- 14:00 0.06 0.03 0.12 0.27 ---- 0.06 0.05
 -------- 15:00 0.06 0.03 0.21 0.25 ---- 0.05 0.04
 06.03.13 16:00 0.06 0.03 0.21 0.25 ---- 0.05 0.04
 -------- 17:00 0.07 0.03 0.33 0.29 1.19 0.05 0.04
 -------- 18:00 0.06 0.03 0.42 0.32 1.57 0.04 0.04
 -------- 19:00 0.03 0.03 0.42 0.39 1.60 0.04 0.04
 -------- 20:00 0.02 0.03 0.42 0.33 1.53 0.03 0.04
 06.03.13 21:00 ---- 0.03 0.38 0.29 1.51 0.03 0.03
 -------- 22:00 ---- 0.04 0.46 0.53 1.54 0.04 0.05
 -------- 23:00 0.02 0.06 0.50 0.57 1.57 0.04 0.06
