 Date Time CO H2S NO2 CHX NO
 20.09.12 12:00 0.11 0.12 0.12 1.65 0.02
 -------- 13:00 0.09 0.12 0.07 1.57 0.01
 -------- 14:00 0.08 0.21 0.06 1.56 0.00
 -------- 15:00 0.08 0.25 0.06 1.56 ----
 -------- 16:00 0.08 0.12 0.06 1.53 ----
 20.09.12 17:00 0.08 0.12 0.07 1.52 ----
 -------- 18:00 0.09 0.21 0.11 1.55 ----
 -------- 19:00 0.11 0.17 0.22 1.66 0.01
 -------- 20:00 0.13 1.46 0.25 1.79 0.02
 -------- 21:00 0.15 4.58 0.31 2.09 0.02
 20.09.12 22:00 0.11 ---- 0.20 1.69 0.01
 -------- 23:00 0.08 ---- 0.17 1.64 ----
 -------- 00:00 0.09 0.44 0.20 1.70 0.01
 -------- 01:00 0.11 1.83 0.23 1.91 0.01
 -------- 02:00 0.10 0.58 0.24 1.87 0.02
 21.09.12 03:00 0.12 0.71 0.24 1.90 0.02
 -------- 04:00 0.10 0.50 0.23 1.86 0.02
 -------- 05:00 0.09 ---- 0.20 1.77 0.02
 -------- 06:00 0.27 0.25 0.21 1.91 0.06
 -------- 07:00 0.12 0.25 0.19 1.90 0.05
 21.09.12 08:00 0.13 0.38 0.18 2.12 0.09
 -------- 09:00 0.13 1.71 0.19 2.16 0.09
 -------- 10:00 0.11 0.46 0.19 1.79 0.07
 -------- 11:00 0.13 0.25 0.23 1.78 0.09
 -------- 12:00 0.09 0.56 0.19 1.73 0.04
 21.09.12 13:00 0.06 0.38 0.09 1.58 0.01
 -------- 14:00 0.04 0.25 0.05 1.53 0.00
 -------- 15:00 0.03 0.25 0.04 1.51 ----
 -------- 16:00 0.05 0.25 0.08 1.53 ----
 -------- 17:00 0.05 0.33 0.10 1.55 0.00
 21.09.12 18:00 0.07 0.12 0.12 1.57 0.01
 -------- 19:00 0.11 0.21 0.26 1.64 0.05
 -------- 20:00 0.10 0.25 0.13 1.60 ----
 -------- 21:00 0.09 0.21 0.10 1.56 ----
 -------- 22:00 0.08 0.33 0.08 1.56 ----
 21.09.12 23:00 0.08 0.33 0.09 1.57 ----
 -------- 00:00 0.08 0.29 0.11 1.60 ----
 -------- 01:00 0.08 0.42 0.12 1.64 ----
 -------- 02:00 0.08 0.12 0.08 1.60 ----
 -------- 03:00 0.07 ---- 0.05 1.52 ----
 22.09.12 04:00 0.06 0.21 0.04 1.51 ----
 -------- 05:00 0.06 0.25 0.04 1.51 ----
 -------- 06:00 0.06 0.12 0.05 1.51 ----
 -------- 07:00 0.05 0.12 0.06 1.51 ----
 -------- 08:00 0.04 0.12 0.05 1.51 0.00
 22.09.12 09:00 0.04 0.25 0.05 1.51 0.00
 -------- 10:00 0.05 ---- 0.05 1.52 0.01
 -------- 11:00 0.04 ---- 0.05 1.64 0.01
