 Date Time CO SO2 H2S NO2 CHX NO PM10
 18.02.13 12:00 ---- 0.01 0.21 0.19 1.13 0.05 0.04
 -------- 13:00 ---- 0.02 0.42 0.17 1.13 0.05 0.04
 -------- 14:00 0.02 0.02 0.46 0.31 1.16 0.07 0.05
 -------- 15:00 0.02 0.02 0.50 0.33 1.22 0.07 0.05
 -------- 16:00 0.02 0.02 0.50 0.37 1.25 0.07 0.05
 18.02.13 17:00 0.02 0.02 0.54 0.40 1.24 0.06 0.05
 -------- 18:00 0.02 0.02 0.50 0.37 1.27 0.04 0.06
 -------- 19:00 0.03 0.01 0.42 0.30 1.18 0.04 0.05
 -------- 20:00 0.02 0.01 0.38 0.26 1.18 0.03 0.05
 -------- 21:00 0.02 0.01 0.38 0.31 1.19 0.03 0.05
 18.02.13 22:00 0.02 0.01 0.38 0.34 1.23 0.03 0.06
 -------- 23:00 0.03 0.01 0.29 0.45 1.21 0.04 0.08
 -------- 00:00 0.03 0.01 0.25 0.45 1.21 0.05 0.08
 -------- 01:00 0.04 0.01 0.12 0.48 1.24 0.07 0.08
 -------- 02:00 0.04 0.01 0.12 0.48 1.25 0.10 0.08
 19.02.13 03:00 0.02 0.01 0.12 0.47 1.29 0.11 0.07
 -------- 04:00 0.02 0.01 0.12 0.48 1.30 0.09 0.06
 -------- 05:00 0.02 0.00 ---- 0.47 1.25 0.06 0.05
 -------- 06:00 0.02 0.00 ---- 0.41 1.22 0.04 0.04
 -------- 07:00 0.02 0.00 ---- 0.31 1.23 0.04 0.03
 19.02.13 08:00 0.03 0.00 ---- 0.41 1.23 0.05 0.04
 -------- 09:00 0.04 0.00 ---- 0.50 1.29 0.08 0.06
 -------- 10:00 0.04 0.00 ---- 0.43 1.27 0.08 0.05
 -------- 11:00 0.04 0.01 ---- 0.40 1.26 0.09 0.05
 -------- 12:00 0.04 0.01 ---- 0.41 1.25 0.11 0.06
 19.02.13 13:00 0.04 0.01 0.12 0.45 1.25 0.14 0.07
 -------- 14:00 0.04 0.02 0.12 0.49 1.27 0.17 0.08
 -------- 15:00 0.06 0.02 0.12 0.52 1.30 0.20 0.09
 -------- 16:00 0.06 0.02 0.21 0.52 1.26 0.17 0.09
 -------- 17:00 0.06 0.02 0.25 0.53 1.27 0.15 0.10
 19.02.13 18:00 0.06 0.01 0.21 0.56 1.43 0.18 0.12
 -------- 19:00 0.03 0.01 0.12 0.58 1.37 0.17 0.11
 -------- 20:00 0.02 0.01 0.12 0.54 1.71 0.07 0.08
 -------- 21:00 0.02 0.01 0.12 0.55 1.34 0.06 0.09
 -------- 22:00 0.02 0.01 0.12 0.51 1.29 0.05 0.07
 19.02.13 23:00 0.02 0.01 ---- 0.51 1.24 0.04 0.07
 -------- 00:00 ---- 0.01 0.12 0.47 1.20 0.04 0.06
 -------- 01:00 ---- 0.01 ---- 0.43 1.17 0.03 0.06
 -------- 02:00 ---- 0.01 ---- 0.35 1.17 0.03 0.06
 -------- 03:00 ---- 0.01 0.12 0.37 1.20 0.03 0.06
 20.02.13 04:00 ---- 0.01 ---- 0.39 1.37 0.03 0.06
 -------- 05:00 ---- 0.01 ---- 0.37 1.24 0.03 0.06
 -------- 06:00 ---- 0.01 ---- 0.43 1.64 0.06 0.07
 -------- 07:00 0.02 0.01 ---- 0.51 1.61 0.10 0.08
 -------- 08:00 0.04 0.01 ---- 0.47 1.55 0.09 0.07
 20.02.13 09:00 0.05 0.01 ---- 0.41 1.36 0.06 0.06
 -------- 10:00 0.03 0.01 ---- 0.51 1.75 0.19 0.09
 -------- 11:00 0.03 0.02 ---- 0.38 1.39 0.10 0.06
