 Date Time CO SO2 H2S CHX PM10
 17.12.12 12:00 0.03 0.01 ---- 1.72 0.10
 -------- 13:00 0.03 0.02 0.46 1.70 0.04
 -------- 14:00 0.03 0.03 0.50 1.83 0.03
 -------- 15:00 0.02 0.02 0.50 2.05 0.03
 -------- 16:00 0.02 0.02 0.42 1.94 0.03
 17.12.12 17:00 0.02 0.02 0.50 4.29 0.03
 -------- 18:00 0.04 0.02 0.50 3.08 0.04
 -------- 19:00 0.05 0.01 0.38 2.42 0.05
 -------- 20:00 0.04 0.01 0.21 1.92 0.05
 -------- 21:00 0.04 0.00 0.12 1.77 0.06
 17.12.12 22:00 0.04 0.00 ---- 1.70 0.05
 -------- 23:00 0.03 0.00 ---- 1.71 0.04
 -------- 00:00 0.02 0.00 0.12 1.71 0.04
 -------- 01:00 0.02 0.01 0.12 1.72 0.04
 -------- 02:00 0.02 0.01 0.12 1.71 0.04
 18.12.12 03:00 0.02 0.01 0.12 1.73 0.04
 -------- 04:00 0.02 0.00 0.12 1.83 0.03
 -------- 05:00 0.02 0.00 0.12 1.74 0.03
 -------- 06:00 0.02 0.00 ---- 1.74 0.03
 -------- 07:00 0.02 0.00 0.12 1.87 0.03
 18.12.12 08:00 0.02 0.00 0.12 1.76 0.04
 -------- 09:00 0.02 0.00 ---- 1.74 0.03
 -------- 10:00 ---- 0.00 0.12 1.77 0.05
 -------- 11:00 0.02 0.01 0.12 1.79 0.07
 -------- 12:00 0.03 0.01 0.12 1.95 0.14
 18.12.12 13:00 0.02 0.01 0.12 1.89 0.09
 -------- 14:00 0.05 0.01 0.21 1.87 0.09
 -------- 15:00 0.02 0.02 0.38 1.74 0.06
 -------- 16:00 0.02 0.02 0.38 1.78 0.05
 -------- 17:00 0.02 0.01 0.33 1.70 0.03
 18.12.12 18:00 0.02 0.01 0.12 1.68 0.03
 -------- 19:00 0.02 0.00 0.12 1.72 0.02
 -------- 20:00 0.02 0.00 0.12 1.74 0.02
 -------- 21:00 0.02 0.00 0.12 1.90 0.03
 -------- 22:00 0.02 0.01 0.12 1.96 0.03
 18.12.12 23:00 0.02 0.01 0.12 1.87 0.02
 -------- 00:00 0.02 0.00 0.12 1.83 0.02
 -------- 01:00 0.02 0.00 0.12 1.80 0.02
 -------- 02:00 ---- 0.01 0.12 1.67 0.02
 -------- 03:00 ---- 0.01 0.12 1.82 0.03
 19.12.12 04:00 ---- 0.00 ---- 1.75 0.03
 -------- 05:00 ---- 0.00 0.12 1.84 0.02
 -------- 06:00 ---- 0.00 0.12 1.88 0.02
 -------- 07:00 0.04 0.00 0.12 1.78 0.02
 -------- 08:00 ---- 0.00 0.12 1.88 0.03
 19.12.12 09:00 0.13 0.01 0.12 2.17 0.12
 -------- 10:00 0.05 0.00 0.12 1.88 0.03
 -------- 11:00 ---- 0.01 0.12 1.95 0.05
