 Date Time CO SO2 H2S CHX PM10
 20.12.12 12:00 0.03 0.01 0.12 1.96 0.07
 -------- 13:00 0.03 0.01 0.12 1.87 0.07
 -------- 14:00 0.05 0.04 0.58 1.98 0.07
 -------- 15:00 0.04 0.05 0.88 2.30 0.08
 -------- 16:00 0.05 0.04 0.96 4.42 0.06
 20.12.12 17:00 0.04 0.03 0.79 5.45 0.06
 -------- 18:00 0.06 0.02 0.54 2.86 0.08
 -------- 19:00 0.05 0.02 0.46 3.08 0.07
 -------- 20:00 ---- 0.01 0.25 2.85 0.06
 -------- 21:00 ---- 0.01 0.12 2.64 0.06
 20.12.12 22:00 ---- 0.01 0.12 2.62 0.06
 -------- 23:00 ---- 0.01 0.12 2.60 0.07
 -------- 00:00 ---- 0.01 0.17 2.89 0.09
 -------- 01:00 ---- 0.00 0.17 2.98 0.07
 -------- 02:00 ---- 0.01 0.17 3.60 0.08
 21.12.12 03:00 ---- 0.01 0.12 2.34 0.07
 -------- 04:00 ---- 0.01 0.17 2.46 0.08
 -------- 05:00 ---- 0.01 0.12 2.25 0.08
 -------- 06:00 ---- 0.01 0.12 2.31 0.08
 -------- 07:00 0.03 0.01 0.21 2.40 0.08
 21.12.12 08:00 0.04 0.01 0.25 2.37 0.07
 -------- 09:00 0.03 0.01 0.25 2.43 0.08
 -------- 10:00 0.03 0.01 0.25 3.41 0.08
 -------- 11:00 0.04 0.01 0.25 3.73 0.10
 -------- 12:00 0.04 0.02 0.21 2.31 0.13
 21.12.12 13:00 0.04 0.02 0.17 2.07 0.13
 -------- 14:00 0.04 0.03 0.25 2.13 0.31
 -------- 15:00 0.05 0.03 0.29 3.00 0.23
 -------- 16:00 0.05 0.02 0.21 2.88 0.16
 -------- 17:00 0.04 0.01 0.12 1.94 0.14
 21.12.12 18:00 0.04 0.01 ---- 1.85 0.12
 -------- 19:00 0.04 0.01 ---- 1.87 0.11
 -------- 20:00 0.07 0.01 ---- 2.00 0.11
 -------- 21:00 0.07 0.01 ---- 2.19 0.10
 -------- 22:00 0.06 0.01 ---- 2.05 0.10
 21.12.12 23:00 0.06 0.01 ---- 2.13 0.09
 -------- 00:00 0.06 0.01 0.12 1.94 0.09
 -------- 01:00 0.06 0.02 0.12 1.93 0.09
 -------- 02:00 0.06 0.02 0.12 1.91 0.09
 -------- 03:00 0.06 0.02 0.12 1.88 0.09
 22.12.12 04:00 0.06 0.02 0.12 1.91 0.09
 -------- 05:00 0.06 0.02 ---- 1.86 0.08
 -------- 06:00 0.06 0.02 0.12 1.83 0.07
 -------- 07:00 0.05 0.02 0.12 1.91 0.07
 -------- 08:00 0.06 0.02 0.12 1.98 0.06
 22.12.12 09:00 0.06 0.02 0.12 2.35 0.06
 -------- 10:00 0.06 0.02 ---- 1.94 0.06
 -------- 11:00 0.06 0.02 0.12 1.99 0.06
