 Date Time CO SO2 H2S NO2 CHX NO PM10
 20.03.13 00:00 0.12 0.01 0.25 0.45 1.59 0.04 0.03
 -------- 01:00 0.10 0.00 0.12 0.37 1.56 0.03 0.03
 -------- 02:00 0.10 0.00 0.12 0.36 1.57 0.03 0.03
 -------- 03:00 0.10 0.00 0.12 0.35 1.60 0.03 0.03
 -------- 04:00 0.10 0.00 0.17 0.33 1.61 0.03 0.03
 20.03.13 05:00 0.10 0.00 0.12 0.36 1.61 0.03 0.03
 -------- 06:00 0.12 0.00 0.12 0.43 1.62 0.05 0.04
 -------- 07:00 0.11 0.01 0.17 0.48 1.63 0.07 0.04
 -------- 08:00 0.11 0.01 0.21 0.38 1.62 0.07 ----
 -------- 09:00 0.11 0.01 0.29 0.34 2.23 0.08 ----
 20.03.13 10:00 0.13 0.01 0.25 0.28 2.60 0.07 ----
 -------- 11:00 0.09 0.01 0.25 0.20 1.88 0.06 ----
 -------- 12:00 0.06 0.02 0.25 0.19 1.81 0.06 ----
 -------- 13:00 0.07 0.01 0.25 0.15 1.90 0.05 ----
 -------- 14:00 0.08 0.01 0.25 0.17 1.92 0.05 0.03
 20.03.13 15:00 0.07 0.01 0.25 0.13 1.80 0.04 0.03
 -------- 16:00 0.05 0.01 0.25 0.13 1.67 0.05 0.03
 -------- 17:00 0.05 0.01 0.21 0.11 1.61 0.04 0.02
 -------- 18:00 0.04 0.01 0.12 0.10 1.48 0.04 0.02
 -------- 19:00 0.05 0.00 0.12 0.11 1.48 0.03 0.04
 20.03.13 20:00 0.06 0.00 0.12 0.13 1.49 0.04 0.03
 -------- 21:00 0.07 0.00 0.12 0.13 1.49 0.03 0.03
 -------- 22:00 0.06 0.00 0.12 0.15 1.49 0.03 0.03
 -------- 23:00 0.04 0.00 0.12 0.16 1.52 0.03 0.03
 -------- 00:00 0.06 0.00 0.12 0.18 1.55 0.03 0.03
 21.03.13 01:00 0.04 0.01 0.12 0.15 1.51 0.03 0.02
 -------- 02:00 0.04 0.01 0.12 0.14 1.51 0.03 0.02
 -------- 03:00 0.04 0.01 0.12 0.13 1.51 0.03 0.03
 -------- 04:00 0.04 0.01 0.12 0.13 1.51 0.03 0.03
 -------- 05:00 0.05 0.01 0.17 0.14 1.52 0.03 0.03
 21.03.13 06:00 0.06 0.01 0.12 0.17 1.53 0.03 0.03
 -------- 07:00 0.06 0.01 0.12 0.17 1.52 0.03 0.03
 -------- 08:00 0.06 0.01 0.12 0.18 1.52 0.04 0.03
 -------- 09:00 0.06 0.01 0.12 0.16 1.52 0.04 0.03
 -------- 10:00 0.07 0.01 0.21 0.18 1.52 0.05 0.03
 21.03.13 11:00 0.06 0.02 0.17 0.14 1.51 0.05 0.03
 -------- 12:00 0.07 0.02 0.25 0.16 1.51 0.05 0.03
 -------- 13:00 0.06 0.02 0.25 0.15 1.51 0.05 0.03
 -------- 14:00 0.06 0.01 0.25 0.15 1.50 0.05 0.04
 -------- 15:00 0.06 0.02 0.25 0.17 1.50 0.05 0.03
 21.03.13 16:00 0.06 0.02 0.25 0.17 1.50 0.05 0.03
 -------- 17:00 0.06 0.01 0.25 0.17 1.53 0.04 0.03
 -------- 18:00 0.06 0.01 0.21 0.14 1.50 0.04 0.03
 -------- 19:00 0.05 0.01 0.25 0.14 1.48 0.04 0.03
 -------- 20:00 0.04 0.01 0.17 0.15 1.51 0.03 0.03
 21.03.13 21:00 0.04 0.01 0.17 0.16 1.52 0.03 0.03
 -------- 22:00 0.05 0.01 0.17 0.20 1.50 0.03 0.03
 -------- 23:00 0.05 0.02 0.21 0.25 1.51 0.03 0.03
