 Date Time CO SO2 H2S NO2 CHX NO PM10
 29.01.13 12:00 0.03 0.03 0.50 0.41 1.79 0.12 0.10
 -------- 13:00 0.04 0.04 0.62 0.43 1.85 0.14 0.10
 -------- 14:00 0.03 0.03 0.62 0.40 1.79 0.10 0.09
 -------- 15:00 0.03 0.03 0.58 0.40 1.77 0.09 0.06
 -------- 16:00 0.02 0.03 0.71 0.38 1.74 0.08 0.06
 29.01.13 17:00 0.02 0.03 0.62 0.35 1.69 0.05 0.03
 -------- 18:00 0.02 0.03 0.62 0.44 1.74 0.06 0.04
 -------- 19:00 0.03 0.02 0.62 0.50 1.78 0.09 0.05
 -------- 20:00 0.04 0.02 0.62 0.50 1.81 0.09 0.05
 -------- 21:00 0.02 0.02 0.62 0.49 1.81 0.06 0.05
 29.01.13 22:00 0.02 0.03 0.71 0.47 1.78 0.06 0.07
 -------- 23:00 0.02 0.02 1.00 0.44 1.81 0.04 0.09
 -------- 00:00 0.02 0.02 0.54 0.43 1.85 0.04 0.05
 -------- 01:00 0.02 0.01 0.75 0.40 1.92 0.04 0.05
 -------- 02:00 0.02 0.01 0.71 0.34 1.79 0.03 0.05
 30.01.13 03:00 0.02 0.01 0.42 0.37 1.78 0.03 0.05
 -------- 04:00 0.02 0.01 0.50 0.35 1.84 0.03 0.05
 -------- 05:00 0.02 0.01 0.21 0.41 1.72 0.04 0.06
 -------- 06:00 0.02 0.01 0.12 0.39 1.83 0.05 0.08
 -------- 07:00 0.04 0.01 0.12 0.40 1.77 0.09 0.11
 30.01.13 08:00 0.04 0.01 0.12 0.40 1.77 0.06 0.09
 -------- 09:00 0.04 0.01 0.12 0.41 1.77 0.07 0.10
 -------- 10:00 0.04 0.01 0.33 0.38 1.90 0.07 0.10
 -------- 11:00 0.03 0.01 0.38 0.33 1.86 0.07 0.09
 -------- 12:00 0.03 0.01 0.46 0.33 1.83 0.08 0.08
 30.01.13 13:00 0.03 0.02 0.58 0.32 1.82 0.08 0.07
 -------- 14:00 0.03 0.02 0.29 0.29 1.73 0.08 0.08
 -------- 15:00 0.04 0.02 0.33 0.34 1.78 0.10 0.08
 -------- 16:00 0.04 0.02 0.58 0.32 1.86 0.06 0.07
 -------- 17:00 0.03 0.02 0.96 0.34 1.97 0.05 0.07
 30.01.13 18:00 0.04 0.02 0.67 0.41 1.77 0.04 0.07
 -------- 19:00 0.04 0.02 0.92 0.45 1.92 0.04 0.07
 -------- 20:00 0.04 0.02 0.58 0.38 1.84 0.03 0.05
 -------- 21:00 0.04 0.01 0.67 0.32 1.81 0.03 0.04
 -------- 22:00 0.04 0.01 0.92 0.33 1.77 0.03 0.05
 30.01.13 23:00 0.03 0.01 0.38 0.28 1.65 0.03 0.04
 -------- 00:00 0.02 0.01 0.19 0.22 1.64 0.03 0.04
 -------- 01:00 0.02 0.01 0.12 0.24 1.65 0.03 0.05
 -------- 02:00 0.02 0.01 0.33 0.27 1.67 0.03 0.06
 -------- 03:00 0.02 0.01 0.25 0.23 1.65 0.03 0.06
 31.01.13 04:00 0.02 0.00 0.42 0.26 1.68 0.03 0.06
 -------- 05:00 0.02 0.00 0.38 0.24 1.70 0.03 0.05
 -------- 06:00 0.02 0.00 0.50 0.27 1.76 0.03 0.05
 -------- 07:00 0.02 0.00 0.29 0.26 1.73 0.03 0.06
 -------- 08:00 0.02 0.00 ---- 0.28 1.69 0.03 0.06
 31.01.13 09:00 0.02 0.00 0.38 0.30 1.72 0.04 0.05
 -------- 10:00 0.02 0.00 0.33 0.27 1.77 0.04 0.05
 -------- 11:00 0.02 0.00 0.12 0.27 1.71 0.05 0.06
