 Date Time CO H2S NO2 CHX NO PM10
 30.10.12 00:00 ---- 0.12 0.04 1.68 ---- 0.03
 -------- 01:00 ---- 0.19 0.03 1.58 ---- 0.03
 -------- 02:00 0.02 0.19 0.03 1.60 ---- 0.02
 -------- 03:00 ---- 0.12 0.03 1.66 ---- 0.01
 -------- 04:00 0.02 0.12 0.06 2.23 ---- 0.01
 30.10.12 05:00 0.02 0.25 0.07 1.76 ---- 0.03
 -------- 06:00 0.02 0.21 0.07 1.67 0.01 0.02
 -------- 07:00 0.03 0.17 0.07 1.69 ---- 0.05
 -------- 08:00 0.02 0.12 0.08 1.77 ---- 0.04
 -------- 09:00 0.02 0.38 0.07 1.72 0.00 0.04
 30.10.12 10:00 0.02 0.42 0.06 1.58 0.00 0.04
 -------- 11:00 0.02 0.21 0.05 1.54 0.00 0.03
 -------- 12:00 0.02 0.25 0.04 1.55 0.00 0.04
 -------- 13:00 0.02 0.12 0.05 1.54 0.00 0.04
 -------- 14:00 0.02 0.12 0.05 1.53 ---- 0.04
 30.10.12 15:00 0.02 0.12 0.05 1.54 ---- 0.04
 -------- 16:00 0.02 0.17 0.05 1.52 0.00 0.04
 -------- 17:00 0.02 ---- 0.04 1.52 ---- 0.04
 -------- 18:00 0.06 0.12 0.04 1.51 ---- 0.03
 -------- 19:00 0.06 0.25 0.07 1.52 0.00 0.02
 30.10.12 20:00 0.07 0.29 0.05 1.63 0.00 0.01
 -------- 21:00 0.06 0.12 0.05 1.64 ---- 0.03
 -------- 22:00 0.06 0.12 0.05 1.61 0.00 0.03
 -------- 23:00 0.06 0.12 0.04 1.71 ---- 0.02
 -------- 00:00 0.06 0.12 0.04 1.61 ---- 0.03
 31.10.12 01:00 0.06 0.12 0.04 1.69 ---- 0.02
 -------- 02:00 0.06 0.12 0.03 1.54 ---- 0.02
 -------- 03:00 0.06 0.25 0.04 1.57 ---- 0.02
 -------- 04:00 0.06 0.25 0.04 1.65 ---- 0.02
 -------- 05:00 0.06 0.17 0.06 2.32 0.00 0.03
 31.10.12 06:00 0.09 0.25 0.11 4.78 0.03 0.03
 -------- 07:00 0.05 0.17 0.15 2.43 0.02 0.03
 -------- 08:00 0.06 0.12 0.17 1.62 0.03 0.03
 -------- 09:00 0.08 0.29 0.17 1.67 0.04 0.03
 -------- 10:00 0.08 0.33 0.17 1.82 0.05 0.04
 31.10.12 11:00 0.10 0.29 0.17 1.73 0.10 0.03
 -------- 12:00 0.08 0.21 0.16 1.64 0.08 0.02
 -------- 13:00 0.05 0.12 0.16 1.69 0.04 0.05
 -------- 14:00 0.06 0.12 0.15 1.64 0.02 0.02
 -------- 15:00 0.06 0.12 0.17 1.69 0.05 0.03
 31.10.12 16:00 0.07 0.12 0.17 1.63 0.05 0.04
 -------- 17:00 0.05 0.12 0.16 1.58 0.03 0.04
 -------- 18:00 0.04 0.19 0.16 1.57 0.02 0.03
 -------- 19:00 0.05 0.21 0.13 1.55 0.01 0.02
 -------- 20:00 0.07 0.12 0.11 1.55 0.00 0.02
 31.10.12 21:00 0.08 0.17 0.14 1.55 0.00 0.02
 -------- 22:00 0.07 0.38 0.12 1.55 0.00 0.02
 -------- 23:00 0.05 0.38 0.07 1.52 0.00 0.03
