 Date Time CO H2S NO2 CHX NO PM10
 08.11.12 00:00 0.05 0.25 0.19 1.59 0.01 0.03
 -------- 01:00 0.04 0.25 0.14 1.57 0.00 0.03
 -------- 02:00 0.04 0.12 0.16 1.57 0.00 0.03
 -------- 03:00 0.04 0.12 0.15 1.60 0.00 0.03
 -------- 04:00 0.04 0.25 0.11 1.61 ---- 0.03
 08.11.12 05:00 0.07 0.29 0.12 1.57 0.01 0.02
 -------- 06:00 0.06 0.25 0.15 1.59 0.01 0.02
 -------- 07:00 0.05 0.21 0.12 1.55 0.01 0.01
 -------- 08:00 0.05 0.21 0.18 1.57 0.01 0.01
 -------- 09:00 0.06 0.25 0.19 1.57 0.01 0.01
 08.11.12 10:00 0.05 0.12 0.21 1.59 0.02 0.02
 -------- 11:00 0.03 0.12 0.19 1.57 0.02 0.03
 -------- 12:00 0.02 0.12 0.15 1.55 0.01 0.04
 -------- 13:00 0.03 0.12 0.19 1.56 0.01 0.04
 -------- 14:00 0.06 0.12 0.23 1.61 0.03 0.04
 08.11.12 15:00 0.04 0.17 0.20 1.58 0.02 0.02
 -------- 16:00 0.02 ---- 0.16 1.55 0.01 0.02
 -------- 17:00 0.02 ---- 0.19 1.54 0.01 0.02
 -------- 18:00 0.04 0.21 0.21 1.55 0.01 0.02
 -------- 19:00 0.07 0.29 0.25 1.60 0.02 0.03
 08.11.12 20:00 0.12 0.12 0.25 1.62 0.01 0.03
 -------- 21:00 0.12 ---- 0.22 1.59 0.01 0.03
 -------- 22:00 0.12 ---- 0.24 1.59 0.01 0.04
 -------- 23:00 0.11 ---- 0.20 1.55 0.00 0.03
 -------- 00:00 0.11 0.12 0.22 1.58 0.01 0.04
 09.11.12 01:00 0.10 0.12 0.22 1.59 0.01 0.05
 -------- 02:00 0.09 ---- 0.18 1.57 0.00 0.02
 -------- 03:00 0.08 ---- 0.20 1.58 0.01 0.02
 -------- 04:00 0.08 0.21 0.17 1.57 0.00 0.03
 -------- 05:00 0.08 0.21 0.17 1.56 0.00 0.03
 09.11.12 06:00 0.12 0.12 0.22 1.72 0.02 0.05
 -------- 07:00 0.12 0.25 0.21 1.80 0.05 0.08
 -------- 08:00 0.09 0.12 0.19 1.75 0.06 0.04
 -------- 09:00 0.07 0.12 0.18 1.71 0.05 0.03
 -------- 10:00 0.06 0.62 0.17 1.78 0.05 0.03
 09.11.12 11:00 0.07 0.33 0.17 1.67 0.04 0.04
 -------- 12:00 0.11 0.25 0.19 1.77 0.11 0.05
 -------- 13:00 0.17 0.42 0.21 1.91 0.19 0.07
 -------- 14:00 0.12 0.19 0.20 1.72 0.13 0.05
 -------- 15:00 0.07 0.12 0.18 1.60 0.06 0.03
 09.11.12 16:00 0.07 0.17 0.19 1.62 0.04 0.04
 -------- 17:00 0.09 0.25 0.19 1.64 0.06 0.05
 -------- 18:00 0.10 0.12 0.20 1.62 0.06 0.04
 -------- 19:00 0.09 0.12 0.18 1.61 0.03 0.05
 -------- 20:00 0.10 0.12 0.12 1.56 0.00 0.04
 09.11.12 21:00 0.11 ---- 0.13 1.57 0.00 0.02
 -------- 22:00 0.10 ---- 0.08 1.56 ---- 0.04
 -------- 23:00 0.10 ---- 0.10 1.54 0.00 0.03
