 Date Time CO SO2 H2S NO2 CHX NO PM10
 12.02.13 12:00 0.02 0.01 0.12 0.09 1.56 0.03 0.02
 -------- 13:00 0.02 0.01 0.12 0.11 1.56 0.04 0.02
 -------- 14:00 0.02 0.01 0.12 0.10 1.65 0.03 0.03
 -------- 15:00 0.02 0.01 0.12 0.15 1.86 0.04 0.04
 -------- 16:00 0.02 0.01 0.12 0.14 1.79 0.04 0.04
 12.02.13 17:00 0.02 0.01 0.12 0.15 1.87 0.03 0.04
 -------- 18:00 0.02 0.01 0.12 0.17 1.55 0.03 0.05
 -------- 19:00 0.03 0.01 0.12 0.18 1.51 0.03 0.06
 -------- 20:00 0.04 0.01 0.12 0.17 1.86 0.03 0.06
 -------- 21:00 0.04 0.01 0.12 0.20 2.22 0.03 0.06
 12.02.13 22:00 0.04 0.01 0.12 0.18 1.89 0.03 0.05
 -------- 23:00 0.04 0.01 0.12 0.20 2.27 0.03 0.06
 -------- 00:00 0.04 0.00 0.12 0.21 2.44 0.03 0.06
 -------- 01:00 0.05 0.00 0.17 0.21 2.55 0.03 0.06
 -------- 02:00 0.04 0.00 0.21 0.20 1.93 0.03 0.06
 13.02.13 03:00 0.04 0.00 0.12 0.21 2.31 0.03 0.06
 -------- 04:00 0.04 0.00 0.12 0.19 1.68 0.03 0.06
 -------- 05:00 0.04 0.01 0.29 0.25 1.68 0.03 0.05
 -------- 06:00 0.04 0.01 0.62 0.30 1.83 0.03 0.06
 -------- 07:00 0.03 0.02 0.33 0.39 1.70 0.04 0.06
 13.02.13 08:00 0.02 0.02 0.25 0.38 1.76 0.04 0.07
 -------- 09:00 0.02 0.01 0.29 0.43 1.69 0.05 0.06
 -------- 10:00 0.02 0.01 0.33 0.40 1.67 0.08 0.07
 -------- 11:00 0.02 0.02 0.21 0.37 1.62 0.10 0.10
 -------- 12:00 0.02 0.02 0.12 0.33 1.60 0.09 0.09
 13.02.13 13:00 0.02 0.03 0.25 0.29 1.60 0.08 0.09
 -------- 14:00 0.02 0.02 0.21 0.24 1.61 0.07 0.08
 -------- 15:00 0.02 0.02 0.12 0.13 1.53 0.04 0.05
 -------- 16:00 0.02 0.02 0.17 0.24 1.63 0.05 0.07
 -------- 17:00 0.02 0.02 0.17 0.22 1.64 0.04 0.07
 13.02.13 18:00 0.02 0.01 0.12 0.21 1.63 0.04 0.07
 -------- 19:00 0.03 0.01 0.12 0.39 2.53 0.06 0.09
 -------- 20:00 0.03 0.01 0.12 0.45 2.36 0.10 0.09
 -------- 21:00 0.02 0.01 0.12 0.43 2.55 0.05 0.08
 -------- 22:00 0.02 0.01 0.12 0.40 1.72 0.04 0.07
 13.02.13 23:00 0.02 0.01 0.17 0.40 2.95 0.04 0.07
 -------- 00:00 0.02 0.01 0.12 0.32 2.09 0.03 0.08
 -------- 01:00 ---- 0.01 0.12 0.32 1.61 0.03 0.07
 -------- 02:00 ---- 0.01 0.12 0.34 1.57 0.03 0.07
 -------- 03:00 0.02 0.01 0.12 0.33 1.55 0.03 0.07
 14.02.13 04:00 0.02 0.01 0.12 0.31 1.55 0.03 0.07
 -------- 05:00 ---- 0.00 0.12 0.24 1.53 0.03 0.06
 -------- 06:00 ---- 0.00 0.12 0.25 1.54 0.04 0.06
 -------- 07:00 0.02 0.00 0.12 0.25 1.55 0.04 0.06
 -------- 08:00 0.02 0.00 0.12 0.24 1.56 0.04 0.06
 14.02.13 09:00 0.02 0.00 0.12 0.26 1.57 0.04 0.06
 -------- 10:00 0.02 0.00 ---- 0.24 1.58 0.05 0.07
 -------- 11:00 0.02 0.01 ---- 0.23 1.60 0.06 0.08
