 Date Time CO H2S NO2 CHX NO PM10
 12.10.12 12:00 0.19 1.08 0.20 2.20 0.12 0.17
 -------- 13:00 0.15 0.38 0.19 3.79 0.08 0.12
 -------- 14:00 0.09 0.21 0.13 1.87 0.03 0.13
 -------- 15:00 0.08 0.25 0.13 1.94 0.01 0.10
 -------- 16:00 0.09 ---- 0.13 2.25 0.01 0.08
 12.10.12 17:00 0.09 0.12 0.15 2.65 0.02 0.08
 -------- 18:00 0.13 0.33 0.18 2.30 0.05 0.09
 -------- 19:00 0.12 0.33 0.15 1.67 0.04 0.08
 -------- 20:00 0.11 0.17 0.14 1.60 0.01 0.05
 -------- 21:00 0.09 0.21 0.12 1.57 0.00 0.03
 12.10.12 22:00 0.07 0.12 0.09 1.55 0.00 0.02
 -------- 23:00 0.06 0.12 0.09 1.54 ---- 0.02
 -------- 00:00 0.06 0.12 0.09 1.55 ---- 0.02
 -------- 01:00 0.06 0.17 0.09 1.63 ---- 0.02
 -------- 02:00 0.06 0.19 0.06 1.57 ---- 0.02
 13.10.12 03:00 0.06 0.19 0.06 1.53 ---- 0.01
 -------- 04:00 0.06 0.12 0.06 1.53 ---- 0.02
 -------- 05:00 0.06 0.21 0.06 1.53 ---- 0.02
 -------- 06:00 0.06 0.12 0.05 1.52 ---- 0.02
 -------- 07:00 0.05 0.12 0.06 1.53 ---- 0.02
 13.10.12 08:00 0.04 0.12 0.12 1.59 0.00 0.03
 -------- 09:00 0.04 0.12 0.12 1.59 0.01 0.03
 -------- 10:00 0.04 0.25 0.11 1.58 0.01 0.03
 -------- 11:00 0.02 0.25 0.09 1.56 0.01 0.02
 -------- 12:00 0.02 0.21 0.07 1.55 0.01 0.02
 13.10.12 13:00 0.02 0.38 0.07 1.55 0.01 0.01
 -------- 14:00 0.02 0.12 0.07 1.52 0.01 0.02
 -------- 15:00 0.02 ---- 0.06 1.52 0.01 0.03
 -------- 16:00 0.02 0.21 0.07 1.54 0.01 0.02
 -------- 17:00 0.02 0.33 0.09 1.55 0.00 0.02
 13.10.12 18:00 0.04 0.21 0.14 1.57 0.00 0.03
 -------- 19:00 0.05 0.29 0.16 1.61 0.00 0.03
 -------- 20:00 0.08 0.12 0.23 1.67 0.04 0.05
 -------- 21:00 0.13 0.17 0.24 1.73 0.09 0.07
 -------- 22:00 0.13 0.17 0.24 1.71 0.09 0.07
 13.10.12 23:00 0.17 0.25 0.26 1.75 0.14 0.08
 -------- 00:00 0.15 0.12 0.25 1.75 0.12 0.07
 -------- 01:00 0.14 0.17 0.22 1.74 0.11 0.06
 -------- 02:00 0.13 0.12 0.21 1.72 0.10 0.06
 -------- 03:00 0.14 0.12 0.18 1.75 0.12 0.05
 14.10.12 04:00 0.11 0.19 0.16 1.75 0.10 0.04
 -------- 05:00 0.10 0.21 0.13 1.76 0.11 0.04
 -------- 06:00 0.10 0.21 0.09 1.84 0.13 0.03
 -------- 07:00 0.11 0.29 0.10 1.96 0.15 0.04
 -------- 08:00 0.19 0.54 0.12 2.33 0.24 0.10
 14.10.12 09:00 0.21 0.88 0.14 2.58 0.27 0.14
 -------- 10:00 0.21 0.71 0.17 2.54 0.22 0.13
 -------- 11:00 0.17 ---- 0.20 1.90 0.10 0.09
