 Date Time CO SO2 H2S NO2 CHX NO PM10
 11.01.13 00:00 0.02 0.01 0.12 0.12 1.62 0.08 0.03
 -------- 01:00 0.02 0.01 0.12 0.16 1.64 0.07 0.03
 -------- 02:00 0.02 0.01 0.50 0.16 1.68 0.08 0.04
 -------- 03:00 0.02 0.01 0.71 0.16 1.77 0.08 0.04
 -------- 04:00 0.02 0.01 0.62 0.13 1.75 0.08 0.03
 11.01.13 05:00 ---- 0.01 0.38 0.12 1.75 0.08 0.03
 -------- 06:00 0.02 0.01 0.12 0.18 1.67 0.09 0.03
 -------- 07:00 0.02 0.01 ---- 0.19 1.69 0.10 0.03
 -------- 08:00 0.02 0.01 0.12 0.23 1.67 0.10 0.04
 -------- 09:00 ---- 0.01 0.12 0.22 1.78 0.10 0.04
 11.01.13 10:00 ---- 0.01 0.12 0.17 1.78 0.10 0.04
 -------- 11:00 0.02 0.01 0.12 0.08 1.74 0.10 0.05
 -------- 12:00 ---- 0.01 0.12 0.07 1.77 0.11 0.06
 -------- 13:00 ---- 0.01 0.12 0.06 1.77 0.11 0.05
 -------- 14:00 ---- 0.01 0.12 0.08 1.70 0.11 0.05
 11.01.13 15:00 ---- 0.02 0.12 0.10 1.83 0.11 0.06
 -------- 16:00 ---- 0.02 0.17 0.12 2.19 0.10 0.07
 -------- 17:00 ---- 0.01 0.21 0.13 2.42 0.08 0.06
 -------- 18:00 0.02 0.01 0.25 0.12 2.46 0.08 0.06
 -------- 19:00 0.02 0.01 0.21 0.14 2.05 0.08 0.05
 11.01.13 20:00 0.02 0.01 0.12 0.12 1.74 0.08 0.05
 -------- 21:00 0.02 0.01 0.12 0.10 1.74 0.08 0.05
 -------- 22:00 0.02 0.01 0.12 0.09 1.72 0.11 0.05
 -------- 23:00 0.02 0.01 0.12 0.09 1.72 0.11 0.05
 -------- 00:00 0.02 0.01 0.12 0.04 1.73 0.08 0.12
 12.01.13 01:00 0.02 0.00 0.12 0.03 1.91 0.07 0.05
 -------- 02:00 0.02 0.00 0.12 0.07 2.06 0.07 0.05
 -------- 03:00 0.02 0.00 0.12 0.11 2.48 0.08 0.06
 -------- 04:00 0.02 0.00 0.12 0.09 1.85 0.08 0.06
 -------- 05:00 0.02 0.00 0.12 0.11 1.85 0.07 0.07
 12.01.13 06:00 0.02 0.00 0.21 0.15 2.33 0.08 0.06
 -------- 07:00 0.02 0.00 0.21 0.13 2.09 0.07 0.06
 -------- 08:00 0.03 0.00 0.17 0.16 2.05 0.08 0.07
 -------- 09:00 0.05 0.00 0.17 0.21 2.76 0.10 0.07
 -------- 10:00 0.04 0.00 0.12 0.18 1.81 0.11 0.06
 12.01.13 11:00 0.04 0.00 0.12 0.13 1.75 0.13 0.06
 -------- 12:00 0.03 0.01 0.17 0.09 1.80 0.12 0.06
 -------- 13:00 0.03 0.01 0.25 0.12 2.29 0.15 0.07
 -------- 14:00 0.05 0.01 0.25 0.17 3.17 0.18 0.07
 -------- 15:00 0.04 0.01 0.25 0.14 2.08 0.14 0.06
 12.01.13 16:00 0.04 0.01 0.21 0.15 1.78 0.11 0.07
 -------- 17:00 0.04 0.01 0.33 0.17 3.38 0.12 0.06
 -------- 18:00 0.04 0.01 0.25 0.25 2.42 0.27 0.08
 -------- 19:00 0.05 0.01 0.25 0.25 2.03 0.28 0.09
 -------- 20:00 0.06 0.01 0.38 0.24 3.61 0.19 0.09
 12.01.13 21:00 0.06 0.01 0.42 0.24 5.93 0.19 0.08
 -------- 22:00 0.06 0.01 0.29 0.23 3.04 0.18 0.06
 -------- 23:00 0.06 0.01 0.54 0.21 6.90 0.18 0.07
