 Date Time CO H2S NO2 CHX NO PM10
 30.11.12 12:00 0.03 0.21 0.05 1.62 0.00 0.02
 -------- 13:00 0.04 0.33 0.05 1.62 0.01 0.01
 -------- 14:00 0.04 0.17 0.05 1.62 0.01 0.03
 -------- 15:00 0.04 0.25 0.05 1.64 0.01 0.04
 -------- 16:00 0.04 0.21 0.07 1.63 0.01 0.04
 30.11.12 17:00 0.04 0.17 0.06 1.66 0.01 0.03
 -------- 18:00 0.04 ---- 0.09 1.92 0.01 0.02
 -------- 19:00 0.05 0.12 0.11 1.85 0.03 0.02
 -------- 20:00 0.04 0.44 0.12 1.85 0.05 0.03
 -------- 21:00 0.06 0.33 0.14 1.94 0.16 0.07
 30.11.12 22:00 0.08 0.21 0.17 1.84 0.12 0.05
 -------- 23:00 0.07 0.25 0.16 1.84 0.12 0.07
 -------- 00:00 0.07 1.42 0.17 2.22 0.24 0.07
 -------- 01:00 0.09 3.17 0.18 2.83 0.31 0.10
 -------- 02:00 0.08 1.29 0.18 2.45 0.19 0.06
 01.12.12 03:00 0.06 1.21 0.19 2.26 0.17 0.06
 -------- 04:00 0.06 1.08 0.20 2.17 0.16 0.07
 -------- 05:00 0.05 0.31 0.21 1.85 0.06 0.08
 -------- 06:00 0.04 0.12 0.17 1.70 0.02 0.07
 -------- 07:00 0.03 0.12 0.14 1.63 0.01 0.06
 01.12.12 08:00 0.03 0.12 0.14 1.67 0.02 0.07
 -------- 09:00 0.04 0.12 0.15 1.69 0.04 0.05
 -------- 10:00 0.05 0.12 0.15 1.72 0.06 0.06
 -------- 11:00 0.05 0.12 0.15 1.72 0.09 0.06
 -------- 12:00 0.04 0.12 0.15 1.78 0.12 0.07
 01.12.12 13:00 0.05 0.21 0.14 1.75 0.11 0.06
 -------- 14:00 0.05 0.12 0.14 1.76 0.11 0.07
 -------- 15:00 0.04 0.12 0.13 1.76 0.11 0.06
 -------- 16:00 0.05 0.21 0.14 1.82 0.15 0.06
 -------- 17:00 0.07 0.25 0.15 1.90 0.18 0.07
 01.12.12 18:00 0.07 0.21 0.15 1.96 0.21 0.07
 -------- 19:00 0.05 0.25 0.15 1.96 0.20 0.08
 -------- 20:00 0.04 0.33 0.14 1.99 0.17 0.06
 -------- 21:00 0.03 0.50 0.15 2.01 0.20 0.08
 -------- 22:00 0.04 0.50 0.13 2.01 0.16 0.06
 01.12.12 23:00 0.04 0.62 0.12 2.04 0.18 0.06
 -------- 00:00 0.04 0.25 0.13 1.96 0.14 0.06
 -------- 01:00 0.02 0.25 0.13 1.91 0.12 0.05
 -------- 02:00 0.02 0.25 0.12 1.88 0.12 0.04
 -------- 03:00 0.02 0.62 0.12 1.96 0.14 0.04
 02.12.12 04:00 0.02 0.42 0.11 1.97 0.14 0.05
 -------- 05:00 0.02 0.46 0.12 1.95 0.13 0.04
 -------- 06:00 0.03 0.12 0.12 2.03 0.22 0.05
 -------- 07:00 0.03 ---- 0.12 1.82 0.10 0.03
 -------- 08:00 0.02 0.17 0.10 1.87 0.07 0.02
 02.12.12 09:00 ---- 0.12 0.10 1.75 0.02 0.03
 -------- 10:00 ---- 0.25 0.09 1.65 0.02 0.05
 -------- 11:00 ---- 0.12 0.10 1.66 0.03 0.04
