 Date Time CO H2S NO2 CHX NO PM10
 23.11.12 12:00 0.02 0.17 0.19 1.64 0.04 0.10
 -------- 13:00 0.04 0.17 0.19 1.65 0.05 0.10
 -------- 14:00 0.04 0.21 0.21 1.67 0.07 0.09
 -------- 15:00 0.04 0.25 0.23 1.71 0.07 0.13
 -------- 16:00 0.04 0.12 0.24 1.70 0.05 0.11
 23.11.12 17:00 0.04 0.17 0.25 1.73 0.05 0.13
 -------- 18:00 0.04 0.31 0.26 1.72 0.05 0.13
 -------- 19:00 0.03 0.21 0.24 1.71 0.05 0.11
 -------- 20:00 0.02 0.12 0.25 1.68 0.05 0.09
 -------- 21:00 0.02 0.12 0.25 1.70 0.06 0.09
 23.11.12 22:00 0.02 0.12 0.25 1.75 0.08 0.09
 -------- 23:00 0.02 0.12 0.24 1.74 0.07 0.12
 -------- 00:00 ---- 0.25 0.24 1.74 0.06 0.08
 -------- 01:00 ---- 0.29 0.23 1.75 0.05 0.10
 -------- 02:00 ---- 0.12 0.22 1.73 0.04 0.06
 24.11.12 03:00 ---- 0.21 0.21 1.79 0.05 0.08
 -------- 04:00 ---- 0.21 0.21 1.78 0.05 0.07
 -------- 05:00 ---- 0.29 0.20 1.78 0.05 0.10
 -------- 06:00 ---- 0.25 0.20 1.78 0.05 0.06
 -------- 07:00 ---- 0.25 0.20 1.75 0.05 0.05
 24.11.12 08:00 ---- 0.19 0.20 1.96 0.14 0.07
 -------- 09:00 ---- 0.25 0.22 1.87 0.19 0.10
 -------- 10:00 ---- 0.29 0.21 1.81 0.13 0.12
 -------- 11:00 ---- 0.29 0.21 1.80 0.11 0.11
 -------- 12:00 ---- 0.12 0.20 1.77 0.09 0.13
 24.11.12 13:00 ---- 0.25 0.20 1.80 0.10 0.15
 -------- 14:00 ---- 0.17 0.21 1.83 0.12 0.15
 -------- 15:00 ---- 0.33 0.21 1.82 0.11 0.18
 -------- 16:00 ---- 0.25 0.21 1.84 0.11 0.16
 -------- 17:00 ---- 0.33 0.21 1.85 0.11 0.17
 24.11.12 18:00 ---- 0.12 0.21 1.85 0.11 0.17
 -------- 19:00 0.02 0.12 0.22 1.78 0.13 0.14
 -------- 20:00 0.03 0.54 0.22 1.79 0.21 0.12
 -------- 21:00 0.02 0.75 0.21 1.81 0.10 0.11
 -------- 22:00 0.02 0.21 0.20 1.70 0.02 0.08
 24.11.12 23:00 ---- 0.58 0.19 1.78 0.01 0.09
 -------- 00:00 ---- 0.38 0.14 1.65 0.00 0.06
 -------- 01:00 ---- 0.46 0.13 1.63 0.00 0.03
 -------- 02:00 ---- 0.29 0.13 1.65 0.00 0.05
 -------- 03:00 ---- 0.33 0.13 1.68 ---- 0.05
 25.11.12 04:00 ---- 0.21 0.12 1.69 ---- 0.03
 -------- 05:00 ---- 0.29 0.13 1.65 ---- 0.05
 -------- 06:00 ---- 0.42 0.13 1.64 0.00 0.05
 -------- 07:00 0.02 0.67 0.11 1.65 ---- 0.04
 -------- 08:00 0.02 0.29 0.09 1.62 ---- 0.02
 25.11.12 09:00 0.02 0.21 0.11 1.62 0.00 0.04
 -------- 10:00 0.02 0.25 0.13 1.66 0.01 0.04
 -------- 11:00 0.02 0.17 0.13 1.67 0.01 0.03
