 Date Time CO SO2 H2S NO2 CHX NO PM10
 01.03.13 12:00 ---- 0.00 0.12 0.30 1.12 0.06 0.03
 -------- 13:00 ---- 0.00 0.12 0.29 1.12 0.06 0.04
 -------- 14:00 ---- 0.00 0.12 0.34 1.12 0.07 0.04
 -------- 15:00 ---- 0.00 0.12 0.32 1.13 0.06 0.03
 -------- 16:00 ---- 0.00 0.12 0.32 1.10 0.06 0.03
 01.03.13 17:00 ---- 0.00 0.12 0.31 1.08 0.05 0.02
 -------- 18:00 ---- 0.00 0.12 0.30 1.08 0.04 0.02
 -------- 19:00 0.04 0.00 0.12 0.31 1.06 0.04 0.02
 -------- 20:00 0.04 0.00 0.12 0.30 1.07 0.04 0.02
 -------- 21:00 0.04 ---- 0.12 0.29 1.06 0.03 0.02
 01.03.13 22:00 0.04 ---- 0.12 0.29 1.08 0.03 0.02
 -------- 23:00 0.04 ---- 0.12 0.30 1.08 0.03 0.02
 -------- 00:00 0.04 0.00 0.12 0.15 1.08 0.03 0.03
 -------- 01:00 0.04 0.00 0.21 0.13 1.08 0.03 0.03
 -------- 02:00 0.04 0.00 0.12 0.12 1.08 0.03 0.03
 02.03.13 03:00 0.03 0.00 0.12 0.09 1.07 0.03 0.03
 -------- 04:00 0.02 ---- 0.12 0.07 1.07 0.03 0.03
 -------- 05:00 0.02 ---- 0.12 0.09 1.07 0.03 0.03
 -------- 06:00 0.02 ---- 0.12 0.09 1.07 0.03 0.04
 -------- 07:00 0.02 ---- 0.12 0.08 1.08 0.03 0.04
 02.03.13 08:00 ---- ---- ---- 0.08 1.08 0.03 0.05
 -------- 09:00 ---- ---- ---- 0.10 1.08 0.03 0.03
 -------- 10:00 ---- ---- ---- 0.10 1.09 0.04 0.05
 -------- 11:00 ---- ---- ---- 0.09 1.09 0.04 0.05
 -------- 12:00 ---- ---- ---- 0.08 1.09 0.04 0.05
 02.03.13 13:00 ---- ---- ---- 0.09 1.09 0.04 0.04
 -------- 14:00 ---- ---- ---- 0.09 1.09 0.04 0.04
 -------- 15:00 ---- ---- ---- 0.09 1.09 0.04 0.04
 -------- 16:00 ---- 0.00 ---- 0.09 1.09 0.04 0.02
 -------- 17:00 ---- 0.00 0.12 0.08 1.08 0.04 0.02
 02.03.13 18:00 ---- 0.00 0.12 0.10 1.16 0.03 0.02
 -------- 19:00 0.02 0.00 0.12 0.14 1.21 0.03 0.03
 -------- 20:00 0.02 0.00 0.12 0.21 1.23 0.03 0.03
 -------- 21:00 0.02 0.00 0.12 0.22 1.29 0.03 0.03
 -------- 22:00 0.02 0.00 0.12 0.25 1.32 0.03 0.03
 02.03.13 23:00 0.03 0.00 0.12 0.31 1.46 0.04 0.03
 -------- 00:00 0.04 ---- 0.12 0.37 1.44 0.05 0.03
 -------- 01:00 0.04 0.00 ---- 0.41 1.34 0.08 0.03
 -------- 02:00 0.09 0.00 ---- 0.42 1.59 0.05 0.04
 -------- 03:00 0.09 0.00 ---- 0.43 1.53 0.09 0.03
 03.03.13 04:00 0.04 ---- ---- 0.47 1.43 0.08 0.04
 -------- 05:00 0.04 0.00 2.44 0.53 2.90 0.28 0.07
 -------- 06:00 0.06 0.00 2.00 0.60 3.59 0.40 0.12
 -------- 07:00 0.05 ---- 0.67 0.59 2.84 0.41 0.12
 -------- 08:00 0.06 ---- 1.00 0.59 2.65 0.40 0.16
 03.03.13 09:00 0.07 ---- 0.42 0.58 2.60 0.39 0.14
 -------- 10:00 0.06 ---- 0.25 0.58 2.30 0.39 0.12
 -------- 11:00 0.06 0.00 0.12 0.55 1.95 0.29 0.12
