 Date Time CO SO2 H2S NO2 CHX NO PM10
 19.01.13 12:00 ---- 0.03 0.33 0.35 3.39 0.20 0.07
 -------- 13:00 0.02 0.03 0.62 0.41 4.56 0.25 0.10
 -------- 14:00 0.03 0.03 1.17 0.52 3.02 0.39 0.12
 -------- 15:00 0.04 0.04 1.33 0.55 2.72 0.39 0.14
 -------- 16:00 0.04 0.03 1.58 0.62 2.83 0.49 0.16
 19.01.13 17:00 0.04 0.02 1.42 0.67 2.79 0.49 0.15
 -------- 18:00 0.04 0.02 0.75 0.61 2.72 0.43 0.12
 -------- 19:00 0.06 0.02 0.79 0.55 2.69 0.41 0.11
 -------- 20:00 0.10 0.02 0.75 0.57 3.09 0.47 0.10
 -------- 21:00 0.10 0.01 0.62 0.48 2.78 0.30 0.09
 19.01.13 22:00 0.08 0.01 0.50 0.45 3.13 0.33 0.09
 -------- 23:00 0.08 0.01 0.46 0.47 3.08 0.37 0.10
 -------- 00:00 0.08 0.01 0.33 0.45 4.37 0.42 0.10
 -------- 01:00 0.08 0.00 0.42 0.48 6.87 0.46 0.12
 -------- 02:00 0.08 0.00 0.33 0.48 5.61 0.38 0.11
 20.01.13 03:00 0.08 0.00 0.33 0.49 4.85 0.46 0.11
 -------- 04:00 0.06 0.00 0.29 0.47 3.01 0.38 0.12
 -------- 05:00 0.04 0.00 0.25 0.50 3.17 0.29 0.13
 -------- 06:00 0.04 0.00 0.25 0.49 3.41 0.27 0.14
 -------- 07:00 0.04 0.01 0.25 0.52 3.21 0.30 0.12
 20.01.13 08:00 ---- 0.01 0.25 0.53 3.08 0.30 0.11
 -------- 09:00 ---- 0.01 0.38 0.52 3.51 0.30 0.11
 -------- 10:00 ---- 0.01 0.38 0.50 3.14 0.27 0.11
 -------- 11:00 ---- 0.01 0.25 0.49 2.69 0.30 0.12
 -------- 12:00 ---- 0.01 0.33 0.48 2.57 0.30 0.12
 20.01.13 13:00 ---- 0.02 0.38 0.47 2.45 0.28 0.13
 -------- 14:00 ---- 0.03 0.54 0.51 5.34 0.30 0.13
 -------- 15:00 ---- 0.02 0.50 0.52 4.02 0.29 0.12
 -------- 16:00 ---- 0.02 0.50 0.54 2.59 0.31 0.13
 -------- 17:00 ---- 0.02 0.46 0.60 2.72 0.32 0.13
 20.01.13 18:00 ---- 0.02 0.50 0.51 2.19 0.25 0.09
 -------- 19:00 ---- 0.02 0.46 0.49 2.13 0.24 0.10
 -------- 20:00 ---- 0.02 0.42 0.43 1.97 0.17 0.07
 -------- 21:00 ---- 0.02 0.42 0.40 2.88 0.13 0.06
 -------- 22:00 ---- 0.01 0.38 0.43 3.23 0.18 0.06
 20.01.13 23:00 ---- 0.02 0.38 0.40 2.13 0.18 0.06
 -------- 00:00 ---- 0.02 0.31 0.35 2.52 0.09 0.05
 -------- 01:00 ---- 0.02 0.12 0.35 2.82 0.07 0.05
 -------- 02:00 ---- 0.02 ---- 0.34 1.98 0.09 0.05
 -------- 03:00 ---- 0.02 ---- 0.33 1.81 0.07 0.04
 21.01.13 04:00 ---- 0.01 ---- 0.32 1.78 0.06 0.04
 -------- 05:00 ---- 0.01 0.12 0.31 1.78 0.06 0.05
 -------- 06:00 ---- 0.01 0.12 0.32 1.78 0.07 0.04
 -------- 07:00 ---- 0.01 0.12 0.33 1.80 0.09 0.05
 -------- 08:00 0.02 0.02 0.12 0.36 1.87 0.21 0.05
 21.01.13 09:00 0.02 0.02 0.21 0.36 1.88 0.17 0.06
 -------- 10:00 0.02 0.02 0.25 0.36 1.97 0.19 0.06
 -------- 11:00 0.02 0.03 0.25 0.37 1.95 0.24 0.06
