 Date Time CO H2S NO2 CHX NO PM10
 08.10.12 12:00 0.10 0.29 0.13 1.64 0.01 0.02
 -------- 13:00 0.10 0.25 0.13 1.55 0.01 0.02
 -------- 14:00 0.08 0.12 0.09 1.51 0.00 0.02
 -------- 15:00 0.08 0.12 0.07 1.50 0.00 0.01
 -------- 16:00 0.08 0.12 0.06 1.50 0.00 0.02
 08.10.12 17:00 0.08 0.12 0.07 1.51 0.00 0.01
 -------- 18:00 0.08 0.12 0.06 1.49 0.00 0.01
 -------- 19:00 0.08 0.12 0.06 1.50 0.00 0.01
 -------- 20:00 0.08 0.12 0.07 1.50 0.00 0.01
 -------- 21:00 0.09 0.21 0.10 1.58 0.00 0.02
 08.10.12 22:00 0.09 0.12 0.09 1.59 ---- 0.01
 -------- 23:00 0.08 ---- 0.08 1.54 ---- 0.01
 -------- 00:00 0.08 0.12 0.10 1.54 ---- 0.01
 -------- 01:00 0.08 0.17 0.08 1.56 ---- 0.01
 -------- 02:00 0.08 0.21 0.07 1.56 ---- 0.01
 09.10.12 03:00 0.07 0.21 0.06 1.58 ---- 0.01
 -------- 04:00 0.08 ---- 0.09 1.53 ---- 0.01
 -------- 05:00 0.08 ---- 0.12 1.54 ---- 0.01
 -------- 06:00 0.08 0.12 0.12 1.52 0.00 0.01
 -------- 07:00 0.08 0.17 0.14 1.53 0.00 0.01
 09.10.12 08:00 0.07 0.12 0.15 1.54 0.01 0.01
 -------- 09:00 0.07 0.12 0.13 1.56 0.01 0.02
 -------- 10:00 0.06 ---- 0.07 1.54 0.00 0.02
 -------- 11:00 0.06 ---- 0.11 1.53 0.00 0.02
 -------- 12:00 0.06 0.19 0.12 1.54 0.01 0.03
 09.10.12 13:00 0.06 0.25 0.09 1.55 0.00 0.02
 -------- 14:00 0.06 ---- 0.11 1.56 0.01 0.02
 -------- 15:00 0.06 ---- 0.10 1.56 0.00 0.03
 -------- 16:00 0.06 ---- 0.09 1.54 0.00 0.03
 -------- 17:00 0.06 ---- 0.09 1.53 0.00 0.04
 09.10.12 18:00 0.06 0.25 0.07 1.51 0.00 0.03
 -------- 19:00 0.07 0.38 0.09 1.54 0.00 0.03
 -------- 20:00 0.09 0.12 0.08 1.53 0.00 0.03
 -------- 21:00 0.09 0.12 0.10 1.54 0.00 0.02
 -------- 22:00 0.10 0.12 0.12 1.55 0.00 0.02
 09.10.12 23:00 0.08 0.12 0.10 1.54 ---- 0.01
 -------- 00:00 0.08 0.21 0.07 1.51 ---- 0.01
 -------- 01:00 0.08 0.21 0.10 1.52 ---- 0.01
 -------- 02:00 0.07 0.12 0.07 1.52 ---- 0.01
 -------- 03:00 0.06 0.12 0.08 1.52 ---- 0.01
 10.10.12 04:00 0.06 0.12 0.08 1.53 ---- 0.01
 -------- 05:00 0.08 0.12 0.10 1.58 ---- 0.01
 -------- 06:00 0.11 0.12 0.19 1.63 0.01 0.02
 -------- 07:00 0.12 0.12 0.24 1.60 0.03 0.03
 -------- 08:00 0.13 0.21 0.21 1.63 0.03 0.03
 10.10.12 09:00 0.15 0.38 0.22 1.68 0.07 0.05
 -------- 10:00 0.15 0.12 0.20 1.66 0.07 0.05
 -------- 11:00 0.16 ---- 0.21 1.70 0.09 0.08
