 Date Time CO H2S NO2 CHX NO
 21.09.12 12:00 0.09 0.56 0.19 1.73 0.04
 -------- 13:00 0.06 0.38 0.09 1.58 0.01
 -------- 14:00 0.04 0.25 0.05 1.53 0.00
 -------- 15:00 0.03 0.25 0.04 1.51 ----
 -------- 16:00 0.05 0.25 0.08 1.53 ----
 21.09.12 17:00 0.05 0.33 0.10 1.55 0.00
 -------- 18:00 0.07 0.12 0.12 1.57 0.01
 -------- 19:00 0.11 0.21 0.26 1.64 0.05
 -------- 20:00 0.10 0.25 0.13 1.60 ----
 -------- 21:00 0.09 0.21 0.10 1.56 ----
 21.09.12 22:00 0.08 0.33 0.08 1.56 ----
 -------- 23:00 0.08 0.33 0.09 1.57 ----
 -------- 00:00 0.08 0.29 0.11 1.60 ----
 -------- 01:00 0.08 0.42 0.12 1.64 ----
 -------- 02:00 0.08 0.12 0.08 1.60 ----
 22.09.12 03:00 0.07 ---- 0.05 1.52 ----
 -------- 04:00 0.06 0.21 0.04 1.51 ----
 -------- 05:00 0.06 0.25 0.04 1.51 ----
 -------- 06:00 0.06 0.12 0.05 1.51 ----
 -------- 07:00 0.05 0.12 0.06 1.51 ----
 22.09.12 08:00 0.04 0.12 0.05 1.51 0.00
 -------- 09:00 0.04 0.25 0.05 1.51 0.00
 -------- 10:00 0.05 ---- 0.05 1.52 0.01
 -------- 11:00 0.04 ---- 0.05 1.64 0.01
 -------- 12:00 0.06 0.17 0.05 1.85 0.01
 22.09.12 13:00 0.06 0.25 0.05 1.69 0.01
 -------- 14:00 0.06 0.12 0.05 1.89 0.01
 -------- 15:00 0.06 0.12 0.06 1.76 0.00
 -------- 16:00 0.06 0.17 0.06 1.72 0.00
 -------- 17:00 0.07 0.21 0.06 1.77 0.00
 22.09.12 18:00 0.08 0.12 0.09 2.31 0.00
 -------- 19:00 0.09 0.12 0.10 1.67 0.00
 -------- 20:00 0.15 0.12 0.14 2.81 0.00
 -------- 21:00 0.17 0.17 0.16 2.07 ----
 -------- 22:00 0.17 0.12 0.18 2.22 0.01
 22.09.12 23:00 0.13 0.12 0.14 1.78 0.00
 -------- 00:00 0.11 0.46 0.12 1.76 0.00
 -------- 01:00 0.08 1.42 0.09 1.78 ----
 -------- 02:00 0.08 1.42 0.09 1.77 ----
 -------- 03:00 0.08 2.08 0.09 1.84 ----
 23.09.12 04:00 0.09 0.75 0.09 1.76 ----
 -------- 05:00 0.10 ---- 0.10 1.70 ----
 -------- 06:00 0.10 0.12 0.11 1.72 ----
 -------- 07:00 0.09 0.17 0.08 1.75 ----
 -------- 08:00 0.09 0.46 0.08 1.76 0.00
 23.09.12 09:00 0.08 0.96 0.08 1.73 0.01
 -------- 10:00 0.09 0.31 0.10 1.68 0.01
 -------- 11:00 0.10 0.12 0.09 1.64 0.01
