 Date Time CO SO2 H2S NO2 CHX NO PM10
 27.03.13 00:00 0.02 0.01 0.12 0.40 1.40 0.03 0.02
 -------- 01:00 0.02 0.02 0.21 0.38 1.40 0.03 0.02
 -------- 02:00 ---- 0.01 0.12 0.31 1.40 0.03 0.02
 -------- 03:00 ---- 0.01 0.21 0.31 1.45 0.03 0.02
 -------- 04:00 ---- 0.01 0.25 0.34 1.51 0.03 0.02
 27.03.13 05:00 0.02 0.01 0.25 0.36 1.47 0.03 0.02
 -------- 06:00 0.02 0.01 0.25 0.39 1.46 0.04 0.02
 -------- 07:00 0.06 0.01 0.21 0.42 1.50 0.05 0.02
 -------- 08:00 0.08 0.01 0.25 0.41 1.50 0.07 0.03
 -------- 09:00 0.11 0.02 0.29 0.42 1.78 0.11 0.04
 27.03.13 10:00 0.11 0.03 0.38 0.39 2.27 0.13 0.06
 -------- 11:00 0.07 0.02 0.38 0.24 1.43 0.07 0.04
 -------- 12:00 0.05 0.02 0.33 0.20 1.44 0.07 0.03
 -------- 13:00 0.05 0.02 0.38 0.22 1.45 0.07 0.04
 -------- 14:00 0.06 0.02 0.42 0.22 1.44 0.06 0.02
 27.03.13 15:00 0.06 0.02 0.38 0.24 1.45 0.06 0.03
 -------- 16:00 0.05 0.02 0.38 0.18 1.42 0.05 0.02
 -------- 17:00 0.04 0.02 0.38 0.15 1.40 0.04 0.02
 -------- 18:00 0.05 0.02 0.33 0.18 1.41 0.04 0.02
 -------- 19:00 0.05 0.02 0.25 0.17 1.40 0.04 0.03
 27.03.13 20:00 0.05 0.02 0.25 0.26 1.44 0.03 0.03
 -------- 21:00 0.07 0.02 0.25 0.38 1.45 0.03 0.03
 -------- 22:00 0.07 0.02 0.25 0.43 1.45 0.04 0.03
 -------- 23:00 0.08 0.02 0.25 0.53 1.49 0.04 0.03
 -------- 00:00 0.08 0.01 0.21 0.54 1.49 0.04 0.03
 28.03.13 01:00 0.09 0.01 0.12 0.58 1.52 0.05 0.04
 -------- 02:00 0.10 0.01 0.12 0.68 1.58 0.12 0.05
 -------- 03:00 0.09 0.01 0.12 0.66 1.55 0.10 0.04
 -------- 04:00 0.07 0.01 0.12 0.57 1.51 0.06 0.04
 -------- 05:00 0.06 0.01 0.12 0.57 1.51 0.05 0.03
 28.03.13 06:00 0.06 0.00 0.12 0.49 1.51 0.04 0.03
 -------- 07:00 0.07 0.00 0.12 0.50 1.50 0.05 0.03
 -------- 08:00 0.10 0.01 0.12 0.47 1.50 0.10 0.03
 -------- 09:00 0.10 0.01 0.25 0.42 1.49 0.12 0.03
 -------- 10:00 0.09 0.01 0.25 0.35 1.48 0.10 0.03
 28.03.13 11:00 0.08 0.01 0.29 0.34 1.49 0.11 0.04
 -------- 12:00 0.06 0.01 0.25 0.28 1.48 0.08 0.03
 -------- 13:00 0.06 0.01 0.25 0.22 1.41 0.07 0.02
 -------- 14:00 0.05 0.01 0.25 0.18 1.40 0.05 0.02
 -------- 15:00 0.04 0.01 0.25 0.13 1.37 0.04 0.02
 28.03.13 16:00 0.04 0.01 0.25 0.15 1.38 0.04 0.02
 -------- 17:00 0.05 0.01 0.25 0.13 1.37 0.04 0.02
 -------- 18:00 0.04 0.01 0.25 0.14 1.37 0.04 0.02
 -------- 19:00 0.05 0.01 0.25 0.19 1.39 0.03 0.02
 -------- 20:00 0.07 0.01 0.25 0.43 1.43 0.04 0.03
 28.03.13 21:00 0.11 0.01 0.29 0.58 1.50 0.09 0.04
 -------- 22:00 0.17 0.02 0.38 0.68 1.62 0.21 0.05
 -------- 23:00 0.18 0.02 0.38 0.67 1.65 0.22 0.05
