 Date Time CO H2S NO2 CHX NO
 22.09.12 00:00 0.08 0.31 0.11 1.61 ----
 -------- 01:00 0.08 0.42 0.12 1.64 ----
 -------- 02:00 0.08 0.12 0.08 1.60 ----
 -------- 03:00 0.07 ---- 0.05 1.52 ----
 -------- 04:00 0.06 0.21 0.04 1.51 ----
 22.09.12 05:00 0.06 0.25 0.04 1.51 ----
 -------- 06:00 0.06 0.12 0.05 1.51 ----
 -------- 07:00 0.05 0.12 0.06 1.51 ----
 -------- 08:00 0.04 0.12 0.05 1.51 0.00
 -------- 09:00 0.04 0.25 0.05 1.51 0.00
 22.09.12 10:00 0.05 ---- 0.05 1.52 0.01
 -------- 11:00 0.04 ---- 0.05 1.64 0.01
 -------- 12:00 0.06 0.17 0.05 1.85 0.01
 -------- 13:00 0.06 0.25 0.05 1.69 0.01
 -------- 14:00 0.06 0.12 0.05 1.89 0.01
 22.09.12 15:00 0.06 0.12 0.06 1.76 0.00
 -------- 16:00 0.06 0.17 0.06 1.72 0.00
 -------- 17:00 0.07 0.21 0.06 1.77 0.00
 -------- 18:00 0.08 0.12 0.09 2.31 0.00
 -------- 19:00 0.09 0.12 0.10 1.67 0.00
 22.09.12 20:00 0.15 0.12 0.14 2.81 0.00
 -------- 21:00 0.17 0.17 0.16 2.07 ----
 -------- 22:00 0.17 0.12 0.18 2.22 0.01
 -------- 23:00 0.13 0.12 0.14 1.78 0.00
 -------- 00:00 0.11 0.46 0.12 1.76 0.00
 23.09.12 01:00 0.08 1.42 0.09 1.78 ----
 -------- 02:00 0.08 1.42 0.09 1.77 ----
 -------- 03:00 0.08 2.08 0.09 1.84 ----
 -------- 04:00 0.09 0.75 0.09 1.76 ----
 -------- 05:00 0.10 ---- 0.10 1.70 ----
 23.09.12 06:00 0.10 0.12 0.11 1.72 ----
 -------- 07:00 0.09 0.17 0.08 1.75 ----
 -------- 08:00 0.09 0.46 0.08 1.76 0.00
 -------- 09:00 0.08 0.96 0.08 1.73 0.01
 -------- 10:00 0.09 0.31 0.10 1.68 0.01
 23.09.12 11:00 0.10 0.12 0.09 1.64 0.01
 -------- 12:00 0.08 0.38 0.07 1.68 0.00
 -------- 13:00 0.09 1.29 0.09 1.73 0.01
 -------- 14:00 0.10 0.67 0.11 1.79 0.01
 -------- 15:00 0.12 0.50 0.15 1.72 0.01
 23.09.12 16:00 0.10 0.54 0.12 1.66 0.01
 -------- 17:00 0.11 0.62 0.13 1.65 0.01
 -------- 18:00 0.14 0.21 0.16 1.71 0.02
 -------- 19:00 0.14 0.25 0.16 1.72 0.03
 -------- 20:00 0.17 0.17 0.15 1.73 0.03
 23.09.12 21:00 0.17 0.12 0.17 1.80 0.04
 -------- 22:00 0.13 0.19 0.17 1.62 0.00
 -------- 23:00 0.12 0.29 0.21 1.61 0.00
