 Date Time CO SO2 H2S NO2 CHX NO PM10
 14.04.13 12:00 0.07 0.02 0.25 0.13 1.46 0.04 0.11
 -------- 13:00 0.06 0.01 0.21 0.12 1.42 0.03 0.08
 -------- 14:00 0.06 0.01 0.12 0.11 1.42 0.03 0.07
 -------- 15:00 0.07 0.01 0.12 0.11 1.40 0.03 0.07
 -------- 16:00 0.06 0.01 0.12 0.11 1.45 0.03 0.07
 14.04.13 17:00 0.06 0.03 0.17 0.12 1.43 0.03 0.08
 -------- 18:00 0.08 0.05 0.25 0.13 1.48 0.03 0.09
 -------- 19:00 0.07 0.04 0.25 0.18 1.45 0.03 0.11
 -------- 20:00 0.08 0.04 0.21 0.31 1.43 0.03 0.13
 -------- 21:00 0.09 0.03 0.25 0.31 1.48 0.03 0.15
 14.04.13 22:00 0.10 0.05 0.33 0.22 1.76 0.03 0.12
 -------- 23:00 0.10 0.05 0.29 0.21 1.99 0.03 0.12
 -------- 00:00 0.08 0.03 0.25 0.24 1.96 0.03 0.12
 -------- 01:00 0.09 0.03 0.12 0.26 1.99 0.03 0.12
 -------- 02:00 0.10 0.02 0.12 0.24 1.96 0.03 0.13
 15.04.13 03:00 0.10 0.02 0.12 0.24 2.13 0.03 0.14
 -------- 04:00 0.10 0.01 0.12 0.24 2.39 0.03 0.13
 -------- 05:00 0.10 0.01 0.12 0.27 2.38 0.03 0.15
 -------- 06:00 0.11 0.01 0.17 0.39 3.51 0.07 0.11
 -------- 07:00 0.13 0.01 0.25 0.46 5.91 0.14 0.14
 15.04.13 08:00 0.15 0.04 0.46 0.46 5.03 0.11 0.18
 -------- 09:00 0.14 0.06 0.83 0.52 2.48 0.15 0.25
 -------- 10:00 0.15 0.06 0.75 0.52 2.00 0.13 0.22
 -------- 11:00 0.13 0.08 0.62 0.56 1.84 0.12 0.24
 -------- 12:00 0.12 0.09 0.50 0.54 1.76 0.09 0.23
 15.04.13 13:00 0.09 0.05 0.29 0.32 1.57 0.05 0.13
 -------- 14:00 0.06 0.02 0.12 0.21 1.49 0.04 0.12
 -------- 15:00 0.06 0.03 0.12 0.33 1.47 0.05 0.12
 -------- 16:00 0.06 0.05 0.12 0.46 1.47 0.06 0.12
 -------- 17:00 0.06 0.04 0.12 0.42 1.55 0.05 0.12
 15.04.13 18:00 0.06 0.02 0.17 0.25 1.54 0.04 0.11
 -------- 19:00 0.06 0.01 0.21 0.24 1.53 0.03 0.11
 -------- 20:00 0.07 0.01 0.33 0.31 1.51 0.03 0.13
 -------- 21:00 0.09 0.02 0.62 0.47 1.72 0.03 0.16
 -------- 22:00 0.15 0.02 0.54 0.69 1.86 0.09 0.19
 15.04.13 23:00 0.15 0.01 0.33 0.55 1.93 0.06 0.19
 -------- 00:00 0.12 0.01 0.19 0.59 1.83 0.07 0.16
 -------- 01:00 0.12 0.01 0.17 0.66 2.26 0.07 0.18
 -------- 02:00 0.15 0.01 0.12 0.69 2.16 0.07 0.21
 -------- 03:00 0.22 0.01 0.29 0.69 2.04 0.08 0.28
 16.04.13 04:00 0.17 0.01 0.33 0.72 1.98 0.06 0.18
 -------- 05:00 0.14 0.01 0.25 0.75 2.10 0.16 0.20
 -------- 06:00 0.16 0.01 0.33 0.71 2.16 0.27 0.21
 -------- 07:00 0.21 0.01 0.50 0.72 3.06 0.44 0.29
 -------- 08:00 0.21 0.02 0.62 0.61 3.50 0.28 0.30
 16.04.13 09:00 0.23 0.05 1.33 0.75 3.55 0.54 0.51
 -------- 10:00 0.24 0.05 0.62 0.81 2.16 0.27 0.33
 -------- 11:00 0.16 0.03 0.21 0.64 1.61 0.10 0.21
