 Date Time CO SO2 H2S NO2 CHX NO PM10
 17.04.13 12:00 0.06 0.02 0.38 0.30 1.46 0.05 0.12
 -------- 13:00 0.04 0.02 0.29 0.25 1.42 0.04 0.09
 -------- 14:00 0.04 0.02 0.25 0.24 1.42 0.04 0.08
 -------- 15:00 0.02 0.01 0.25 0.23 1.42 0.04 0.08
 -------- 16:00 0.05 0.01 0.33 0.27 1.47 0.04 0.09
 17.04.13 17:00 0.04 0.02 0.38 0.25 1.44 0.03 0.09
 -------- 18:00 0.04 0.01 0.29 0.26 1.43 0.03 0.10
 -------- 19:00 0.08 0.01 0.29 0.27 1.43 0.04 0.11
 -------- 20:00 0.11 0.01 0.33 0.39 1.46 0.03 0.12
 -------- 21:00 0.14 0.02 0.38 0.59 1.55 0.04 0.15
 17.04.13 22:00 0.19 0.01 0.38 0.57 1.67 0.07 0.18
 -------- 23:00 0.25 0.01 0.50 0.60 2.06 0.11 0.20
 -------- 00:00 0.20 0.01 0.33 0.71 1.99 0.11 0.19
 -------- 01:00 0.17 0.01 0.25 0.67 1.64 0.06 0.13
 -------- 02:00 0.14 0.01 0.25 0.55 1.80 0.03 0.12
 18.04.13 03:00 0.12 0.01 0.25 0.45 1.65 0.03 0.10
 -------- 04:00 0.11 0.01 0.25 0.38 1.77 0.03 0.09
 -------- 05:00 0.11 0.01 0.25 0.50 1.71 0.06 0.11
 -------- 06:00 0.12 0.01 0.29 0.46 1.80 0.06 0.11
 -------- 07:00 0.15 0.02 0.25 0.59 1.73 0.07 0.12
 18.04.13 08:00 0.21 0.02 0.25 0.67 1.65 0.11 0.20
 -------- 09:00 0.21 0.02 0.29 0.56 1.56 0.08 0.17
 -------- 10:00 0.16 0.02 0.17 0.48 1.51 0.06 0.16
 -------- 11:00 0.15 0.01 ---- 0.48 1.51 0.07 0.17
 -------- 12:00 0.14 0.02 ---- 0.45 1.51 0.06 0.15
 18.04.13 13:00 0.13 0.02 ---- 0.34 1.48 0.05 0.15
 -------- 14:00 0.12 0.01 ---- 0.26 1.43 0.04 0.14
 -------- 15:00 0.10 0.01 ---- 0.19 1.38 0.04 0.14
 -------- 16:00 0.10 0.01 ---- 0.17 1.37 0.03 0.11
 -------- 17:00 0.10 0.01 ---- 0.19 1.38 0.03 0.10
 18.04.13 18:00 0.10 0.01 ---- 0.15 1.36 0.03 0.10
 -------- 19:00 0.05 0.01 ---- 0.17 1.38 0.03 0.08
 -------- 20:00 0.05 0.01 ---- 0.39 1.42 0.04 0.11
 -------- 21:00 0.08 0.01 ---- 0.55 1.49 0.07 0.13
 -------- 22:00 0.13 0.01 ---- 0.60 2.12 0.12 0.17
 18.04.13 23:00 0.18 0.01 0.12 0.57 2.38 0.16 0.18
 -------- 00:00 0.18 0.01 0.12 0.65 1.95 0.24 0.24
 -------- 01:00 0.15 0.01 0.54 0.60 3.33 0.14 0.29
 -------- 02:00 0.18 0.01 0.92 0.60 3.13 0.32 0.47
 -------- 03:00 0.17 0.01 0.92 0.51 4.06 0.27 0.32
 19.04.13 04:00 0.16 0.01 0.96 0.53 3.76 0.27 0.28
 -------- 05:00 0.15 0.01 0.79 0.53 3.51 0.28 0.20
 -------- 06:00 0.13 0.01 0.54 0.55 2.08 0.11 0.11
 -------- 07:00 0.13 0.02 0.50 0.70 1.72 0.11 0.16
 -------- 08:00 0.17 0.04 0.67 0.72 ---- 0.14 0.23
 19.04.13 09:00 0.13 0.03 0.50 0.57 ---- 0.09 0.18
 -------- 10:00 0.09 0.03 0.38 0.46 ---- 0.07 0.16
 -------- 11:00 0.06 0.01 0.29 0.34 ---- 0.05 0.15
