 Date Time CO SO2 H2S OZ NO2 CHX PM10 PM2.5
 10.04.13 12:00 0.04 0.02 0.25 ---- 0.19 1.47 0.06 ----
 -------- 13:00 0.02 0.01 0.12 ---- 0.10 1.41 0.02 ----
 -------- 14:00 0.02 0.01 0.12 ---- 0.10 1.40 0.02 ----
 -------- 15:00 0.02 0.01 0.12 ---- 0.11 1.40 0.03 ----
 -------- 16:00 0.02 0.01 0.12 ---- 0.10 1.37 0.02 ----
 10.04.13 17:00 0.02 0.01 ---- ---- 0.12 1.37 0.02 ----
 -------- 18:00 0.02 0.00 ---- ---- 0.13 1.37 0.03 ----
 -------- 19:00 0.02 0.01 0.25 ---- 0.16 1.52 0.03 ----
 -------- 20:00 0.03 0.01 0.19 ---- 0.33 1.59 0.07 ----
 -------- 21:00 0.05 0.01 0.12 ---- 0.32 1.68 0.08 ----
 10.04.13 22:00 0.08 0.01 0.12 ---- 0.50 3.18 0.10 ----
 -------- 23:00 0.07 0.02 0.33 ---- 0.30 5.61 0.06 ----
 -------- 00:00 0.04 0.01 0.12 ---- 0.23 2.01 0.04 ----
 -------- 01:00 0.05 0.02 0.29 ---- 0.24 3.11 0.05 ----
 -------- 02:00 0.04 0.01 0.29 ---- 0.20 2.56 0.06 ----
 11.04.13 03:00 0.03 0.01 0.17 ---- 0.16 2.00 0.06 ----
 -------- 04:00 0.03 0.01 0.17 ---- 0.16 1.98 0.04 ----
 -------- 05:00 0.03 0.01 0.21 ---- 0.22 4.84 0.04 ----
 -------- 06:00 0.03 0.02 0.38 ---- 0.29 5.87 0.05 ----
 -------- 07:00 0.10 0.04 0.75 ---- 0.45 9.26 0.08 ----
 11.04.13 08:00 0.13 0.04 0.62 ---- 0.49 5.87 0.12 ----
 -------- 09:00 0.11 0.03 0.42 ---- 0.35 2.79 0.10 ----
 -------- 10:00 0.08 0.02 0.25 ---- 0.26 1.76 0.09 ----
 -------- 11:00 0.05 0.02 0.25 ---- 0.16 1.46 0.05 ----
 -------- 12:00 0.04 0.01 0.17 ---- 0.10 1.40 0.02 ----
 11.04.13 13:00 0.04 0.01 0.17 ---- 0.10 1.38 0.03 ----
 -------- 14:00 0.05 0.01 0.12 ---- 0.14 1.37 0.04 ----
 -------- 15:00 0.04 0.01 0.12 ---- 0.12 1.38 0.03 ----
 -------- 16:00 0.04 0.01 0.17 ---- 0.14 1.41 0.04 ----
 -------- 17:00 0.04 0.01 0.12 ---- 0.14 1.41 0.04 ----
 11.04.13 18:00 0.04 0.01 0.17 ---- 0.15 1.43 0.04 ----
 -------- 19:00 0.05 0.01 0.17 ---- 0.13 1.51 0.04 ----
 -------- 20:00 0.05 0.01 0.12 ---- 0.16 1.55 0.04 ----
 -------- 21:00 0.06 0.02 0.17 ---- 0.20 2.28 0.06 ----
 -------- 22:00 0.06 0.03 0.42 ---- 0.27 6.04 0.10 ----
 11.04.13 23:00 0.07 0.02 0.42 ---- 0.27 3.04 0.07 ----
 -------- 00:00 0.06 0.01 0.21 ---- 0.21 1.69 0.05 ----
 -------- 01:00 0.06 0.01 0.21 ---- 0.20 1.61 0.05 ----
 -------- 02:00 0.06 0.01 0.25 ---- 0.29 1.94 0.06 ----
 -------- 03:00 0.06 0.01 0.25 ---- 0.24 1.89 0.05 ----
 12.04.13 04:00 0.06 0.01 0.33 ---- 0.22 3.62 0.05 ----
 -------- 05:00 0.05 0.02 0.62 ---- 0.28 7.32 0.07 ----
 -------- 06:00 0.05 0.01 0.21 ---- 0.27 2.57 0.06 ----
 -------- 07:00 0.07 0.01 0.17 ---- 0.35 3.23 0.08 ----
 -------- 08:00 0.08 0.01 0.17 ---- 0.33 2.63 0.11 ----
 12.04.13 09:00 0.06 0.02 0.12 ---- 0.29 2.19 0.10 ----
 -------- 10:00 0.09 0.03 0.21 ---- 0.34 1.90 0.13 ----
 -------- 11:00 0.07 0.03 0.25 ---- 0.23 1.53 0.10 ----
