 Date Time CO SO2 H2S NO2 CHX NO PM10
 06.12.12 12:00 ---- ---- ---- 0.18 1.75 0.05 0.13
 -------- 13:00 0.02 ---- ---- 0.15 1.72 0.02 0.15
 -------- 14:00 ---- ---- ---- 0.16 1.74 0.08 0.12
 -------- 15:00 0.02 ---- ---- 0.17 1.71 0.04 0.11
 -------- 16:00 0.02 ---- ---- 0.20 1.70 0.02 0.18
 06.12.12 17:00 ---- ---- ---- 0.16 1.63 0.01 0.11
 -------- 18:00 ---- ---- ---- 0.15 1.68 0.00 0.05
 -------- 19:00 0.02 ---- ---- 0.13 1.63 0.00 0.06
 -------- 20:00 0.02 ---- ---- 0.17 1.61 0.00 0.13
 -------- 21:00 0.02 ---- ---- 0.13 1.64 0.00 0.10
 06.12.12 22:00 0.02 ---- ---- 0.11 1.66 0.01 0.12
 -------- 23:00 0.02 ---- ---- 0.07 1.65 ---- 0.07
 -------- 00:00 0.02 0.00 0.12 0.05 1.61 ---- 0.05
 -------- 01:00 0.02 0.00 0.12 0.05 1.62 ---- 0.03
 -------- 02:00 0.02 0.00 0.12 0.04 1.59 ---- 0.03
 07.12.12 03:00 0.02 0.00 0.12 0.04 1.57 ---- 0.02
 -------- 04:00 0.02 0.00 0.12 0.03 1.58 ---- 0.01
 -------- 05:00 0.02 0.00 0.12 0.06 1.65 ---- 0.01
 -------- 06:00 0.04 0.00 0.12 0.04 1.62 ---- 0.02
 -------- 07:00 0.02 0.00 ---- 0.04 1.62 ---- 0.01
 07.12.12 08:00 0.02 ---- ---- 0.07 1.60 ---- 0.02
 -------- 09:00 0.02 ---- ---- 0.06 1.60 0.00 0.09
 -------- 10:00 0.02 ---- ---- 0.08 1.64 0.01 0.02
 -------- 11:00 0.02 ---- ---- 0.12 1.63 0.01 0.04
 -------- 12:00 ---- ---- ---- 0.09 1.72 0.01 0.06
 07.12.12 13:00 0.02 ---- ---- 0.11 1.71 0.01 0.06
 -------- 14:00 ---- ---- ---- 0.09 1.66 0.01 0.05
 -------- 15:00 0.02 ---- ---- 0.08 1.64 0.00 0.05
 -------- 16:00 ---- ---- ---- 0.06 1.63 ---- 0.05
 -------- 17:00 0.02 ---- ---- 0.06 1.65 0.00 0.04
 07.12.12 18:00 0.02 ---- ---- 0.12 1.66 0.01 0.04
 -------- 19:00 0.02 ---- ---- 0.12 1.67 0.00 0.05
 -------- 20:00 0.02 0.00 ---- 0.11 1.73 0.01 0.06
 -------- 21:00 0.02 ---- ---- 0.11 1.76 0.00 0.06
 -------- 22:00 0.05 0.00 ---- 0.11 1.70 ---- 0.06
 07.12.12 23:00 0.02 0.00 0.12 0.10 2.27 0.01 0.04
 -------- 00:00 0.02 0.00 ---- 0.10 2.21 ---- 0.04
 -------- 01:00 0.02 0.00 0.12 0.16 2.95 0.01 0.04
 -------- 02:00 0.02 0.00 ---- 0.17 2.30 0.01 0.05
 -------- 03:00 0.02 0.00 ---- 0.13 2.06 0.00 0.05
 08.12.12 04:00 0.02 0.00 ---- 0.11 1.93 0.00 0.04
 -------- 05:00 0.02 0.00 ---- 0.11 2.21 0.00 0.04
 -------- 06:00 0.02 0.00 ---- 0.10 2.16 0.00 0.04
 -------- 07:00 0.02 0.00 ---- 0.11 2.52 0.01 0.04
 -------- 08:00 0.02 0.00 ---- 0.13 2.32 0.00 0.05
 08.12.12 09:00 0.02 0.00 0.12 0.14 2.51 0.01 0.05
 -------- 10:00 0.04 0.00 0.12 0.14 2.17 0.02 0.06
 -------- 11:00 0.02 0.00 0.12 0.12 2.14 0.03 0.06
