 Date Time CO H2S NO2 CHX NO
 24.09.12 12:00 0.11 0.12 0.13 1.55 0.01
 -------- 13:00 0.11 0.12 0.13 1.55 0.02
 -------- 14:00 0.10 0.25 0.10 1.53 0.02
 -------- 15:00 0.09 0.29 0.08 1.53 0.01
 -------- 16:00 0.10 0.12 0.13 1.55 0.01
 24.09.12 17:00 0.10 ---- 0.12 1.54 0.01
 -------- 18:00 0.10 0.17 0.14 1.54 0.01
 -------- 19:00 0.11 0.12 0.14 1.56 0.01
 -------- 20:00 0.09 0.21 0.17 1.63 0.02
 -------- 21:00 0.09 0.21 0.15 1.56 0.01
 24.09.12 22:00 0.09 0.25 0.15 1.57 0.01
 -------- 23:00 0.08 0.29 0.14 1.56 0.01
 -------- 00:00 0.07 0.21 0.15 1.59 0.01
 -------- 01:00 0.07 0.12 0.14 1.55 0.00
 -------- 02:00 0.06 0.12 0.11 1.55 ----
 25.09.12 03:00 0.06 0.17 0.10 1.53 ----
 -------- 04:00 0.05 0.25 0.09 1.54 ----
 -------- 05:00 0.06 0.25 0.08 1.54 ----
 -------- 06:00 0.06 0.21 0.11 1.54 0.00
 -------- 07:00 0.09 0.21 0.13 1.56 0.01
 25.09.12 08:00 0.07 0.21 0.12 1.54 0.01
 -------- 09:00 0.06 0.21 0.12 1.55 0.01
 -------- 10:00 0.05 0.21 0.11 1.54 0.02
 -------- 11:00 0.04 0.25 0.10 1.54 0.01
 -------- 12:00 0.04 ---- 0.09 1.54 0.01
 25.09.12 13:00 0.04 ---- 0.08 1.54 0.01
 -------- 14:00 0.04 0.17 0.09 1.54 0.01
 -------- 15:00 0.04 0.25 0.11 1.54 0.01
 -------- 16:00 0.04 0.12 0.12 1.54 0.01
 -------- 17:00 0.06 0.12 0.13 1.55 0.00
 25.09.12 18:00 0.05 0.12 0.13 1.56 0.01
 -------- 19:00 0.07 0.17 0.15 1.56 0.01
 -------- 20:00 0.11 0.12 0.15 1.57 0.00
 -------- 21:00 0.11 0.12 0.15 1.57 0.00
 -------- 22:00 0.09 0.12 0.13 1.55 0.00
 25.09.12 23:00 0.11 0.21 0.12 1.54 0.00
 -------- 00:00 0.08 0.12 0.12 1.55 0.00
 -------- 01:00 0.08 0.12 0.12 1.56 0.00
 -------- 02:00 0.08 0.12 0.10 1.54 ----
 -------- 03:00 0.06 0.12 0.09 1.54 ----
 26.09.12 04:00 0.07 0.21 0.09 1.54 ----
 -------- 05:00 0.08 0.25 0.12 1.57 0.00
 -------- 06:00 0.08 0.12 0.14 1.58 0.02
 -------- 07:00 0.16 0.12 0.15 1.61 0.03
 -------- 08:00 0.17 0.12 0.14 1.62 0.05
 26.09.12 09:00 0.17 0.12 0.13 1.62 0.07
 -------- 10:00 0.17 0.21 0.13 1.61 0.06
 -------- 11:00 0.15 0.21 0.13 1.61 0.05
