 Date Time CO H2S NO2 CHX NO PM10
 17.09.12 00:00 0.15 0.38 0.21 1.67 0.06 ----
 -------- 01:00 0.14 0.38 0.21 1.66 0.07 ----
 -------- 02:00 0.14 0.12 0.22 1.67 0.06 ----
 -------- 03:00 0.12 0.12 0.21 1.68 0.06 ----
 -------- 04:00 0.11 0.33 0.18 1.73 0.07 ----
 17.09.12 05:00 0.13 0.33 0.17 1.81 0.10 ----
 -------- 06:00 0.15 0.21 0.11 1.88 0.13 ----
 -------- 07:00 0.21 0.25 0.11 1.96 0.15 ----
 -------- 08:00 0.21 0.12 0.14 2.66 0.20 ----
 -------- 09:00 0.26 0.21 0.21 1.89 0.26 ----
 17.09.12 10:00 0.24 0.17 0.24 1.82 0.19 ----
 -------- 11:00 0.15 0.12 0.23 1.67 0.08 ----
 -------- 12:00 0.10 0.17 0.19 1.58 0.04 ----
 -------- 13:00 0.06 0.83 0.12 1.53 0.02 ----
 -------- 14:00 0.05 0.25 0.12 1.54 0.01 ----
 17.09.12 15:00 0.06 0.29 0.12 1.56 0.01 ----
 -------- 16:00 0.06 ---- 0.12 1.53 0.01 0.13
 -------- 17:00 0.06 ---- 0.13 1.52 0.01 0.10
 -------- 18:00 0.07 0.21 0.15 1.53 0.01 0.08
 -------- 19:00 0.10 0.21 0.21 1.56 0.04 0.08
 17.09.12 20:00 0.19 0.42 0.20 1.76 0.09 0.12
 -------- 21:00 0.18 0.38 0.16 1.88 0.09 0.11
 -------- 22:00 0.21 0.12 0.14 1.99 0.09 ----
 -------- 23:00 0.21 0.12 0.10 2.48 0.09 ----
 -------- 00:00 0.22 0.50 0.10 7.05 0.12 ----
 18.09.12 01:00 0.28 1.38 0.11 10.49 0.22 ----
 -------- 02:00 0.27 1.62 0.10 6.27 0.20 ----
 -------- 03:00 0.28 1.54 0.10 6.33 0.21 ----
 -------- 04:00 0.29 2.50 0.12 5.60 0.26 ----
 -------- 05:00 0.27 1.42 0.09 5.22 0.25 ----
 18.09.12 06:00 0.31 0.67 0.09 4.37 0.28 ----
 -------- 07:00 0.29 0.17 0.09 3.61 0.30 ----
 -------- 08:00 0.27 0.67 0.10 2.95 0.30 ----
 -------- 09:00 0.31 1.00 0.12 2.93 0.34 ----
 -------- 10:00 0.39 0.67 0.19 3.07 0.48 ----
 18.09.12 11:00 0.50 0.54 0.37 2.84 0.57 ----
 -------- 12:00 0.30 0.29 0.39 2.18 0.24 ----
 -------- 13:00 0.11 0.17 0.22 1.73 0.05 ----
 -------- 14:00 0.06 0.17 0.12 1.55 0.01 ----
 -------- 15:00 0.06 0.25 0.15 1.55 0.01 ----
 18.09.12 16:00 0.06 ---- 0.15 1.54 0.01 ----
 -------- 17:00 0.08 ---- 0.20 1.57 0.01 ----
 -------- 18:00 0.09 0.17 0.24 1.59 0.04 ----
 -------- 19:00 0.13 0.29 0.26 1.64 0.09 ----
 -------- 20:00 0.22 0.12 0.21 1.80 0.12 ----
 18.09.12 21:00 0.21 0.31 0.19 1.83 0.09 ----
 -------- 22:00 0.21 0.92 0.19 2.15 0.14 ----
 -------- 23:00 0.19 0.88 0.16 2.20 0.12 ----
