 Date Time CO SO2 H2S NO2 CHX NO PM10
 31.01.13 12:00 0.02 0.01 ---- 0.25 1.68 0.05 0.06
 -------- 13:00 0.02 0.01 ---- 0.21 1.67 0.05 0.05
 -------- 14:00 0.02 0.01 ---- 0.21 1.65 0.05 0.05
 -------- 15:00 0.02 0.02 ---- 0.19 1.64 0.04 0.05
 -------- 16:00 0.02 0.02 ---- 0.19 1.63 0.04 0.05
 31.01.13 17:00 0.02 0.02 ---- 0.19 1.62 0.03 0.04
 -------- 18:00 0.02 0.01 0.12 0.24 1.64 0.03 0.05
 -------- 19:00 0.02 0.01 0.12 0.23 1.64 0.03 0.05
 -------- 20:00 0.02 0.01 0.21 0.25 1.64 0.03 0.06
 -------- 21:00 0.02 0.01 0.21 0.23 1.65 0.03 0.06
 31.01.13 22:00 0.02 0.01 0.25 0.23 1.67 0.03 0.06
 -------- 23:00 0.02 0.01 0.21 0.23 1.67 0.03 0.06
 -------- 00:00 0.02 0.01 0.12 0.23 1.67 0.03 0.07
 -------- 01:00 0.02 0.02 0.17 0.24 1.69 0.03 0.08
 -------- 02:00 0.02 0.01 0.33 0.24 1.78 0.03 0.09
 01.02.13 03:00 0.02 0.01 0.25 0.22 1.78 0.03 0.09
 -------- 04:00 ---- 0.01 0.17 0.21 1.77 0.03 0.07
 -------- 05:00 ---- 0.01 0.29 0.21 1.78 0.03 0.06
 -------- 06:00 0.02 0.01 0.29 0.21 1.80 0.03 0.06
 -------- 07:00 0.04 0.01 0.25 0.22 1.77 0.03 0.06
 01.02.13 08:00 0.04 0.01 0.17 0.22 1.76 0.03 0.06
 -------- 09:00 0.05 0.01 0.25 0.30 1.82 0.04 0.06
 -------- 10:00 0.05 0.02 0.25 0.34 1.83 0.07 0.06
 -------- 11:00 0.05 0.01 0.19 0.28 1.79 0.06 0.06
 -------- 12:00 0.04 0.01 0.29 0.24 1.78 0.06 0.06
 01.02.13 13:00 0.04 0.02 0.38 0.22 1.78 0.06 0.08
 -------- 14:00 0.05 0.02 0.38 0.22 1.85 0.06 0.09
 -------- 15:00 0.05 0.02 0.33 0.22 2.10 0.05 0.10
 -------- 16:00 0.04 0.01 0.33 0.24 1.79 0.05 0.11
 -------- 17:00 0.06 0.02 0.50 0.29 1.77 0.04 0.10
 01.02.13 18:00 0.06 0.02 0.54 0.27 1.79 0.03 0.09
 -------- 19:00 0.03 0.02 0.67 0.26 1.79 0.03 0.09
 -------- 20:00 0.02 0.01 0.88 0.28 1.82 0.03 0.10
 -------- 21:00 0.02 0.02 0.96 0.30 1.82 0.03 0.09
 -------- 22:00 0.02 0.02 1.04 0.31 1.81 0.03 0.09
 01.02.13 23:00 0.03 0.02 1.00 0.30 1.84 0.03 0.08
 -------- 00:00 0.04 0.01 0.75 0.31 1.82 0.03 0.07
 -------- 01:00 0.04 0.01 0.58 0.31 1.71 0.03 0.07
 -------- 02:00 0.04 0.01 0.33 0.35 1.72 0.03 0.06
 -------- 03:00 0.04 0.01 0.25 0.38 1.75 0.05 0.06
 02.02.13 04:00 0.04 0.01 0.25 0.34 1.66 0.04 0.04
 -------- 05:00 0.04 0.01 0.21 0.36 1.74 0.06 0.03
 -------- 06:00 0.04 0.01 0.25 0.38 1.96 0.12 0.05
 -------- 07:00 0.05 0.01 0.25 0.38 1.91 0.10 0.05
 -------- 08:00 0.06 0.01 0.25 0.37 1.70 0.07 0.05
 02.02.13 09:00 0.06 0.01 0.21 0.36 1.64 0.05 0.04
 -------- 10:00 0.06 0.01 0.25 0.37 1.67 0.08 0.04
 -------- 11:00 0.07 0.02 0.25 0.36 1.69 0.09 0.05
