 Date Time CO H2S NO2 CHX NO PM10
 19.11.12 00:00 ---- ---- 0.13 1.56 0.01 0.05
 -------- 01:00 ---- ---- 0.10 1.55 0.00 0.03
 -------- 02:00 ---- 0.12 0.10 1.55 0.00 0.05
 -------- 03:00 ---- ---- 0.11 1.55 0.00 0.05
 -------- 04:00 ---- 0.17 0.12 1.54 0.00 0.08
 19.11.12 05:00 ---- 0.21 0.15 1.57 0.01 0.06
 -------- 06:00 0.02 0.21 0.15 1.57 0.01 0.08
 -------- 07:00 0.04 0.17 0.17 1.60 0.03 0.06
 -------- 08:00 0.05 0.12 0.17 1.59 0.02 0.09
 -------- 09:00 0.02 ---- 0.17 1.58 0.02 0.06
 19.11.12 10:00 0.02 0.25 0.17 1.59 0.02 0.06
 -------- 11:00 0.02 0.25 0.17 1.60 0.02 0.06
 -------- 12:00 0.02 0.21 0.16 1.60 0.03 0.06
 -------- 13:00 ---- 0.19 0.14 1.61 0.02 0.06
 -------- 14:00 0.02 ---- 0.14 1.59 0.02 0.09
 19.11.12 15:00 0.02 0.12 0.16 1.60 0.02 0.08
 -------- 16:00 0.02 0.21 0.17 1.60 0.03 0.10
 -------- 17:00 0.03 0.21 0.17 1.60 0.03 0.10
 -------- 18:00 0.04 0.12 0.18 1.63 0.04 0.11
 -------- 19:00 0.03 0.12 0.17 1.61 0.04 0.11
 19.11.12 20:00 0.03 0.12 0.16 1.62 0.03 0.10
 -------- 21:00 0.02 0.17 0.16 1.64 0.03 0.09
 -------- 22:00 0.03 0.12 0.15 1.67 0.05 0.10
 -------- 23:00 0.02 ---- 0.14 1.64 0.05 0.09
 -------- 00:00 ---- 0.12 0.13 1.65 0.04 0.09
 20.11.12 01:00 ---- 0.12 0.13 1.64 0.03 0.08
 -------- 02:00 ---- 0.12 0.12 1.63 0.02 0.07
 -------- 03:00 ---- 0.12 0.11 1.63 0.01 0.07
 -------- 04:00 ---- 0.31 0.11 1.63 0.01 0.05
 -------- 05:00 ---- 0.25 0.11 1.64 0.02 0.06
 20.11.12 06:00 0.02 0.31 0.11 1.65 0.03 0.05
 -------- 07:00 0.04 0.29 0.12 1.72 0.06 0.09
 -------- 08:00 ---- 0.12 0.13 1.73 0.09 0.08
 -------- 09:00 ---- 0.12 0.14 1.75 0.12 0.12
 -------- 10:00 0.02 0.12 0.14 1.77 0.14 0.11
 20.11.12 11:00 ---- 0.12 0.14 1.77 0.13 0.11
 -------- 12:00 0.02 0.33 0.14 1.80 0.17 0.11
 -------- 13:00 ---- 0.42 0.15 1.82 0.19 0.10
 -------- 14:00 ---- 0.12 0.18 1.80 0.16 0.11
 -------- 15:00 ---- ---- 0.19 1.74 0.10 0.07
 20.11.12 16:00 ---- 0.25 0.21 1.64 0.04 0.06
 -------- 17:00 ---- 0.25 0.22 1.64 0.03 0.07
 -------- 18:00 ---- 0.12 0.22 1.67 0.04 0.08
 -------- 19:00 0.02 0.12 0.22 1.65 0.04 0.09
 -------- 20:00 0.02 0.12 0.22 1.65 0.04 0.07
 20.11.12 21:00 0.02 0.12 0.20 1.64 0.02 0.07
 -------- 22:00 ---- 0.12 0.19 1.62 0.01 0.06
 -------- 23:00 ---- 0.12 0.20 1.62 0.02 0.06
