 Date Time CO SO2 H2S OZ CHX PM10 PM2.5
 01.01.13 00:00 0.02 0.01 0.12 ---- 1.94 0.20 ----
 -------- 01:00 0.02 0.01 0.33 ---- 2.06 0.42 ----
 -------- 02:00 0.02 0.01 0.29 ---- 2.00 0.35 ----
 -------- 03:00 0.02 0.01 0.21 ---- 1.94 0.27 ----
 -------- 04:00 0.02 0.01 0.12 ---- 1.88 0.21 ----
 01.01.13 05:00 0.02 0.01 0.12 ---- 1.84 0.16 ----
 -------- 06:00 ---- 0.01 0.12 ---- 1.73 0.09 ----
 -------- 07:00 0.02 0.01 0.12 ---- 1.67 0.06 ----
 -------- 08:00 0.02 0.01 0.12 ---- 1.63 0.04 ----
 -------- 09:00 0.05 0.01 0.12 ---- 1.66 0.04 ----
 01.01.13 10:00 0.03 0.01 0.12 ---- 1.66 0.05 ----
 -------- 11:00 0.02 0.01 0.17 ---- 1.80 0.05 ----
 -------- 12:00 0.04 0.01 0.21 ---- 1.97 0.07 ----
 -------- 13:00 0.03 0.04 0.21 ---- 1.94 0.07 ----
 -------- 14:00 0.02 0.03 0.17 ---- 1.79 0.06 ----
 01.01.13 15:00 0.02 0.01 0.17 ---- 1.70 0.06 ----
 -------- 16:00 0.02 0.01 0.12 ---- 1.68 0.04 ----
 -------- 17:00 0.02 0.01 0.12 ---- 1.65 0.04 ----
 -------- 18:00 0.02 0.01 0.12 ---- 1.64 0.05 ----
 -------- 19:00 0.02 0.01 0.21 ---- 1.62 0.05 ----
 01.01.13 20:00 ---- 0.01 0.12 ---- 1.65 0.05 ----
 -------- 21:00 0.02 0.01 0.12 ---- 1.64 0.04 ----
 -------- 22:00 ---- 0.00 0.12 ---- 1.63 0.04 ----
 -------- 23:00 ---- 0.00 0.12 ---- 1.64 0.03 ----
 -------- 00:00 ---- 0.00 0.17 ---- 1.66 0.03 ----
 02.01.13 01:00 ---- 0.00 0.12 ---- 1.66 0.04 ----
 -------- 02:00 ---- 0.00 0.12 ---- 1.70 0.04 ----
 -------- 03:00 ---- 0.00 0.12 ---- 1.70 0.03 ----
 -------- 04:00 ---- 0.00 0.12 ---- 1.66 0.03 ----
 -------- 05:00 ---- 0.00 0.12 ---- 1.64 0.04 ----
 02.01.13 06:00 ---- 0.01 0.12 ---- 1.64 0.05 ----
 -------- 07:00 ---- 0.01 0.12 ---- 1.65 0.05 ----
 -------- 08:00 ---- 0.01 0.12 ---- 1.65 0.05 ----
 -------- 09:00 ---- 0.02 0.12 ---- 1.70 0.06 ----
 -------- 10:00 ---- 0.03 0.17 ---- 1.73 0.06 ----
 02.01.13 11:00 ---- 0.03 0.17 ---- 1.74 0.06 ----
 -------- 12:00 ---- 0.04 0.17 ---- 1.74 0.06 ----
 -------- 13:00 ---- 0.04 0.21 ---- 1.76 0.06 ----
 -------- 14:00 ---- 0.03 0.12 ---- 1.72 0.06 ----
 -------- 15:00 ---- 0.02 0.12 ---- 1.69 0.06 ----
 02.01.13 16:00 ---- 0.02 0.12 ---- 1.72 0.06 ----
 -------- 17:00 ---- 0.02 0.17 ---- 1.80 0.06 ----
 -------- 18:00 ---- 0.01 0.12 ---- 1.77 0.05 ----
 -------- 19:00 0.04 0.01 0.17 ---- 1.76 0.05 ----
 -------- 20:00 0.04 0.01 0.12 ---- 1.77 0.05 ----
 02.01.13 21:00 0.04 0.01 0.17 ---- 1.70 0.05 ----
 -------- 22:00 0.04 0.01 0.17 ---- 1.68 0.05 ----
 -------- 23:00 0.04 0.01 0.17 ---- 1.68 0.05 ----
