 Date Time CO SO2 H2S NO2 CHX NO PM10
 05.03.13 12:00 0.02 0.05 0.56 0.30 ---- 0.10 0.04
 -------- 13:00 0.02 0.04 0.75 0.28 ---- 0.08 0.04
 -------- 14:00 0.02 0.04 0.75 0.33 ---- 0.10 0.04
 -------- 15:00 0.02 0.04 0.75 0.34 ---- 0.10 0.04
 -------- 16:00 0.02 0.03 0.75 0.40 ---- 0.10 0.05
 05.03.13 17:00 0.02 0.04 0.75 0.49 ---- 0.12 0.06
 -------- 18:00 0.02 0.04 0.75 0.59 ---- 0.13 0.06
 -------- 19:00 0.03 0.04 0.79 0.66 ---- 0.20 0.09
 -------- 20:00 0.02 0.04 0.96 0.62 ---- 0.10 0.08
 -------- 21:00 0.02 0.03 0.92 0.62 ---- 0.09 0.08
 05.03.13 22:00 0.02 0.03 0.88 0.63 ---- 0.14 0.08
 -------- 23:00 0.03 0.02 0.88 0.64 ---- 0.28 0.09
 -------- 00:00 0.04 0.01 0.50 0.66 ---- 0.32 0.11
 -------- 01:00 0.04 0.01 0.17 0.67 ---- 0.31 0.12
 -------- 02:00 0.04 0.00 0.25 0.69 ---- 0.43 0.13
 06.03.13 03:00 0.04 ---- 0.19 0.69 ---- 0.43 0.13
 -------- 04:00 0.03 ---- 0.12 0.68 ---- 0.42 0.12
 -------- 05:00 0.02 ---- ---- 0.65 ---- 0.36 0.11
 -------- 06:00 0.03 ---- ---- 0.64 ---- 0.34 0.12
 -------- 07:00 0.07 ---- ---- 0.63 ---- 0.30 0.10
 06.03.13 08:00 0.09 ---- ---- 0.57 ---- 0.21 0.09
 -------- 09:00 0.07 ---- ---- 0.48 ---- 0.11 0.05
 -------- 10:00 0.06 ---- ---- 0.44 ---- 0.11 0.07
 -------- 11:00 0.06 0.01 ---- 0.38 ---- 0.10 0.07
 -------- 12:00 0.06 0.02 0.12 0.34 ---- 0.08 0.06
 06.03.13 13:00 0.05 0.03 0.12 0.30 ---- 0.07 0.06
 -------- 14:00 0.06 0.03 0.12 0.27 ---- 0.06 0.05
 -------- 15:00 0.06 0.03 0.21 0.25 ---- 0.05 0.04
 -------- 16:00 0.06 0.03 0.21 0.25 ---- 0.05 0.04
 -------- 17:00 0.07 0.03 0.33 0.29 1.19 0.05 0.04
 06.03.13 18:00 0.06 0.03 0.42 0.32 1.57 0.04 0.04
 -------- 19:00 0.03 0.03 0.42 0.39 1.60 0.04 0.04
 -------- 20:00 0.02 0.03 0.42 0.33 1.53 0.03 0.04
 -------- 21:00 ---- 0.03 0.38 0.29 1.51 0.03 0.03
 -------- 22:00 ---- 0.04 0.46 0.53 1.54 0.04 0.05
 06.03.13 23:00 0.02 0.06 0.50 0.57 1.57 0.04 0.06
 -------- 00:00 0.02 0.13 0.50 0.39 1.56 0.04 0.06
 -------- 01:00 ---- 0.04 0.21 0.26 1.48 0.03 0.05
 -------- 02:00 ---- 0.03 0.25 0.21 1.48 0.03 0.05
 -------- 03:00 ---- 0.03 0.25 0.18 1.48 0.03 0.05
 07.03.13 04:00 ---- 0.03 0.25 0.19 1.49 0.03 0.05
 -------- 05:00 ---- 0.03 0.25 0.22 1.51 0.03 0.06
 -------- 06:00 ---- 0.03 0.21 0.27 1.50 0.03 0.06
 -------- 07:00 0.04 0.02 0.17 0.34 1.53 0.03 0.07
 -------- 08:00 0.04 0.02 0.25 0.39 1.55 0.04 0.07
 07.03.13 09:00 0.04 0.03 0.21 0.35 1.51 0.04 0.06
 -------- 10:00 0.04 0.02 0.25 0.28 1.49 0.05 0.06
 -------- 11:00 0.03 0.01 0.12 0.19 1.45 0.04 0.03
