 Date Time CO H2S NO2 CHX NO PM10
 25.10.12 00:00 0.12 0.25 0.22 1.60 0.01 0.04
 -------- 01:00 0.11 0.33 0.21 1.59 0.01 0.03
 -------- 02:00 0.10 0.12 0.17 1.59 0.00 0.03
 -------- 03:00 0.10 0.12 0.15 1.57 0.00 0.03
 -------- 04:00 0.10 0.21 0.19 1.65 0.01 0.03
 25.10.12 05:00 0.11 0.29 0.21 1.69 0.02 0.04
 -------- 06:00 0.12 0.25 0.23 1.70 0.03 0.05
 -------- 07:00 0.12 0.25 0.23 1.70 0.03 0.05
 -------- 08:00 0.11 ---- 0.24 1.70 0.05 0.06
 -------- 09:00 0.07 ---- 0.24 1.66 0.04 0.05
 25.10.12 10:00 0.05 ---- 0.23 1.64 0.03 0.05
 -------- 11:00 0.04 ---- 0.20 1.59 0.02 0.04
 -------- 12:00 0.04 0.12 0.20 1.59 0.03 0.05
 -------- 13:00 0.04 0.12 0.20 1.61 0.02 0.05
 -------- 14:00 0.04 0.12 0.18 1.61 0.02 0.05
 25.10.12 15:00 0.04 ---- 0.18 1.62 0.02 0.05
 -------- 16:00 0.04 0.25 0.20 1.63 0.02 0.06
 -------- 17:00 0.05 0.29 0.24 1.63 0.03 0.07
 -------- 18:00 0.05 0.21 0.25 1.60 0.02 0.07
 -------- 19:00 0.05 0.25 0.26 1.60 0.02 0.08
 25.10.12 20:00 0.08 0.21 0.24 1.60 0.02 0.06
 -------- 21:00 0.08 0.21 0.21 1.58 0.01 0.04
 -------- 22:00 0.06 0.12 0.14 1.57 0.00 0.05
 -------- 23:00 0.06 0.12 0.11 1.56 0.00 0.02
 -------- 00:00 0.05 0.12 0.10 1.56 ---- 0.02
 26.10.12 01:00 0.04 0.12 0.08 1.54 ---- 0.02
 -------- 02:00 0.04 0.12 0.07 1.55 ---- 0.02
 -------- 03:00 0.04 0.12 0.07 1.56 ---- 0.02
