 Date Time CO SO2 H2S NO2 CHX NO PM10
 11.05.13 00:00 0.14 0.01 0.12 0.51 1.64 0.03 0.11
 -------- 01:00 0.13 0.01 0.25 0.57 1.63 0.05 0.13
 -------- 02:00 0.10 0.01 ---- 0.37 1.49 0.03 0.10
 -------- 03:00 0.07 0.01 ---- 0.27 1.45 0.03 0.10
 -------- 04:00 0.06 0.01 ---- 0.29 1.52 0.03 0.11
 11.05.13 05:00 0.08 0.01 0.12 0.38 2.74 0.03 0.12
 -------- 06:00 0.09 0.01 0.12 0.36 2.17 0.07 0.15
 -------- 07:00 0.09 0.02 0.46 0.39 3.51 0.12 0.22
 -------- 08:00 0.10 0.02 0.29 0.45 2.28 0.08 0.14
 -------- 09:00 0.10 0.02 0.21 0.50 2.17 0.08 0.15
 11.05.13 10:00 0.09 0.01 0.19 0.41 1.74 0.05 0.14
 -------- 11:00 0.07 0.01 ---- 0.33 1.56 0.05 0.12
 -------- 12:00 0.05 0.00 ---- 0.25 1.48 0.04 0.10
 -------- 13:00 0.04 0.00 ---- 0.20 1.45 0.04 0.10
 -------- 14:00 0.03 0.00 ---- 0.13 1.40 0.03 0.08
 11.05.13 15:00 0.03 0.00 ---- 0.11 1.40 0.03 0.07
 -------- 16:00 0.03 0.00 ---- 0.12 1.39 0.03 0.07
 -------- 17:00 0.02 0.00 ---- 0.13 1.39 0.03 0.08
 -------- 18:00 0.03 0.00 ---- 0.15 1.40 0.03 0.08
 -------- 19:00 0.07 0.00 ---- 0.21 1.43 0.03 0.08
 11.05.13 20:00 0.09 0.00 ---- 0.26 1.47 0.04 0.08
 -------- 21:00 0.13 0.00 ---- 0.40 1.54 0.03 0.16
 -------- 22:00 0.18 0.01 ---- 0.50 1.78 0.04 0.22
 -------- 23:00 0.25 0.01 0.12 0.51 1.79 0.08 0.20
 -------- 00:00 0.23 0.01 0.12 0.44 1.89 0.06 0.19
 12.05.13 01:00 0.21 0.01 0.21 0.47 1.89 0.07 0.18
 -------- 02:00 0.22 0.01 0.29 0.51 1.90 0.11 0.16
 -------- 03:00 0.21 0.01 0.25 0.54 1.85 0.13 0.14
 -------- 04:00 0.20 0.01 0.38 0.47 1.98 0.14 0.15
 -------- 05:00 0.20 0.01 0.38 0.38 2.13 0.16 0.14
 12.05.13 06:00 0.20 0.01 0.38 0.33 2.06 0.18 0.15
 -------- 07:00 0.15 0.01 0.42 0.37 2.15 0.16 0.14
 -------- 08:00 0.10 0.02 0.25 0.47 1.69 0.09 0.11
 -------- 09:00 0.05 0.01 ---- 0.29 1.49 0.05 0.08
 -------- 10:00 0.04 0.01 ---- 0.26 1.46 0.04 0.08
 12.05.13 11:00 0.04 0.05 ---- 0.34 1.50 0.05 0.09
 -------- 12:00 0.04 0.02 ---- 0.32 1.52 0.05 0.10
 -------- 13:00 0.03 0.00 ---- 0.16 1.42 0.04 0.08
 -------- 14:00 ---- ---- ---- 0.11 1.40 0.03 0.07
 -------- 15:00 ---- ---- ---- 0.10 1.40 0.03 0.08
 12.05.13 16:00 0.02 ---- ---- 0.13 1.41 0.03 0.08
 -------- 17:00 ---- ---- ---- 0.11 1.39 0.03 0.11
 -------- 18:00 ---- ---- ---- 0.10 1.37 0.03 0.08
 -------- 19:00 0.06 ---- ---- 0.09 1.37 0.03 0.08
 -------- 20:00 0.08 ---- ---- 0.11 1.37 0.03 0.09
 12.05.13 21:00 0.09 ---- ---- 0.13 1.40 0.03 0.12
 -------- 22:00 0.10 0.00 ---- 0.15 1.79 0.03 0.13
 -------- 23:00 0.10 0.00 ---- 0.16 1.47 0.03 0.11
