 Date Time CO SO2 H2S OZ NO2 CHX PM10 PM2.5
 26.02.13 00:00 0.02 0.01 0.12 ---- 0.45 1.46 0.04 ----
 -------- 01:00 0.02 0.01 0.12 ---- 0.47 1.42 0.04 ----
 -------- 02:00 0.02 0.01 0.12 ---- 0.46 1.34 0.04 ----
 -------- 03:00 0.02 0.01 0.12 ---- 0.47 1.48 0.04 ----
 -------- 04:00 0.02 0.01 0.12 ---- 0.51 1.49 0.04 ----
 26.02.13 05:00 0.02 0.01 0.12 ---- 0.53 1.50 0.04 ----
 -------- 06:00 0.02 0.01 0.12 ---- 0.52 1.51 0.04 ----
 -------- 07:00 0.03 0.01 0.12 ---- 0.60 1.54 0.05 ----
 -------- 08:00 0.07 0.01 0.12 ---- 0.66 1.66 0.07 ----
 -------- 09:00 0.06 0.01 0.12 ---- 0.67 1.65 0.08 ----
 26.02.13 10:00 0.06 0.02 0.12 ---- 0.63 1.64 0.10 ----
 -------- 11:00 0.05 0.01 0.12 ---- 0.57 1.61 0.11 ----
 -------- 12:00 0.04 0.01 ---- ---- 0.52 1.57 0.10 ----
 -------- 13:00 0.03 0.01 0.12 ---- 0.40 1.49 0.08 ----
 -------- 14:00 0.03 0.01 0.12 ---- 0.41 1.48 0.08 ----
 26.02.13 15:00 0.02 0.01 0.12 ---- 0.41 1.48 0.06 ----
 -------- 16:00 0.02 0.00 ---- ---- 0.35 1.46 0.05 ----
 -------- 17:00 0.02 0.01 ---- ---- 0.44 1.48 0.06 ----
 -------- 18:00 0.02 0.01 ---- ---- 0.44 1.46 0.05 ----
 -------- 19:00 0.04 0.01 0.12 ---- 0.55 1.48 0.07 ----
 26.02.13 20:00 0.05 0.01 0.12 ---- 0.49 1.44 0.05 ----
 -------- 21:00 0.05 0.01 0.12 ---- 0.55 1.47 0.06 ----
 -------- 22:00 0.04 0.01 0.12 ---- 0.41 1.45 0.06 ----
 -------- 23:00 0.04 0.01 0.12 ---- 0.37 1.44 0.05 ----
 -------- 00:00 0.04 0.01 0.12 ---- 0.33 1.41 0.04 ----
 27.02.13 01:00 0.04 0.01 0.12 ---- 0.26 1.42 0.03 ----
 -------- 02:00 0.04 0.01 0.12 ---- 0.23 1.41 0.04 ----
 -------- 03:00 0.03 0.01 0.12 ---- 0.22 1.40 0.04 ----
 -------- 04:00 0.04 0.01 0.12 ---- 0.21 1.39 0.03 ----
 -------- 05:00 0.04 0.01 0.12 ---- 0.20 1.40 0.03 ----
 27.02.13 06:00 0.04 0.01 0.12 ---- 0.25 1.42 0.04 ----
 -------- 07:00 0.03 0.01 0.12 ---- 0.27 1.43 0.05 ----
 -------- 08:00 0.02 0.01 0.12 ---- 0.30 1.39 0.04 ----
 -------- 09:00 0.02 0.01 0.12 ---- 0.30 1.38 0.04 ----
 -------- 10:00 0.02 0.01 0.12 ---- 0.32 1.26 0.04 ----
 27.02.13 11:00 0.02 0.01 0.12 ---- 0.31 1.21 0.04 ----
 -------- 12:00 0.02 0.01 0.12 ---- 0.23 1.14 0.03 ----
 -------- 13:00 ---- 0.01 0.12 ---- 0.23 1.17 0.03 ----
 -------- 14:00 ---- 0.01 0.12 ---- 0.24 1.12 0.02 ----
 -------- 15:00 0.02 0.01 0.12 ---- 0.26 1.14 0.02 ----
 27.02.13 16:00 ---- 0.01 0.12 ---- 0.12 1.10 0.01 ----
 -------- 17:00 ---- 0.01 0.12 ---- 0.14 1.10 0.20 ----
 -------- 18:00 ---- 0.01 0.17 ---- 0.13 1.10 0.08 ----
 -------- 19:00 0.02 0.01 0.12 ---- 0.15 1.12 0.07 ----
 -------- 20:00 0.02 0.01 0.12 ---- 0.15 1.35 0.06 ----
 27.02.13 21:00 0.02 0.01 0.12 ---- 0.26 1.42 0.06 ----
 -------- 22:00 0.03 0.02 0.21 ---- 0.40 1.58 0.08 ----
 -------- 23:00 0.04 0.01 0.12 ---- 0.45 1.78 0.08 ----
