 Date Time CO H2S NO2 CHX NO PM10
 29.10.12 00:00 0.18 0.12 0.24 1.92 0.15 0.04
 -------- 01:00 0.07 ---- 0.16 1.65 0.01 0.01
 -------- 02:00 0.04 0.12 0.09 1.56 0.00 0.02
 -------- 03:00 0.04 0.25 0.07 1.54 ---- 0.02
 -------- 04:00 0.04 3.17 0.07 1.54 ---- 0.02
 29.10.12 05:00 0.04 0.50 0.09 1.54 0.00 0.01
 -------- 06:00 0.04 0.17 0.09 1.55 0.00 0.01
 -------- 07:00 0.05 0.21 0.10 1.59 0.01 0.01
 -------- 08:00 0.04 0.38 0.10 1.59 0.00 0.02
 -------- 09:00 0.03 0.21 0.10 1.59 0.00 0.01
 29.10.12 10:00 0.03 0.21 0.10 1.57 0.00 0.01
 -------- 11:00 0.03 0.21 0.12 1.57 0.01 0.02
 -------- 12:00 0.02 0.25 0.09 1.55 0.01 0.02
 -------- 13:00 0.02 0.12 0.10 1.60 0.00 0.02
 -------- 14:00 0.02 0.12 0.11 1.56 0.00 0.02
 29.10.12 15:00 0.02 0.21 0.07 1.54 0.00 0.02
 -------- 16:00 0.02 0.17 0.07 1.54 0.01 0.02
 -------- 17:00 0.02 0.12 0.07 1.54 0.00 0.02
 -------- 18:00 0.02 0.12 0.07 1.53 0.00 0.02
 -------- 19:00 ---- 0.19 0.04 1.52 ---- 0.02
 29.10.12 20:00 0.02 0.21 0.04 1.52 ---- 0.01
 -------- 21:00 ---- 0.12 0.04 1.53 ---- 0.02
 -------- 22:00 ---- 0.12 0.04 1.53 0.00 0.02
 -------- 23:00 ---- ---- 0.04 1.59 ---- 0.02
 -------- 00:00 ---- 0.12 0.04 1.87 ---- 0.02
 30.10.12 01:00 ---- 0.19 0.03 1.58 ---- 0.03
 -------- 02:00 0.02 0.19 0.03 1.60 ---- 0.02
 -------- 03:00 ---- 0.12 0.03 1.66 ---- 0.01
 -------- 04:00 0.02 0.12 0.06 2.23 ---- 0.01
 -------- 05:00 0.02 0.25 0.07 1.76 ---- 0.03
 30.10.12 06:00 0.02 0.21 0.07 1.67 0.01 0.02
 -------- 07:00 0.03 0.17 0.07 1.69 ---- 0.05
 -------- 08:00 0.02 0.12 0.08 1.77 ---- 0.04
 -------- 09:00 0.02 0.38 0.07 1.72 0.00 0.04
 -------- 10:00 0.02 0.42 0.06 1.58 0.00 0.04
 30.10.12 11:00 0.02 0.21 0.05 1.54 0.00 0.03
 -------- 12:00 0.02 0.25 0.04 1.55 0.00 0.04
 -------- 13:00 0.02 0.12 0.05 1.54 0.00 0.04
 -------- 14:00 0.02 0.12 0.05 1.53 ---- 0.04
 -------- 15:00 0.02 0.12 0.05 1.54 ---- 0.04
 30.10.12 16:00 0.02 0.17 0.05 1.52 0.00 0.04
 -------- 17:00 0.02 ---- 0.04 1.52 ---- 0.04
 -------- 18:00 0.06 0.12 0.04 1.51 ---- 0.03
 -------- 19:00 0.06 0.25 0.07 1.52 0.00 0.02
 -------- 20:00 0.07 0.29 0.05 1.63 0.00 0.01
 30.10.12 21:00 0.06 0.12 0.05 1.64 ---- 0.03
 -------- 22:00 0.06 0.12 0.05 1.61 0.00 0.03
