 Date Time CO SO2 H2S NO2 CHX NO PM10
 05.04.13 00:00 0.04 0.03 1.12 0.14 2.25 0.03 0.04
 -------- 01:00 0.02 0.01 ---- 0.13 1.55 0.03 0.04
 -------- 02:00 0.02 0.01 ---- 0.13 1.57 0.03 0.05
 -------- 03:00 0.02 ---- ---- 0.13 1.81 0.03 0.03
 -------- 04:00 0.02 ---- ---- 0.13 1.47 0.03 0.02
 05.04.13 05:00 0.02 ---- ---- 0.12 1.55 0.03 0.03
 -------- 06:00 0.02 ---- ---- 0.13 1.41 0.03 0.02
 -------- 07:00 0.03 ---- ---- 0.12 1.44 0.03 0.02
 -------- 08:00 0.04 ---- ---- 0.09 1.39 0.03 0.02
 -------- 09:00 0.04 ---- ---- 0.15 1.49 0.04 0.04
 05.04.13 10:00 0.08 ---- ---- 0.17 1.39 0.04 0.05
 -------- 11:00 0.04 ---- ---- 0.15 1.44 0.04 0.06
 -------- 12:00 0.04 ---- ---- 0.13 1.44 0.04 0.06
 -------- 13:00 0.07 0.01 ---- 0.24 1.56 0.05 0.09
 -------- 14:00 0.06 0.03 0.33 0.23 1.52 0.04 0.12
 05.04.13 15:00 0.06 0.02 0.19 0.26 1.60 0.04 0.13
 -------- 16:00 0.06 ---- ---- 0.30 1.52 0.04 0.15
 -------- 17:00 0.04 ---- ---- 0.26 1.59 0.04 0.15
 -------- 18:00 0.03 ---- ---- 0.25 1.57 0.03 0.13
 -------- 19:00 0.07 ---- ---- 0.28 1.64 0.03 0.15
 05.04.13 20:00 0.04 ---- ---- 0.29 1.56 0.03 0.12
 -------- 21:00 0.05 ---- ---- 0.30 1.65 0.03 0.10
 -------- 22:00 0.04 ---- ---- 0.27 1.70 0.03 0.07
 -------- 23:00 0.04 ---- ---- 0.31 1.72 0.03 0.07
 -------- 00:00 0.06 0.01 0.12 0.41 1.65 0.04 0.08
 06.04.13 01:00 0.07 0.01 0.38 0.49 1.69 0.05 0.08
 -------- 02:00 0.08 0.01 0.21 0.42 1.65 0.05 0.10
 -------- 03:00 0.06 0.01 0.12 0.33 1.52 0.03 0.07
 -------- 04:00 0.05 0.01 ---- 0.26 1.46 0.03 0.03
 -------- 05:00 0.04 0.01 ---- 0.26 1.45 0.03 0.02
 06.04.13 06:00 0.04 0.01 ---- 0.20 1.46 0.03 0.01
 -------- 07:00 0.07 0.01 ---- 0.24 1.46 0.03 0.01
 -------- 08:00 0.09 0.01 ---- 0.32 1.49 0.04 0.02
 -------- 09:00 0.10 0.01 ---- 0.30 1.49 0.05 0.02
 -------- 10:00 0.10 0.02 ---- 0.36 1.53 0.06 0.03
 06.04.13 11:00 0.10 0.01 ---- 0.29 1.50 0.05 0.03
 -------- 12:00 0.09 0.01 ---- 0.26 1.50 0.04 0.03
 -------- 13:00 0.10 0.01 ---- 0.28 1.50 0.05 0.03
 -------- 14:00 0.10 0.01 ---- 0.33 1.52 0.05 0.03
 -------- 15:00 0.10 0.01 ---- 0.32 1.51 0.04 0.03
 06.04.13 16:00 0.09 0.01 ---- 0.30 1.50 0.04 0.03
 -------- 17:00 0.10 0.01 ---- 0.32 1.50 0.04 0.03
 -------- 18:00 0.10 0.01 ---- 0.34 1.54 0.04 0.04
 -------- 19:00 0.17 0.01 ---- 0.38 1.52 0.04 0.04
 -------- 20:00 0.23 0.01 ---- 0.48 1.55 0.05 0.04
 06.04.13 21:00 0.24 0.01 ---- 0.50 1.56 0.06 0.04
 -------- 22:00 0.23 0.01 ---- 0.40 1.52 0.04 0.03
 -------- 23:00 0.19 0.01 ---- 0.28 1.48 0.03 0.03
