 Date Time CO SO2 H2S OZ NO2 CHX PM10 PM2.5
 30.04.13 12:00 0.02 0.01 0.12 ---- 0.20 1.42 0.06 ----
 -------- 13:00 0.03 0.02 0.17 ---- 0.28 1.42 0.07 ----
 -------- 14:00 0.04 0.04 0.29 ---- 0.36 1.43 0.06 ----
 -------- 15:00 0.05 0.03 0.21 ---- 0.33 1.43 0.04 ----
 -------- 16:00 0.06 0.02 0.21 ---- 0.34 1.45 0.05 ----
 30.04.13 17:00 0.05 0.02 0.12 ---- 0.28 1.42 0.04 ----
 -------- 18:00 0.04 0.02 0.17 ---- 0.25 1.41 0.03 ----
 -------- 19:00 0.05 0.02 0.12 ---- 0.21 1.40 0.03 ----
 -------- 20:00 0.06 0.02 0.12 ---- 0.28 1.41 0.04 ----
 -------- 21:00 0.08 0.02 0.21 ---- 0.45 1.47 0.07 ----
 30.04.13 22:00 0.12 0.01 0.33 ---- 0.52 1.56 0.10 ----
 -------- 23:00 0.13 0.01 0.25 ---- 0.51 1.52 0.09 ----
 -------- 00:00 0.12 0.01 0.25 ---- 0.51 1.57 0.08 ----
 -------- 01:00 0.11 0.01 0.12 ---- 0.51 1.52 0.06 ----
 -------- 02:00 0.07 0.01 ---- ---- 0.33 1.42 0.04 ----
 01.05.13 03:00 0.04 0.01 ---- ---- 0.24 1.41 0.04 ----
 -------- 04:00 0.04 0.01 ---- ---- 0.30 1.43 0.05 ----
 -------- 05:00 0.04 0.01 ---- ---- 0.32 1.44 0.05 ----
 -------- 06:00 0.06 0.01 ---- ---- 0.33 1.44 0.05 ----
 -------- 07:00 0.09 0.01 ---- ---- 0.30 1.43 0.05 ----
 01.05.13 08:00 0.10 0.01 ---- ---- 0.29 1.45 0.05 ----
 -------- 09:00 0.11 0.01 ---- ---- 0.26 1.45 0.06 ----
 -------- 10:00 0.11 0.00 ---- ---- 0.23 1.42 0.06 ----
 -------- 11:00 0.09 0.00 ---- ---- 0.23 1.41 0.06 ----
 -------- 12:00 0.09 0.00 ---- ---- 0.16 1.40 0.05 ----
 01.05.13 13:00 0.08 ---- ---- ---- 0.16 1.40 0.05 ----
 -------- 14:00 0.08 ---- ---- ---- 0.14 1.38 0.07 ----
 -------- 15:00 0.07 ---- ---- ---- 0.12 1.39 0.05 ----
 -------- 16:00 0.08 ---- ---- ---- 0.11 1.37 0.04 ----
 -------- 17:00 0.08 ---- ---- ---- 0.11 1.36 0.04 ----
 01.05.13 18:00 0.08 ---- ---- ---- 0.11 1.37 0.04 ----
 -------- 19:00 0.05 ---- ---- ---- 0.12 1.38 0.04 ----
 -------- 20:00 0.04 0.00 ---- ---- 0.10 1.38 0.04 ----
 -------- 21:00 0.04 0.00 ---- ---- 0.16 1.40 0.05 ----
 -------- 22:00 0.05 0.00 ---- ---- 0.26 1.42 0.07 ----
 01.05.13 23:00 0.10 0.00 ---- ---- 0.33 1.56 0.10 ----
 -------- 00:00 0.15 0.00 ---- ---- 0.29 1.59 0.10 ----
 -------- 01:00 0.14 0.01 0.12 ---- 0.30 1.69 0.18 ----
 -------- 02:00 0.11 0.01 0.17 ---- 0.27 1.72 0.09 ----
 -------- 03:00 0.10 0.01 0.21 ---- 0.33 1.57 0.06 ----
 02.05.13 04:00 0.10 0.01 0.21 ---- 0.32 1.69 0.07 ----
 -------- 05:00 0.08 0.01 0.25 ---- 0.30 1.63 0.06 ----
 -------- 06:00 0.09 0.01 0.29 ---- 0.32 1.66 0.07 ----
 -------- 07:00 0.09 0.02 0.29 ---- 0.32 1.73 0.09 ----
 -------- 08:00 0.14 0.02 0.25 ---- ---- 1.79 0.13 ----
 02.05.13 09:00 0.14 0.02 0.12 ---- ---- 1.64 0.09 ----
 -------- 10:00 0.06 0.00 ---- ---- ---- 1.39 0.03 ----
