 Date Time CO SO2 H2S NO2 CHX NO PM10
 30.01.13 12:00 0.04 0.01 0.44 0.33 1.83 0.09 0.07
 -------- 13:00 0.03 0.02 0.58 0.32 1.82 0.08 0.07
 -------- 14:00 0.03 0.02 0.29 0.29 1.73 0.08 0.08
 -------- 15:00 0.04 0.02 0.33 0.34 1.78 0.10 0.08
 -------- 16:00 0.04 0.02 0.58 0.32 1.86 0.06 0.07
 30.01.13 17:00 0.03 0.02 0.96 0.34 1.97 0.05 0.07
 -------- 18:00 0.04 0.02 0.67 0.41 1.77 0.04 0.07
 -------- 19:00 0.04 0.02 0.92 0.45 1.92 0.04 0.07
 -------- 20:00 0.04 0.02 0.58 0.38 1.84 0.03 0.05
 -------- 21:00 0.04 0.01 0.67 0.32 1.81 0.03 0.04
 30.01.13 22:00 0.04 0.01 0.92 0.33 1.77 0.03 0.05
 -------- 23:00 0.03 0.01 0.38 0.28 1.65 0.03 0.04
 -------- 00:00 0.02 0.01 0.19 0.22 1.64 0.03 0.04
 -------- 01:00 0.02 0.01 0.12 0.24 1.65 0.03 0.05
 -------- 02:00 0.02 0.01 0.33 0.27 1.67 0.03 0.06
 31.01.13 03:00 0.02 0.01 0.25 0.23 1.65 0.03 0.06
 -------- 04:00 0.02 0.00 0.42 0.26 1.68 0.03 0.06
 -------- 05:00 0.02 0.00 0.38 0.24 1.70 0.03 0.05
 -------- 06:00 0.02 0.00 0.50 0.27 1.76 0.03 0.05
 -------- 07:00 0.02 0.00 0.29 0.26 1.73 0.03 0.06
 31.01.13 08:00 0.02 0.00 ---- 0.28 1.69 0.03 0.06
 -------- 09:00 0.02 0.00 0.38 0.30 1.72 0.04 0.05
 -------- 10:00 0.02 0.00 0.33 0.27 1.77 0.04 0.05
 -------- 11:00 0.02 0.00 0.12 0.27 1.71 0.05 0.06
 -------- 12:00 0.02 0.00 ---- 0.26 1.69 0.05 0.06
 31.01.13 13:00 0.02 0.01 ---- 0.21 1.67 0.05 0.05
 -------- 14:00 0.02 0.01 ---- 0.21 1.65 0.05 0.05
 -------- 15:00 0.02 0.02 ---- 0.19 1.64 0.04 0.05
 -------- 16:00 0.02 0.02 ---- 0.19 1.63 0.04 0.05
 -------- 17:00 0.02 0.02 ---- 0.19 1.62 0.03 0.04
 31.01.13 18:00 0.02 0.01 0.12 0.24 1.64 0.03 0.05
 -------- 19:00 0.02 0.01 0.12 0.23 1.64 0.03 0.05
 -------- 20:00 0.02 0.01 0.21 0.25 1.64 0.03 0.06
 -------- 21:00 0.02 0.01 0.21 0.23 1.65 0.03 0.06
 -------- 22:00 0.02 0.01 0.25 0.23 1.67 0.03 0.06
 31.01.13 23:00 0.02 0.01 0.21 0.23 1.67 0.03 0.06
 -------- 00:00 0.02 0.01 0.12 0.23 1.67 0.03 0.07
 -------- 01:00 0.02 0.02 0.17 0.24 1.69 0.03 0.08
 -------- 02:00 0.02 0.01 0.33 0.24 1.78 0.03 0.09
 -------- 03:00 0.02 0.01 0.25 0.22 1.78 0.03 0.09
 01.02.13 04:00 ---- 0.01 0.17 0.21 1.77 0.03 0.07
 -------- 05:00 ---- 0.01 0.29 0.21 1.78 0.03 0.06
 -------- 06:00 0.02 0.01 0.29 0.21 1.80 0.03 0.06
 -------- 07:00 0.04 0.01 0.25 0.22 1.77 0.03 0.06
 -------- 08:00 0.04 0.01 0.17 0.22 1.76 0.03 0.06
 01.02.13 09:00 0.05 0.01 0.25 0.30 1.82 0.04 0.06
 -------- 10:00 0.05 0.02 0.25 0.34 1.83 0.07 0.06
 -------- 11:00 0.05 0.01 0.12 0.28 1.80 0.06 0.06
