 Date Time CO H2S NO2 CHX NO PM10
 05.10.12 00:00 0.04 ---- 0.11 1.51 ---- 0.02
 -------- 01:00 0.04 ---- 0.07 1.50 ---- 0.01
 -------- 02:00 0.04 0.21 0.06 1.49 ---- 0.01
 -------- 03:00 0.04 0.25 0.06 1.50 ---- 0.02
 -------- 04:00 0.04 0.12 0.11 1.54 ---- 0.02
 05.10.12 05:00 0.04 0.12 0.12 1.55 0.01 0.02
 -------- 06:00 0.07 0.67 0.17 1.73 0.05 0.05
 -------- 07:00 0.13 1.25 0.15 2.15 0.12 0.11
 -------- 08:00 0.15 2.12 0.17 2.34 0.13 0.14
 -------- 09:00 0.16 1.04 0.18 2.03 0.12 0.11
 05.10.12 10:00 0.16 0.12 0.18 1.78 0.09 0.10
 -------- 11:00 0.13 0.12 0.14 1.79 0.05 0.07
 -------- 12:00 0.08 0.25 0.11 1.69 0.02 0.10
 -------- 13:00 0.08 0.88 0.11 1.74 0.02 0.09
 -------- 14:00 0.08 0.88 0.14 1.84 0.02 0.09
 05.10.12 15:00 0.08 0.31 0.14 1.77 0.02 0.10
 -------- 16:00 0.07 0.88 0.11 1.62 0.01 0.07
 -------- 17:00 0.07 ---- 0.12 1.61 0.00 0.08
 -------- 18:00 0.08 0.21 0.16 1.67 0.00 0.09
 -------- 19:00 0.09 0.21 0.15 1.58 0.00 0.06
 05.10.12 20:00 0.11 0.12 0.14 1.56 0.00 0.05
 -------- 21:00 0.10 0.12 0.12 1.56 0.00 0.03
 -------- 22:00 0.10 0.12 0.14 1.59 0.00 0.03
 -------- 23:00 0.11 0.17 0.15 1.60 0.00 0.03
 -------- 00:00 0.12 0.12 0.19 1.65 0.00 0.05
 06.10.12 01:00 0.12 0.17 0.21 1.69 0.01 0.07
 -------- 02:00 0.10 0.12 0.16 1.60 0.01 0.04
 -------- 03:00 0.08 ---- 0.09 1.52 ---- 0.01
 -------- 04:00 0.08 0.21 0.10 1.51 ---- 0.02
 -------- 05:00 0.08 0.21 0.11 1.52 ---- 0.02
 06.10.12 06:00 0.09 0.17 0.13 1.53 ---- 0.02
 -------- 07:00 0.09 0.17 0.19 1.58 0.01 0.02
 -------- 08:00 0.12 0.21 0.20 1.63 0.02 0.03
 -------- 09:00 0.13 0.17 0.18 1.64 0.03 0.04
 -------- 10:00 0.11 0.12 0.14 1.62 0.02 0.05
 06.10.12 11:00 0.10 0.12 0.13 1.56 0.01 0.04
 -------- 12:00 0.09 0.12 0.10 1.56 0.01 0.02
 -------- 13:00 0.09 0.12 0.11 1.54 0.00 0.03
 -------- 14:00 0.10 0.12 0.17 1.54 0.02 0.03
 -------- 15:00 0.11 0.21 0.17 1.56 0.02 0.04
 06.10.12 16:00 0.11 0.21 0.18 1.58 0.01 0.04
 -------- 17:00 0.09 0.25 0.12 1.57 0.01 0.03
 -------- 18:00 0.08 ---- 0.09 1.54 0.00 0.03
 -------- 19:00 0.08 ---- 0.09 1.53 ---- 0.03
 -------- 20:00 0.08 0.12 0.10 1.54 0.00 0.02
 06.10.12 21:00 0.08 0.12 0.07 1.51 ---- 0.02
 -------- 22:00 0.08 0.12 0.09 1.51 ---- 0.02
 -------- 23:00 0.08 ---- 0.09 1.51 ---- 0.02
