 Date Time CO SO2 H2S NO2 CHX NO PM10
 24.01.13 12:00 0.04 0.01 ---- 0.59 2.09 0.37 0.10
 -------- 13:00 0.02 0.02 ---- 0.47 1.87 0.19 0.07
 -------- 14:00 0.02 0.05 0.12 0.47 1.83 0.16 0.06
 -------- 15:00 0.02 0.03 0.12 0.48 1.85 0.15 0.06
 -------- 16:00 0.02 0.03 0.12 0.52 1.92 0.23 0.08
 24.01.13 17:00 0.02 0.03 0.12 0.53 1.98 0.25 0.09
 -------- 18:00 0.03 0.02 0.12 0.54 1.90 0.26 0.08
 -------- 19:00 0.02 0.02 ---- 0.39 1.64 0.05 0.02
 -------- 20:00 ---- 0.01 ---- 0.35 1.60 0.04 0.01
 -------- 21:00 ---- 0.01 ---- 0.36 1.59 0.04 0.01
 24.01.13 22:00 ---- 0.01 ---- 0.42 1.63 0.05 0.02
 -------- 23:00 ---- 0.01 ---- 0.36 1.61 0.04 0.02
 -------- 00:00 ---- 0.01 ---- 0.30 1.59 0.03 0.02
 -------- 01:00 ---- 0.00 ---- 0.25 1.59 0.03 0.02
 -------- 02:00 ---- 0.01 ---- 0.46 1.63 0.05 0.02
 25.01.13 03:00 ---- 0.01 ---- 0.36 1.62 0.04 0.02
 -------- 04:00 ---- 0.01 ---- 0.35 1.63 0.03 0.02
 -------- 05:00 ---- 0.01 ---- 0.39 1.62 0.04 0.02
 -------- 06:00 ---- 0.01 ---- 0.33 1.60 0.04 0.02
 -------- 07:00 ---- 0.01 ---- 0.34 1.64 0.04 0.02
 25.01.13 08:00 ---- 0.01 ---- 0.36 1.66 0.05 0.02
 -------- 09:00 ---- 0.01 ---- 0.35 1.64 0.05 0.02
 -------- 10:00 ---- 0.01 ---- 0.28 1.65 0.05 0.03
 -------- 11:00 ---- 0.00 ---- 0.18 1.64 0.05 0.02
 -------- 12:00 ---- 0.00 ---- 0.19 1.65 0.06 0.03
 25.01.13 13:00 ---- 0.00 ---- 0.29 1.62 0.09 0.02
 -------- 14:00 ---- 0.01 ---- 0.33 1.63 0.10 0.02
 -------- 15:00 ---- 0.01 0.12 0.38 1.71 0.11 0.03
 -------- 16:00 0.02 0.02 0.12 0.41 1.70 0.11 0.04
 -------- 17:00 0.02 0.01 0.12 0.46 1.70 0.10 0.04
 25.01.13 18:00 0.02 0.01 0.12 0.51 1.72 0.11 0.03
 -------- 19:00 0.02 0.01 0.12 0.49 1.69 0.08 0.03
 -------- 20:00 0.02 0.01 0.12 0.43 1.68 0.05 0.03
 -------- 21:00 ---- 0.00 ---- 0.40 1.68 0.05 0.03
 -------- 22:00 0.02 0.00 ---- 0.45 1.70 0.06 0.03
 25.01.13 23:00 ---- 0.00 ---- 0.45 1.67 0.06 0.03
 -------- 00:00 ---- 0.00 ---- 0.45 1.68 0.07 0.03
 -------- 01:00 ---- 0.00 0.12 0.46 1.72 0.10 0.03
 -------- 02:00 ---- 0.00 ---- 0.46 1.73 0.10 0.03
 -------- 03:00 ---- 0.00 ---- 0.46 1.73 0.09 0.03
 26.01.13 04:00 ---- ---- ---- 0.45 1.72 0.08 0.03
 -------- 05:00 ---- ---- ---- 0.42 1.68 0.06 0.03
 -------- 06:00 ---- ---- ---- 0.43 1.72 0.08 0.03
 -------- 07:00 0.02 ---- ---- 0.42 1.73 0.06 0.03
 -------- 08:00 0.02 ---- ---- 0.45 1.74 0.10 0.03
 26.01.13 09:00 0.02 ---- ---- 0.46 1.86 0.17 0.03
 -------- 10:00 0.04 0.00 ---- 0.48 1.91 0.26 0.05
 -------- 11:00 0.04 0.01 ---- 0.50 1.99 0.33 0.05
