 Date Time CO H2S NO2 CHX NO PM10
 27.09.12 12:00 0.13 0.29 0.11 1.68 0.03 ----
 -------- 13:00 0.11 0.12 0.08 1.58 0.01 ----
 -------- 14:00 0.09 0.17 0.07 1.58 0.01 ----
 -------- 15:00 0.08 0.25 0.07 1.59 0.00 0.04
 -------- 16:00 0.09 0.33 0.09 1.64 0.00 0.05
 27.09.12 17:00 0.10 0.12 0.11 1.66 0.00 0.07
 -------- 18:00 0.10 0.87 0.14 1.85 0.00 0.10
 -------- 19:00 0.11 1.54 0.14 1.91 0.00 0.09
 -------- 20:00 0.09 1.42 0.14 1.85 ---- 0.08
 -------- 21:00 0.09 1.58 0.12 1.71 ---- 0.07
 27.09.12 22:00 0.08 1.12 0.12 1.61 ---- 0.06
 -------- 23:00 0.09 0.25 0.12 1.59 ---- 0.06
 -------- 00:00 0.09 0.87 0.13 1.61 ---- 0.07
 -------- 01:00 0.08 1.69 0.12 1.64 ---- 0.05
 -------- 02:00 0.08 0.25 0.13 1.66 ---- 0.05
 28.09.12 03:00 0.08 0.42 0.10 1.58 ---- 0.06
 -------- 04:00 0.08 0.17 0.09 1.59 ---- 0.07
 -------- 05:00 0.07 0.12 0.09 1.58 ---- 0.07
 -------- 06:00 0.08 0.29 0.11 1.60 ---- 0.05
 -------- 07:00 0.08 0.42 0.14 1.61 ---- 0.06
 28.09.12 08:00 0.11 0.33 0.18 1.60 0.01 0.08
 -------- 09:00 0.09 0.38 0.15 1.57 0.01 0.08
 -------- 10:00 0.08 0.33 0.14 1.57 0.01 0.18
 -------- 11:00 0.08 0.33 0.13 1.57 0.01 0.15
 -------- 12:00 0.08 0.33 0.11 1.55 0.01 0.12
 28.09.12 13:00 0.08 0.33 0.09 1.54 0.01 0.12
 -------- 14:00 0.07 0.29 0.09 1.54 0.00 0.09
 -------- 15:00 0.08 0.29 0.10 1.54 0.00 0.09
 -------- 16:00 0.07 0.21 0.09 1.53 0.00 0.10
 -------- 17:00 0.08 0.25 0.11 1.54 ---- 0.12
 28.09.12 18:00 0.08 0.21 0.12 1.54 ---- 0.10
 -------- 19:00 0.08 0.21 0.14 1.59 ---- 0.09
 -------- 20:00 0.08 0.25 0.13 1.56 ---- 0.08
 -------- 21:00 0.06 0.25 0.09 1.53 ---- 0.08
 -------- 22:00 0.07 0.17 0.10 1.50 ---- 0.06
 28.09.12 23:00 0.06 0.12 0.08 1.49 ---- 0.01
 -------- 00:00 0.06 0.12 0.13 1.49 ---- 0.01
 -------- 01:00 0.05 0.12 0.08 1.48 ---- 0.04
 -------- 02:00 0.06 ---- 0.07 1.48 ---- 0.02
 -------- 03:00 0.06 ---- 0.11 1.50 ---- 0.03
 29.09.12 04:00 0.05 ---- 0.07 1.50 ---- 0.03
 -------- 05:00 0.06 0.12 0.10 1.51 ---- 0.02
 -------- 06:00 0.07 ---- 0.14 1.52 0.00 0.02
 -------- 07:00 0.08 0.12 0.14 1.56 0.01 0.02
 -------- 08:00 0.10 0.12 0.14 1.55 0.01 0.02
 29.09.12 09:00 0.09 0.12 0.14 1.54 0.01 0.03
 -------- 10:00 0.09 0.21 0.12 1.52 0.01 0.03
 -------- 11:00 0.09 0.21 0.10 1.52 0.01 0.03
