 Date Time CO H2S NO2 CHX NO PM10
 15.10.12 12:00 0.07 0.58 0.17 1.79 0.06 0.10
 -------- 13:00 0.05 0.67 0.14 1.72 0.03 0.07
 -------- 14:00 0.04 0.25 0.12 1.65 0.02 0.06
 -------- 15:00 0.03 0.42 0.11 1.60 0.01 0.06
 -------- 16:00 0.03 0.12 0.11 1.59 0.01 0.07
 15.10.12 17:00 0.04 0.42 0.14 1.64 0.01 0.09
 -------- 18:00 0.03 0.12 0.12 1.54 0.00 0.06
 -------- 19:00 0.05 0.92 0.17 1.68 ---- 0.07
 -------- 20:00 0.06 0.62 0.16 1.76 ---- 0.08
 -------- 21:00 0.04 0.58 0.14 1.78 ---- 0.05
 15.10.12 22:00 0.03 0.46 0.12 1.71 ---- 0.05
 -------- 23:00 0.02 0.38 0.11 1.62 ---- 0.04
 -------- 00:00 0.02 0.25 0.11 1.54 ---- 0.04
 -------- 01:00 0.02 ---- 0.08 1.51 ---- 0.03
 -------- 02:00 0.02 0.58 0.07 1.59 ---- 0.03
 16.10.12 03:00 0.02 0.96 0.08 1.61 ---- 0.04
 -------- 04:00 0.02 0.75 0.06 1.72 ---- 0.03
 -------- 05:00 0.02 0.58 0.06 1.74 ---- 0.03
 -------- 06:00 0.03 0.79 0.07 1.69 ---- 0.03
 -------- 07:00 0.04 0.58 0.07 1.68 ---- 0.03
 16.10.12 08:00 0.06 0.21 0.11 1.66 0.00 0.05
 -------- 09:00 0.07 0.62 0.13 1.72 0.01 0.04
 -------- 10:00 0.06 0.46 0.13 1.71 0.01 0.05
 -------- 11:00 0.06 0.58 0.15 1.77 0.01 0.05
 -------- 12:00 0.05 0.62 0.14 1.72 0.01 0.05
 16.10.12 13:00 0.05 0.71 0.13 1.78 0.01 0.05
 -------- 14:00 0.06 0.58 0.14 1.74 0.02 0.06
 -------- 15:00 0.06 0.67 0.15 1.73 0.02 0.06
 -------- 16:00 0.07 ---- 0.13 1.69 0.03 0.07
 -------- 17:00 0.06 ---- 0.12 1.68 0.01 0.07
 16.10.12 18:00 0.06 0.25 0.13 1.65 0.01 0.09
 -------- 19:00 0.07 0.42 0.15 1.74 0.01 0.07
 -------- 20:00 0.09 1.17 0.13 1.75 0.01 0.06
 -------- 21:00 0.08 0.71 0.14 1.67 0.01 0.06
 -------- 22:00 0.12 0.21 0.14 1.63 0.02 0.10
 16.10.12 23:00 0.11 0.25 0.15 1.61 0.03 0.13
 -------- 00:00 0.10 ---- 0.14 1.64 0.02 0.14
 -------- 01:00 0.10 0.12 0.13 1.66 0.02 0.15
 -------- 02:00 0.09 0.21 0.12 1.66 0.02 0.11
 -------- 03:00 0.08 0.21 0.11 1.61 0.01 0.08
 17.10.12 04:00 0.08 0.12 0.09 1.60 0.01 0.07
 -------- 05:00 0.07 0.12 0.09 1.58 0.01 0.06
 -------- 06:00 0.08 0.25 0.08 1.85 0.01 0.06
 -------- 07:00 0.07 0.33 0.07 1.89 0.01 0.05
 -------- 08:00 0.06 ---- 0.07 1.98 0.01 0.05
 17.10.12 09:00 0.09 ---- 0.08 1.72 0.04 0.06
 -------- 10:00 0.11 0.29 0.09 1.69 0.07 0.10
 -------- 11:00 0.11 0.42 0.09 1.70 0.07 0.09
