 Date Time CO SO2 H2S NO2 CHX NO PM10
 05.05.13 12:00 0.08 0.00 0.12 0.25 1.70 0.05 0.08
 -------- 13:00 0.09 0.00 0.12 0.37 1.78 0.07 0.11
 -------- 14:00 0.12 0.00 ---- 0.39 1.61 0.07 0.11
 -------- 15:00 0.10 0.00 0.12 0.32 1.57 0.05 0.07
 -------- 16:00 0.09 0.00 ---- 0.28 1.58 0.04 0.05
 05.05.13 17:00 0.08 ---- ---- 0.24 1.48 0.04 0.04
 -------- 18:00 0.07 ---- ---- 0.20 1.40 0.03 0.04
 -------- 19:00 0.06 0.00 0.12 0.21 1.38 0.03 0.04
 -------- 20:00 0.05 0.00 ---- 0.20 1.39 0.03 0.04
 -------- 21:00 0.05 ---- ---- 0.26 1.43 0.03 0.06
 05.05.13 22:00 0.08 ---- 0.17 0.36 1.53 0.04 0.06
 -------- 23:00 0.11 ---- 0.25 0.31 1.56 0.04 0.05
 -------- 00:00 0.07 0.00 0.12 0.34 1.44 0.03 0.04
 -------- 01:00 0.05 0.00 0.12 0.27 1.43 0.03 0.03
 -------- 02:00 0.04 0.00 0.17 0.23 1.44 0.03 0.04
 06.05.13 03:00 0.04 0.00 0.12 0.21 1.39 0.03 0.03
 -------- 04:00 0.04 0.00 0.12 0.24 1.42 0.03 0.05
 -------- 05:00 0.04 0.00 0.12 0.27 1.43 0.03 0.04
 -------- 06:00 0.02 0.01 0.12 0.17 1.38 0.03 0.03
 -------- 07:00 0.02 0.01 0.25 0.15 1.36 0.03 0.03
 06.05.13 08:00 0.02 0.01 0.21 0.16 1.38 0.03 0.03
 -------- 09:00 0.02 0.01 0.12 0.15 1.36 0.04 0.04
 -------- 10:00 ---- 0.01 0.12 0.11 1.37 0.04 0.03
 -------- 11:00 ---- 0.01 0.12 0.11 1.37 0.04 0.04
 -------- 12:00 ---- 0.01 0.12 0.10 1.39 0.03 0.03
 06.05.13 13:00 0.02 0.01 0.12 0.10 1.40 0.03 0.04
 -------- 14:00 0.02 0.01 0.12 0.10 1.38 0.03 0.03
 -------- 15:00 ---- 0.00 0.12 0.11 1.36 0.03 0.04
 -------- 16:00 ---- 0.00 0.17 0.11 1.36 0.03 0.04
 -------- 17:00 ---- 0.01 0.25 0.10 1.35 0.03 0.05
 06.05.13 18:00 ---- 0.01 0.33 0.09 1.35 0.03 0.03
 -------- 19:00 0.02 0.01 0.25 0.11 1.37 0.03 0.03
