 Date Time CO H2S NO2 CHX NO PM10
 11.10.12 00:00 0.08 0.12 0.14 1.55 0.00 0.03
 -------- 01:00 0.08 0.12 0.11 1.53 0.00 0.02
 -------- 02:00 0.08 0.12 0.10 1.59 ---- 0.02
 -------- 03:00 0.06 0.12 0.09 1.58 ---- 0.02
 -------- 04:00 0.06 0.33 0.09 1.59 ---- 0.03
 11.10.12 05:00 0.08 0.38 0.10 1.58 ---- 0.03
 -------- 06:00 0.10 0.17 0.18 1.60 0.02 0.04
 -------- 07:00 0.12 0.25 0.19 1.61 0.05 0.04
 -------- 08:00 0.14 0.12 0.18 1.63 0.06 0.05
 -------- 09:00 0.13 0.12 0.18 1.63 0.06 0.04
 11.10.12 10:00 0.11 0.21 0.16 1.63 0.05 0.04
 -------- 11:00 0.09 0.25 0.13 1.58 0.03 0.04
 -------- 12:00 0.07 0.33 0.11 1.57 0.02 0.04
 -------- 13:00 0.06 0.38 0.09 1.55 0.02 0.02
 -------- 14:00 0.08 0.12 0.13 1.56 0.02 0.03
 11.10.12 15:00 0.13 0.12 0.14 1.60 0.03 0.04
 -------- 16:00 0.08 0.12 0.14 1.57 0.02 0.03
 -------- 17:00 0.08 0.25 0.15 1.58 0.01 0.05
 -------- 18:00 0.10 0.12 0.20 1.60 0.02 0.05
 -------- 19:00 0.13 0.21 0.22 1.66 0.04 0.08
 11.10.12 20:00 0.15 0.17 0.19 1.66 0.03 0.07
 -------- 21:00 0.16 0.12 0.19 1.64 0.05 0.06
 -------- 22:00 0.16 0.12 0.19 1.64 0.04 0.06
 -------- 23:00 0.14 0.12 0.19 1.63 0.05 0.06
 -------- 00:00 0.15 0.25 0.18 1.70 0.07 0.07
 12.10.12 01:00 0.15 0.38 0.15 1.75 0.09 0.08
 -------- 02:00 0.17 0.42 0.15 1.89 0.08 0.08
 -------- 03:00 0.15 0.25 0.10 1.85 0.07 0.05
 -------- 04:00 0.15 0.50 0.12 2.29 0.13 0.07
 -------- 05:00 0.16 0.96 0.10 2.38 0.15 0.08
 12.10.12 06:00 0.17 1.00 0.12 2.38 0.18 0.09
 -------- 07:00 0.22 1.21 0.14 2.91 0.25 0.11
 -------- 08:00 0.22 1.54 0.15 2.59 0.30 0.08
 -------- 09:00 0.21 1.21 0.15 2.37 0.28 0.07
 -------- 10:00 0.23 2.38 0.17 2.65 0.29 0.10
 12.10.12 11:00 0.25 1.71 0.18 2.30 0.22 0.19
 -------- 12:00 0.19 1.08 0.20 2.20 0.12 0.17
 -------- 13:00 0.15 0.38 0.19 3.79 0.08 0.12
 -------- 14:00 0.09 0.21 0.13 1.87 0.03 0.13
 -------- 15:00 0.08 0.25 0.13 1.94 0.01 0.10
 12.10.12 16:00 0.09 ---- 0.13 2.25 0.01 0.08
 -------- 17:00 0.09 0.12 0.15 2.65 0.02 0.08
 -------- 18:00 0.13 0.33 0.18 2.30 0.05 0.09
 -------- 19:00 0.12 0.33 0.15 1.67 0.04 0.08
 -------- 20:00 0.11 0.17 0.14 1.60 0.01 0.05
 12.10.12 21:00 0.09 0.21 0.12 1.57 0.00 0.03
 -------- 22:00 0.07 0.12 0.09 1.55 0.00 0.02
 -------- 23:00 0.06 0.12 0.09 1.54 ---- 0.02
