 Date Time CO H2S NO2 CHX NO PM10
 16.10.12 12:00 0.05 0.62 0.14 1.72 0.01 0.05
 -------- 13:00 0.05 0.71 0.13 1.78 0.01 0.05
 -------- 14:00 0.06 0.58 0.14 1.74 0.02 0.06
 -------- 15:00 0.06 0.67 0.15 1.73 0.02 0.06
 -------- 16:00 0.07 ---- 0.13 1.69 0.03 0.07
 16.10.12 17:00 0.06 ---- 0.12 1.68 0.01 0.07
 -------- 18:00 0.06 0.25 0.13 1.65 0.01 0.09
 -------- 19:00 0.07 0.42 0.15 1.74 0.01 0.07
 -------- 20:00 0.09 1.17 0.13 1.75 0.01 0.06
 -------- 21:00 0.08 0.71 0.14 1.67 0.01 0.06
 16.10.12 22:00 0.12 0.21 0.14 1.63 0.02 0.10
 -------- 23:00 0.11 0.25 0.15 1.61 0.03 0.13
 -------- 00:00 0.10 ---- 0.14 1.64 0.02 0.14
 -------- 01:00 0.10 0.12 0.13 1.66 0.02 0.15
 -------- 02:00 0.09 0.21 0.12 1.66 0.02 0.11
 17.10.12 03:00 0.08 0.21 0.11 1.61 0.01 0.08
 -------- 04:00 0.08 0.12 0.09 1.60 0.01 0.07
 -------- 05:00 0.07 0.12 0.09 1.58 0.01 0.06
 -------- 06:00 0.08 0.25 0.08 1.85 0.01 0.06
 -------- 07:00 0.07 0.33 0.07 1.89 0.01 0.05
 17.10.12 08:00 0.06 ---- 0.07 1.98 0.01 0.05
 -------- 09:00 0.09 ---- 0.08 1.72 0.04 0.06
 -------- 10:00 0.11 0.29 0.09 1.69 0.07 0.10
 -------- 11:00 0.11 0.42 0.09 1.70 0.07 0.09
 -------- 12:00 0.10 0.42 0.10 1.71 0.05 0.11
 17.10.12 13:00 0.06 1.21 0.09 1.77 0.04 0.12
 -------- 14:00 0.07 0.54 0.10 1.75 0.04 0.12
 -------- 15:00 0.07 0.33 0.13 1.71 0.03 0.08
 -------- 16:00 0.06 0.58 0.15 1.75 0.02 0.08
 -------- 17:00 0.07 0.17 0.16 1.66 0.01 0.13
 17.10.12 18:00 0.08 0.12 0.16 1.68 0.01 0.09
 -------- 19:00 0.08 0.25 0.16 1.74 0.01 0.11
 -------- 20:00 0.09 0.17 0.15 1.80 0.02 0.13
 -------- 21:00 0.06 0.96 0.12 1.84 0.01 0.11
 -------- 22:00 0.05 0.62 0.13 1.86 0.01 0.11
 17.10.12 23:00 0.04 1.46 0.13 1.84 0.00 0.13
 -------- 00:00 0.05 2.00 0.14 1.87 ---- 0.13
 -------- 01:00 0.05 2.96 0.18 2.21 0.02 0.12
 -------- 02:00 0.04 1.00 0.15 1.69 0.00 0.11
 -------- 03:00 0.05 ---- 0.14 1.74 0.00 0.07
 18.10.12 04:00 0.04 2.25 0.16 1.87 0.01 0.11
 -------- 05:00 0.05 1.83 0.17 1.94 0.02 0.09
 -------- 06:00 0.07 1.12 0.17 1.82 0.04 0.10
 -------- 07:00 0.11 1.79 0.17 2.06 0.12 0.09
 -------- 08:00 0.21 1.29 0.18 2.04 0.18 0.07
 18.10.12 09:00 0.23 1.50 0.18 2.04 0.21 0.08
 -------- 10:00 0.19 1.08 0.19 2.05 0.18 0.08
 -------- 11:00 0.15 0.79 0.18 1.84 0.10 0.09
