 Date Time CO SO2 H2S OZ NO2 CHX PM10 PM2.5
 12.02.13 00:00 0.04 0.01 0.19 ---- 0.17 1.79 0.05 ----
 -------- 01:00 0.04 0.00 0.17 ---- 0.17 1.67 0.04 ----
 -------- 02:00 0.04 0.01 0.12 ---- 0.18 1.78 0.04 ----
 -------- 03:00 0.03 0.01 0.12 ---- 0.12 1.74 0.02 ----
 -------- 04:00 0.03 0.00 0.12 ---- 0.13 2.76 0.02 ----
 12.02.13 05:00 0.04 0.00 0.12 ---- 0.17 2.04 0.02 ----
 -------- 06:00 0.04 0.00 0.12 ---- 0.15 1.76 0.04 ----
 -------- 07:00 0.03 0.01 0.12 ---- 0.12 1.68 0.03 ----
 -------- 08:00 0.02 0.00 0.12 ---- 0.11 1.56 0.04 ----
 -------- 09:00 0.02 0.00 0.12 ---- 0.13 1.91 0.03 ----
 12.02.13 10:00 0.02 0.00 0.12 ---- 0.14 1.66 0.03 ----
 -------- 11:00 0.02 0.01 0.12 ---- 0.13 1.62 0.04 ----
 -------- 12:00 0.02 0.01 0.12 ---- 0.09 1.56 0.02 ----
 -------- 13:00 0.02 0.01 0.12 ---- 0.11 1.56 0.02 ----
 -------- 14:00 0.02 0.01 0.12 ---- 0.10 1.65 0.03 ----
 12.02.13 15:00 0.02 0.01 0.12 ---- 0.15 1.86 0.04 ----
 -------- 16:00 0.02 0.01 0.12 ---- 0.14 1.79 0.04 ----
 -------- 17:00 0.02 0.01 0.12 ---- 0.15 1.87 0.04 ----
 -------- 18:00 0.02 0.01 0.12 ---- 0.17 1.55 0.05 ----
 -------- 19:00 0.03 0.01 0.12 ---- 0.18 1.51 0.06 ----
 12.02.13 20:00 0.04 0.01 0.12 ---- 0.17 1.86 0.06 ----
 -------- 21:00 0.04 0.01 0.12 ---- 0.20 2.22 0.06 ----
 -------- 22:00 0.04 0.01 0.12 ---- 0.18 1.89 0.05 ----
 -------- 23:00 0.04 0.01 0.12 ---- 0.20 2.27 0.06 ----
 -------- 00:00 0.04 0.00 0.12 ---- 0.21 2.44 0.06 ----
 13.02.13 01:00 0.05 0.00 0.17 ---- 0.21 2.55 0.06 ----
 -------- 02:00 0.04 0.00 0.21 ---- 0.20 1.93 0.06 ----
 -------- 03:00 0.04 0.00 0.12 ---- 0.21 2.31 0.06 ----
 -------- 04:00 0.04 0.00 0.12 ---- 0.19 1.68 0.06 ----
 -------- 05:00 0.04 0.01 0.29 ---- 0.25 1.68 0.05 ----
 13.02.13 06:00 0.04 0.01 0.62 ---- 0.30 1.83 0.06 ----
 -------- 07:00 0.03 0.02 0.33 ---- 0.39 1.70 0.06 ----
 -------- 08:00 0.02 0.02 0.25 ---- 0.38 1.76 0.07 ----
 -------- 09:00 0.02 0.01 0.29 ---- 0.43 1.69 0.06 ----
 -------- 10:00 0.02 0.01 0.33 ---- 0.40 1.67 0.07 ----
 13.02.13 11:00 0.02 0.02 0.21 ---- 0.37 1.62 0.10 ----
 -------- 12:00 0.02 0.02 0.12 ---- 0.33 1.60 0.09 ----
 -------- 13:00 0.02 0.03 0.25 ---- 0.29 1.60 0.09 ----
 -------- 14:00 0.02 0.02 0.21 ---- 0.24 1.61 0.08 ----
 -------- 15:00 0.02 0.02 0.12 ---- 0.13 1.53 0.05 ----
 13.02.13 16:00 0.02 0.02 0.17 ---- 0.24 1.63 0.07 ----
 -------- 17:00 0.02 0.02 0.17 ---- 0.22 1.64 0.07 ----
 -------- 18:00 0.02 0.01 0.12 ---- 0.21 1.63 0.07 ----
 -------- 19:00 0.03 0.01 0.12 ---- 0.39 2.53 0.09 ----
 -------- 20:00 0.03 0.01 0.12 ---- 0.45 2.36 0.09 ----
 13.02.13 21:00 0.02 0.01 0.12 ---- 0.43 2.55 0.08 ----
 -------- 22:00 0.02 0.01 0.12 ---- 0.40 1.72 0.07 ----
 -------- 23:00 0.02 0.01 0.17 ---- 0.40 2.95 0.07 ----
