 Date Time CO SO2 H2S OZ NO2 CHX PM10 PM2.5
 01.02.13 12:00 0.04 0.01 0.25 ---- 0.24 1.79 0.06 ----
 -------- 13:00 0.04 0.02 0.38 ---- 0.22 1.78 0.08 ----
 -------- 14:00 0.05 0.02 0.38 ---- 0.22 1.85 0.09 ----
 -------- 15:00 0.05 0.02 0.33 ---- 0.22 2.10 0.10 ----
 -------- 16:00 0.04 0.01 0.33 ---- 0.24 1.79 0.11 ----
 01.02.13 17:00 0.06 0.02 0.50 ---- 0.29 1.77 0.10 ----
 -------- 18:00 0.06 0.02 0.54 ---- 0.27 1.79 0.09 ----
 -------- 19:00 0.03 0.02 0.67 ---- 0.26 1.79 0.09 ----
 -------- 20:00 0.02 0.01 0.88 ---- 0.28 1.82 0.10 ----
 -------- 21:00 0.02 0.02 0.96 ---- 0.30 1.82 0.09 ----
 01.02.13 22:00 0.02 0.02 1.04 ---- 0.31 1.81 0.09 ----
 -------- 23:00 0.03 0.02 1.00 ---- 0.30 1.84 0.08 ----
 -------- 00:00 0.04 0.01 0.75 ---- 0.31 1.82 0.07 ----
 -------- 01:00 0.04 0.01 0.58 ---- 0.31 1.71 0.07 ----
 -------- 02:00 0.04 0.01 0.33 ---- 0.35 1.72 0.06 ----
 02.02.13 03:00 0.04 0.01 0.25 ---- 0.38 1.75 0.06 ----
 -------- 04:00 0.04 0.01 0.25 ---- 0.34 1.66 0.04 ----
 -------- 05:00 0.04 0.01 0.21 ---- 0.36 1.74 0.03 ----
 -------- 06:00 0.04 0.01 0.25 ---- 0.38 1.96 0.05 ----
 -------- 07:00 0.05 0.01 0.25 ---- 0.38 1.91 0.05 ----
 02.02.13 08:00 0.06 0.01 0.25 ---- 0.37 1.70 0.05 ----
 -------- 09:00 0.06 0.01 0.21 ---- 0.36 1.64 0.04 ----
 -------- 10:00 0.06 0.01 0.25 ---- 0.37 1.67 0.04 ----
 -------- 11:00 0.07 0.02 0.25 ---- 0.36 1.69 0.05 ----
 -------- 12:00 0.06 0.02 0.25 ---- 0.31 1.65 0.06 ----
 02.02.13 13:00 0.06 0.02 0.25 ---- 0.35 1.66 0.07 ----
 -------- 14:00 0.06 0.05 0.25 ---- 0.35 1.69 0.06 ----
 -------- 15:00 0.06 0.05 0.25 ---- 0.33 1.71 0.07 ----
 -------- 16:00 0.06 0.03 0.29 ---- 0.31 1.70 0.06 ----
 -------- 17:00 0.05 0.02 0.42 ---- 0.33 1.63 0.05 ----
 02.02.13 18:00 0.05 0.02 0.42 ---- 0.38 1.65 0.04 ----
 -------- 19:00 0.03 0.01 0.25 ---- 0.42 1.69 0.06 ----
 -------- 20:00 0.04 0.01 0.25 ---- 0.42 1.68 0.06 ----
 -------- 21:00 0.04 0.01 0.25 ---- 0.42 1.72 0.08 ----
 -------- 22:00 0.04 0.01 0.25 ---- 0.40 1.74 0.06 ----
 02.02.13 23:00 0.04 0.01 0.38 ---- 0.40 1.85 0.06 ----
 -------- 00:00 0.04 0.01 0.42 ---- 0.39 1.92 0.09 ----
 -------- 01:00 0.05 0.01 0.50 ---- 0.39 1.93 0.10 ----
 -------- 02:00 0.04 0.01 0.17 ---- 0.38 1.81 0.09 ----
 -------- 03:00 0.03 0.01 0.25 ---- 0.26 1.71 0.07 ----
 03.02.13 04:00 0.02 0.01 0.25 ---- 0.20 1.65 0.04 ----
 -------- 05:00 0.02 0.01 0.31 ---- 0.21 1.65 0.05 ----
 -------- 06:00 0.02 0.01 0.62 ---- 0.21 1.74 0.05 ----
 -------- 07:00 0.02 0.01 0.42 ---- 0.21 1.75 0.03 ----
 -------- 08:00 0.02 0.01 0.21 ---- 0.20 1.71 0.03 ----
 03.02.13 09:00 0.02 0.01 0.12 ---- 0.20 1.67 0.03 ----
 -------- 10:00 0.02 0.01 0.12 ---- 0.18 1.67 0.03 ----
 -------- 11:00 ---- 0.00 0.12 ---- 0.17 1.65 0.03 ----
