 Date Time CO SO2 H2S CHX PM10
 15.12.12 00:00 ---- 0.02 0.62 1.77 0.03
 -------- 01:00 ---- 0.01 0.12 1.95 0.03
 -------- 02:00 ---- 0.01 0.12 1.80 0.04
 -------- 03:00 ---- 0.01 0.12 1.68 0.04
 -------- 04:00 0.02 0.01 0.12 1.69 0.03
 15.12.12 05:00 0.02 0.01 0.12 1.86 0.03
 -------- 06:00 0.02 0.01 0.12 1.75 0.02
 -------- 07:00 0.02 0.01 0.12 1.83 0.03
 -------- 08:00 0.02 0.01 0.12 1.93 0.03
 -------- 09:00 0.02 0.01 0.12 1.85 0.03
 15.12.12 10:00 0.02 0.01 0.12 1.77 0.05
 -------- 11:00 0.04 0.01 0.12 1.79 0.05
 -------- 12:00 0.03 0.01 0.12 1.84 0.06
 -------- 13:00 0.02 0.01 0.12 1.66 0.05
 -------- 14:00 0.03 0.01 0.12 1.64 0.05
 15.12.12 15:00 0.02 0.01 ---- 1.69 0.06
 -------- 16:00 0.02 0.01 0.12 1.75 0.06
 -------- 17:00 0.03 0.01 0.25 1.84 0.06
 -------- 18:00 0.04 0.01 0.12 2.01 0.05
 -------- 19:00 0.04 0.01 0.12 1.71 0.06
 15.12.12 20:00 0.02 0.01 0.12 1.68 0.04
 -------- 21:00 0.02 0.01 0.12 1.65 0.04
 -------- 22:00 0.02 0.01 0.12 1.65 0.05
 -------- 23:00 0.02 0.01 0.12 1.75 0.05
 -------- 00:00 0.02 0.00 0.12 1.82 0.05
 16.12.12 01:00 0.02 0.00 ---- 1.81 0.05
 -------- 02:00 0.02 0.00 ---- 1.86 0.05
 -------- 03:00 0.02 0.00 0.12 1.93 0.04
 -------- 04:00 0.02 0.00 0.12 2.00 0.04
 -------- 05:00 0.02 0.00 0.12 2.09 0.04
 16.12.12 06:00 0.02 0.00 0.12 2.19 0.04
 -------- 07:00 0.02 0.00 0.12 2.04 0.03
 -------- 08:00 0.02 0.00 0.12 2.08 0.04
 -------- 09:00 0.02 0.00 0.12 2.01 0.04
 -------- 10:00 0.02 0.00 0.12 1.88 0.05
 16.12.12 11:00 0.03 0.01 0.12 1.83 0.07
 -------- 12:00 0.06 0.00 0.12 1.89 0.12
 -------- 13:00 0.05 0.01 0.25 1.81 0.06
 -------- 14:00 0.04 0.02 0.58 1.81 0.05
 -------- 15:00 0.04 0.03 0.58 1.78 0.04
 16.12.12 16:00 0.04 0.02 0.50 1.76 0.06
 -------- 17:00 0.04 0.02 0.54 1.71 0.07
 -------- 18:00 0.04 0.02 0.46 1.80 0.06
 -------- 19:00 0.03 0.01 0.44 1.85 0.05
 -------- 20:00 0.02 0.01 0.33 1.94 0.06
 16.12.12 21:00 0.02 0.01 0.38 2.14 0.06
 -------- 22:00 0.02 0.01 0.29 2.08 0.06
 -------- 23:00 0.02 0.01 0.25 2.09 0.06
