 Date Time CO SO2 H2S OZ NO2 CHX PM10 PM2.5
 29.04.13 12:00 0.06 0.00 ---- ---- 0.09 1.35 0.03 ----
 -------- 13:00 0.06 0.00 ---- ---- 0.09 1.36 0.03 ----
 -------- 14:00 0.06 ---- ---- ---- 0.08 1.35 0.03 ----
 -------- 15:00 0.06 0.00 ---- ---- 0.11 1.36 0.03 ----
 -------- 16:00 0.06 ---- ---- ---- 0.14 1.38 0.02 ----
 29.04.13 17:00 0.06 ---- ---- ---- 0.17 1.40 0.04 ----
 -------- 18:00 0.07 ---- ---- ---- 0.21 1.41 0.05 ----
 -------- 19:00 0.07 ---- ---- ---- 0.30 1.44 0.07 ----
 -------- 20:00 0.09 ---- ---- ---- 0.43 1.51 0.07 ----
 -------- 21:00 0.12 0.00 ---- ---- 0.50 1.55 0.12 ----
 29.04.13 22:00 0.15 0.01 ---- ---- 0.51 1.63 0.16 ----
 -------- 23:00 0.17 0.00 0.12 ---- 0.43 1.96 0.19 ----
 -------- 00:00 0.19 0.01 0.21 ---- 0.55 2.16 0.26 ----
 -------- 01:00 0.13 0.01 0.29 ---- 0.45 1.66 0.13 ----
 -------- 02:00 0.08 0.01 0.25 ---- 0.39 1.60 0.08 ----
 30.04.13 03:00 0.08 0.01 0.21 ---- 0.34 1.60 0.08 ----
 -------- 04:00 0.08 0.01 0.67 ---- 0.45 1.74 0.12 ----
 -------- 05:00 0.08 0.01 0.67 ---- 0.43 1.74 0.13 ----
 -------- 06:00 0.09 0.01 0.54 ---- 0.45 1.73 0.17 ----
 -------- 07:00 0.09 0.02 0.29 ---- 0.41 1.61 0.12 ----
 30.04.13 08:00 0.08 0.02 0.21 ---- ---- 1.51 0.13 ----
 -------- 09:00 0.05 0.01 0.12 ---- ---- 1.45 0.09 ----
 -------- 10:00 0.04 0.01 0.12 ---- ---- 1.45 0.08 ----
 -------- 11:00 0.03 0.01 0.12 ---- ---- 1.43 0.07 ----
 -------- 12:00 0.02 0.01 0.12 ---- 0.20 1.42 0.06 ----
 30.04.13 13:00 0.03 0.02 0.17 ---- 0.28 1.42 0.07 ----
 -------- 14:00 0.04 0.04 0.29 ---- 0.36 1.43 0.06 ----
 -------- 15:00 0.05 0.03 0.21 ---- 0.33 1.43 0.04 ----
 -------- 16:00 0.06 0.02 0.21 ---- 0.34 1.45 0.05 ----
 -------- 17:00 0.05 0.02 0.12 ---- 0.28 1.42 0.04 ----
 30.04.13 18:00 0.04 0.02 0.17 ---- 0.25 1.41 0.03 ----
 -------- 19:00 0.05 0.02 0.12 ---- 0.21 1.40 0.03 ----
 -------- 20:00 0.06 0.02 0.12 ---- 0.28 1.41 0.04 ----
 -------- 21:00 0.08 0.02 0.21 ---- 0.45 1.47 0.07 ----
 -------- 22:00 0.12 0.01 0.33 ---- 0.52 1.56 0.10 ----
 30.04.13 23:00 0.13 0.01 0.25 ---- 0.51 1.52 0.09 ----
 -------- 00:00 0.12 0.01 0.25 ---- 0.51 1.57 0.08 ----
 -------- 01:00 0.11 0.01 0.12 ---- 0.51 1.52 0.06 ----
 -------- 02:00 0.07 0.01 ---- ---- 0.33 1.42 0.04 ----
 -------- 03:00 0.04 0.01 ---- ---- 0.24 1.41 0.04 ----
 01.05.13 04:00 0.04 0.01 ---- ---- 0.30 1.43 0.05 ----
 -------- 05:00 0.04 0.01 ---- ---- 0.32 1.44 0.05 ----
 -------- 06:00 0.06 0.01 ---- ---- 0.33 1.44 0.05 ----
 -------- 07:00 0.09 0.01 ---- ---- 0.30 1.43 0.05 ----
 -------- 08:00 0.10 0.01 ---- ---- 0.29 1.45 0.05 ----
 01.05.13 09:00 0.11 0.01 ---- ---- 0.26 1.45 0.06 ----
