 Date Time CO H2S NO2 CHX NO PM10
 02.12.12 12:00 ---- 0.12 0.10 1.76 0.03 0.02
 -------- 13:00 ---- 0.12 0.11 1.66 0.04 0.02
 -------- 14:00 ---- ---- 0.13 1.67 0.04 0.02
 -------- 15:00 ---- 0.12 0.13 1.69 0.04 0.02
 -------- 16:00 ---- 0.25 0.13 1.66 0.03 0.04
 02.12.12 17:00 ---- 0.12 0.14 1.64 0.01 0.02
 -------- 18:00 ---- 0.12 0.12 1.69 0.01 0.01
 -------- 19:00 0.02 ---- 0.14 1.65 0.01 0.02
 -------- 20:00 0.02 0.29 0.12 1.61 0.00 0.02
 -------- 21:00 0.02 0.38 0.13 1.60 0.01 0.02
 02.12.12 22:00 ---- 0.29 0.10 1.59 ---- 0.02
 -------- 23:00 ---- 0.29 0.11 1.58 0.00 0.02
 -------- 00:00 ---- 0.12 0.14 1.69 0.00 0.01
 -------- 01:00 0.02 0.12 0.19 1.75 0.01 0.02
 -------- 02:00 0.02 0.25 0.18 1.66 0.00 0.03
 03.12.12 03:00 0.02 0.12 0.12 1.63 ---- 0.02
 -------- 04:00 ---- 0.33 0.07 1.64 ---- 0.02
 -------- 05:00 ---- 0.17 0.07 1.68 0.00 0.01
 -------- 06:00 ---- 0.29 0.08 1.72 0.01 0.02
 -------- 07:00 0.03 0.50 0.11 1.74 0.02 0.02
 03.12.12 08:00 0.06 0.25 0.09 1.74 0.01 0.02
 -------- 09:00 0.06 0.33 0.10 1.80 0.01 0.03
 -------- 10:00 0.06 0.12 0.12 1.62 0.00 0.02
 -------- 11:00 0.07 0.12 0.07 1.62 0.01 0.01
 -------- 12:00 0.05 0.12 0.06 1.59 0.00 0.02
 03.12.12 13:00 0.04 0.12 0.05 1.61 0.00 0.02
 -------- 14:00 0.04 ---- 0.04 1.60 0.00 0.01
 -------- 15:00 0.04 0.12 0.04 1.56 ---- 0.01
 -------- 16:00 0.04 0.12 0.05 1.59 ---- 0.02
 -------- 17:00 0.04 0.25 0.04 1.61 ---- 0.02
 03.12.12 18:00 0.04 0.12 0.06 1.59 ---- 0.01
 -------- 19:00 0.04 0.12 0.06 1.59 ---- 0.02
 -------- 20:00 ---- 0.12 0.06 1.85 ---- 0.02
 -------- 21:00 ---- 0.12 0.07 1.75 ---- 0.01
 -------- 22:00 0.02 0.21 0.06 1.75 ---- 0.01
 03.12.12 23:00 ---- 0.25 0.06 1.74 ---- 0.01
 -------- 00:00 ---- 0.29 0.05 1.65 ---- 0.01
 -------- 01:00 ---- 0.38 0.04 1.68 ---- 0.02
 -------- 02:00 ---- 0.17 0.04 2.45 ---- 0.03
 -------- 03:00 ---- 0.25 0.05 2.23 ---- 0.02
 04.12.12 04:00 ---- 0.21 0.05 1.82 ---- 0.02
 -------- 05:00 ---- 0.25 0.05 1.76 ---- 0.02
 -------- 06:00 ---- 0.12 0.04 1.78 ---- 0.02
 -------- 07:00 0.04 0.17 0.04 1.61 ---- 0.02
 -------- 08:00 0.03 0.17 0.05 1.61 ---- 0.02
 04.12.12 09:00 0.04 0.17 0.05 1.61 0.00 0.03
 -------- 10:00 0.03 0.21 0.05 1.64 0.01 0.02
 -------- 11:00 0.03 0.21 0.04 1.65 0.00 0.02
