 Date Time CO H2S NO2 CHX NO PM10
 25.11.12 12:00 0.02 0.29 0.12 1.71 0.01 0.03
 -------- 13:00 0.02 0.33 0.12 1.70 0.01 0.05
 -------- 14:00 0.02 0.17 0.12 1.67 0.01 0.15
 -------- 15:00 0.02 0.42 0.10 1.68 0.01 0.04
 -------- 16:00 0.02 0.83 0.12 1.76 0.00 0.05
 25.11.12 17:00 0.02 1.00 0.14 1.70 0.00 0.19
 -------- 18:00 0.02 0.67 0.14 1.71 0.00 0.07
 -------- 19:00 0.02 0.21 0.11 1.66 0.00 0.06
 -------- 20:00 ---- 0.31 0.09 1.65 ---- 0.09
 -------- 21:00 ---- 0.42 0.08 1.71 0.00 0.07
 25.11.12 22:00 0.02 0.25 0.10 1.66 0.00 0.17
 -------- 23:00 0.02 0.38 0.13 1.64 ---- 0.07
 -------- 00:00 0.02 0.54 0.13 1.68 0.00 0.07
 -------- 01:00 ---- 0.12 0.11 1.61 0.00 0.09
 -------- 02:00 ---- 0.12 0.09 1.62 ---- 0.05
 26.11.12 03:00 ---- 0.12 0.10 1.65 ---- 0.06
 -------- 04:00 0.02 0.29 0.11 1.65 ---- 0.06
 -------- 05:00 0.02 0.33 0.13 1.65 0.00 0.07
 -------- 06:00 0.02 0.21 0.15 1.69 0.01 0.08
 -------- 07:00 0.02 0.21 0.16 1.71 0.02 0.07
 26.11.12 08:00 0.02 0.12 0.17 1.74 0.05 0.06
 -------- 09:00 0.02 0.12 0.17 1.77 0.06 0.06
 -------- 10:00 0.04 0.25 0.16 1.80 0.08 0.06
 -------- 11:00 0.04 0.25 0.17 1.83 0.12 0.07
 -------- 12:00 0.04 0.21 0.17 1.87 0.16 0.09
 26.11.12 13:00 0.04 0.25 0.16 1.79 0.11 0.06
 -------- 14:00 0.04 0.12 0.15 1.73 0.10 0.06
 -------- 15:00 0.04 0.12 0.16 1.77 0.14 0.07
 -------- 16:00 0.04 0.25 0.16 1.78 0.14 0.05
 -------- 17:00 0.04 0.38 0.16 1.84 0.18 0.06
 26.11.12 18:00 0.05 0.12 0.15 1.80 0.14 0.06
 -------- 19:00 0.04 0.12 0.13 1.73 0.09 0.05
 -------- 20:00 0.02 0.12 0.12 1.71 0.08 0.05
 -------- 21:00 0.03 0.12 0.12 1.72 0.07 0.04
 -------- 22:00 0.02 ---- 0.11 1.69 0.06 0.04
 26.11.12 23:00 0.02 ---- 0.11 1.67 0.05 0.04
 -------- 00:00 0.03 ---- 0.12 1.69 0.05 0.04
 -------- 01:00 0.02 ---- 0.12 1.65 0.05 0.04
 -------- 02:00 0.02 ---- 0.12 1.67 0.03 0.04
 -------- 03:00 ---- ---- 0.11 2.13 0.02 0.03
 27.11.12 04:00 ---- 0.12 0.11 1.83 0.02 0.03
 -------- 05:00 ---- 0.21 0.10 1.78 0.02 0.04
 -------- 06:00 0.02 0.12 0.11 1.71 0.02 0.05
 -------- 07:00 0.02 0.21 0.12 1.68 0.01 0.03
 -------- 08:00 0.03 0.17 0.16 1.69 0.06 0.03
 27.11.12 09:00 0.04 0.17 0.17 1.70 0.08 0.03
 -------- 10:00 0.04 0.12 0.16 1.74 0.11 0.04
 -------- 11:00 0.03 0.12 0.14 1.68 0.06 0.04
