 Date Time CO SO2 H2S NO2 CHX NO PM10
 02.04.13 12:00 0.05 0.06 1.25 0.27 1.45 0.05 0.04
 -------- 13:00 0.06 0.07 1.54 0.26 1.44 0.06 0.04
 -------- 14:00 0.07 0.08 2.04 0.24 1.42 0.05 0.03
 -------- 15:00 0.07 0.09 2.50 0.21 1.41 0.04 0.03
 -------- 16:00 0.06 0.09 2.79 0.23 1.42 0.04 0.04
 02.04.13 17:00 0.07 0.10 2.96 0.24 1.41 0.04 0.04
 -------- 18:00 0.07 0.10 2.92 0.31 1.43 0.04 0.04
 -------- 19:00 0.10 0.09 2.79 0.37 1.43 0.04 0.04
 -------- 20:00 0.11 0.08 2.42 0.41 1.49 0.03 0.05
 -------- 21:00 0.11 0.06 1.96 0.38 1.45 0.03 0.05
 02.04.13 22:00 0.09 0.05 1.46 0.31 1.43 0.03 0.04
 -------- 23:00 0.07 0.04 1.12 0.30 1.42 0.03 0.04
 -------- 00:00 0.07 0.02 0.81 0.36 1.43 0.03 0.04
 -------- 01:00 0.07 ---- ---- 0.43 1.47 0.03 0.04
 -------- 02:00 0.06 ---- ---- 0.38 1.46 0.03 0.04
 03.04.13 03:00 0.06 ---- ---- 0.35 1.47 0.03 0.04
 -------- 04:00 0.05 ---- ---- 0.35 1.46 0.03 0.04
 -------- 05:00 0.07 ---- ---- 0.47 1.72 0.07 0.05
 -------- 06:00 0.22 ---- ---- 0.49 2.14 0.07 0.05
 -------- 07:00 0.13 ---- ---- 0.58 1.72 0.16 0.04
 03.04.13 08:00 0.17 ---- ---- 0.53 1.64 0.12 ----
 -------- 09:00 0.11 ---- ---- 0.51 1.57 0.10 ----
 -------- 10:00 0.09 ---- ---- 0.47 1.53 0.08 ----
 -------- 11:00 0.11 ---- ---- 0.53 1.58 0.14 ----
 -------- 12:00 0.10 ---- ---- 0.45 1.55 0.10 ----
 03.04.13 13:00 0.07 ---- ---- 0.38 1.50 0.08 ----
 -------- 14:00 0.03 ---- ---- 0.16 1.52 0.04 ----
 -------- 15:00 0.02 ---- ---- 0.13 1.44 0.03 ----
 -------- 16:00 ---- ---- ---- 0.13 1.39 0.03 ----
 -------- 17:00 ---- ---- ---- 0.11 1.38 0.03 ----
 03.04.13 18:00 ---- ---- ---- 0.11 1.38 0.03 ----
 -------- 19:00 0.07 ---- ---- 0.22 1.42 0.03 ----
 -------- 20:00 0.06 ---- ---- 0.17 1.38 0.03 ----
 -------- 21:00 0.08 ---- ---- 0.23 1.42 0.03 ----
 -------- 22:00 0.08 0.00 ---- 0.22 1.46 0.03 ----
 03.04.13 23:00 0.07 ---- ---- 0.25 1.45 0.03 ----
 -------- 00:00 0.06 0.00 ---- 0.16 1.40 0.03 ----
 -------- 01:00 0.06 0.01 0.12 0.22 1.40 0.03 ----
 -------- 02:00 0.06 0.01 0.12 0.21 1.42 0.03 ----
 -------- 03:00 0.06 0.01 0.12 0.29 1.50 0.03 ----
 04.04.13 04:00 0.06 0.01 0.12 0.28 1.52 0.03 ----
 -------- 05:00 0.04 0.01 ---- 0.14 1.40 0.03 ----
 -------- 06:00 0.03 0.01 ---- 0.15 1.37 0.03 ----
 -------- 07:00 0.07 0.01 ---- 0.18 1.39 0.04 0.04
 -------- 08:00 0.11 0.01 0.12 0.19 1.94 0.04 0.04
 04.04.13 09:00 0.12 0.02 0.12 0.17 2.32 0.04 0.05
 -------- 10:00 0.10 0.02 0.12 0.15 1.79 0.04 0.04
 -------- 11:00 0.08 0.03 0.50 0.11 1.53 0.04 0.03
