 Date Time CO SO2 H2S NO2 CHX NO PM10
 13.01.13 12:00 0.06 0.02 0.12 0.19 1.81 0.18 0.07
 -------- 13:00 0.06 0.02 0.12 0.21 1.76 0.17 0.06
 -------- 14:00 0.06 0.02 0.12 0.24 1.74 0.15 0.06
 -------- 15:00 0.06 0.01 0.12 0.23 1.73 0.12 0.06
 -------- 16:00 0.06 0.01 0.12 0.26 1.70 0.13 0.05
 13.01.13 17:00 0.05 0.01 0.12 0.28 1.70 0.12 0.05
 -------- 18:00 0.06 0.01 0.12 0.31 1.72 0.14 0.05
 -------- 19:00 0.06 0.01 0.12 0.30 1.73 0.15 0.05
 -------- 20:00 0.06 0.01 0.12 0.30 1.73 0.14 0.05
 -------- 21:00 0.06 0.01 0.12 0.29 1.74 0.15 0.05
 13.01.13 22:00 0.06 0.01 0.12 0.29 1.73 0.13 0.04
 -------- 23:00 0.06 0.01 0.12 0.27 1.72 0.10 0.03
 -------- 00:00 0.06 0.01 0.12 0.24 1.70 0.08 0.03
 -------- 01:00 0.06 0.01 0.12 0.26 1.70 0.08 0.03
 -------- 02:00 0.06 0.01 0.12 0.28 1.68 0.10 0.03
 14.01.13 03:00 0.06 0.01 0.17 0.26 1.66 0.09 0.03
 -------- 04:00 0.05 0.01 0.12 0.24 1.65 0.08 0.03
 -------- 05:00 0.04 0.01 0.12 0.23 1.64 0.08 0.03
 -------- 06:00 0.04 0.01 0.17 0.25 1.64 0.09 0.03
 -------- 07:00 0.05 0.01 0.21 0.28 1.67 0.13 0.04
 14.01.13 08:00 0.06 0.01 0.25 0.29 1.71 0.15 0.04
 -------- 09:00 0.06 0.01 0.25 0.33 1.76 0.22 0.05
 -------- 10:00 0.08 0.01 0.25 0.34 1.80 0.28 0.05
 -------- 11:00 0.08 0.02 0.25 0.35 1.82 0.30 0.06
 -------- 12:00 0.08 0.02 0.25 0.32 1.78 0.25 0.06
 14.01.13 13:00 0.05 0.01 0.25 0.35 1.83 0.30 0.05
 -------- 14:00 0.04 ---- ---- 1.60 2.11 1.73 0.04
 -------- 15:00 0.02 ---- ---- 0.37 1.94 ---- 0.04
 -------- 16:00 0.02 ---- ---- 0.47 2.21 0.16 0.05
 -------- 17:00 0.02 ---- ---- 0.47 1.80 0.11 0.04
 14.01.13 18:00 0.02 ---- ---- 0.39 1.70 0.05 0.03
 -------- 19:00 ---- ---- ---- 0.42 1.69 0.05 0.03
 -------- 20:00 ---- ---- ---- 0.30 1.66 0.04 0.02
 -------- 21:00 ---- ---- ---- 0.24 1.63 0.04 0.02
 -------- 22:00 0.02 ---- ---- 0.21 1.62 0.04 0.02
 14.01.13 23:00 0.02 ---- ---- 0.20 1.61 0.04 0.02
 -------- 00:00 0.02 0.00 ---- 0.18 1.60 0.04 0.02
 -------- 01:00 0.02 0.00 0.12 0.17 1.58 0.04 0.02
 -------- 02:00 0.02 0.01 0.12 0.13 1.58 0.04 0.02
 -------- 03:00 0.02 0.01 0.12 0.11 1.57 0.03 0.02
 15.01.13 04:00 0.02 0.01 0.12 0.10 1.57 0.04 0.02
 -------- 05:00 0.02 0.01 0.25 0.11 1.56 0.04 0.02
 -------- 06:00 0.02 0.01 0.25 0.16 1.57 0.04 0.02
 -------- 07:00 0.02 0.01 0.25 0.25 1.60 0.04 0.02
 -------- 08:00 0.03 0.01 0.25 0.41 1.64 0.06 0.03
 15.01.13 09:00 0.04 0.01 0.25 0.46 1.67 0.07 0.03
 -------- 10:00 0.04 0.01 0.25 0.47 1.68 0.09 0.03
 -------- 11:00 0.04 0.01 0.25 0.40 1.66 0.08 0.03
