 Date Time CO SO2 H2S CHX PM10
 14.12.12 00:00 ---- 0.00 ---- ---- 0.03
 -------- 01:00 ---- 0.00 ---- ---- 0.03
 -------- 02:00 ---- 0.00 ---- ---- 0.02
 -------- 03:00 ---- 0.00 ---- ---- 0.01
 -------- 04:00 ---- 0.01 ---- ---- 0.01
 14.12.12 05:00 ---- 0.00 ---- ---- 0.01
 -------- 06:00 ---- 0.00 ---- ---- 0.01
 -------- 07:00 0.03 0.00 ---- ---- 0.03
 -------- 08:00 0.05 0.00 ---- ---- 0.04
 -------- 09:00 0.04 0.00 ---- ---- 0.04
 14.12.12 10:00 0.04 0.00 ---- ---- 0.01
 -------- 11:00 0.04 0.00 ---- ---- 0.04
 -------- 12:00 0.04 0.00 ---- ---- 0.04
 -------- 13:00 0.04 ---- ---- 1.69 0.04
 -------- 14:00 0.03 ---- ---- 1.70 0.06
 14.12.12 15:00 ---- 0.02 0.25 1.68 0.08
 -------- 16:00 ---- 0.03 0.62 1.65 0.11
 -------- 17:00 ---- 0.04 1.00 1.67 0.12
 -------- 18:00 ---- 0.04 1.38 1.75 0.10
 -------- 19:00 ---- 0.05 1.54 1.69 0.08
 14.12.12 20:00 ---- 0.05 1.63 1.70 0.07
 -------- 21:00 ---- 0.05 1.67 1.76 0.02
 -------- 22:00 ---- 0.05 1.71 1.76 0.03
 -------- 23:00 ---- 0.05 1.75 1.75 0.03
 -------- 00:00 ---- 0.03 1.19 1.77 0.03
 15.12.12 01:00 ---- 0.01 0.12 1.95 0.03
 -------- 02:00 ---- 0.01 0.12 1.80 0.04
 -------- 03:00 ---- 0.01 0.12 1.68 0.04
 -------- 04:00 0.02 0.01 0.12 1.69 0.03
 -------- 05:00 0.02 0.01 0.12 1.86 0.03
 15.12.12 06:00 0.02 0.01 0.12 1.75 0.02
 -------- 07:00 0.02 0.01 0.12 1.83 0.03
 -------- 08:00 0.02 0.01 0.12 1.93 0.03
 -------- 09:00 0.02 0.01 0.12 1.85 0.03
 -------- 10:00 0.02 0.01 0.12 1.77 0.05
 15.12.12 11:00 0.04 0.01 0.12 1.79 0.05
 -------- 12:00 0.03 0.01 0.12 1.84 0.06
 -------- 13:00 0.02 0.01 0.12 1.66 0.05
 -------- 14:00 0.03 0.01 0.12 1.64 0.05
 -------- 15:00 0.02 0.01 ---- 1.69 0.06
 15.12.12 16:00 0.02 0.01 0.12 1.75 0.06
 -------- 17:00 0.03 0.01 0.25 1.84 0.06
 -------- 18:00 0.04 0.01 0.12 2.01 0.05
 -------- 19:00 0.04 0.01 0.12 1.71 0.06
 -------- 20:00 0.02 0.01 0.12 1.68 0.04
 15.12.12 21:00 0.02 0.01 0.12 1.65 0.04
 -------- 22:00 0.02 0.01 0.12 1.65 0.05
 -------- 23:00 0.02 0.01 0.12 1.75 0.05
