 Date Time CO SO2 H2S NO2 CHX NO PM10
 02.01.13 12:00 ---- 0.04 0.19 0.09 1.73 0.10 0.06
 -------- 13:00 ---- 0.04 0.21 0.06 1.76 0.10 0.06
 -------- 14:00 ---- 0.03 0.12 0.10 1.72 0.10 0.06
 -------- 15:00 ---- 0.02 0.12 0.13 1.69 0.12 0.06
 -------- 16:00 ---- 0.02 0.12 0.20 1.72 0.11 0.06
 02.01.13 17:00 ---- 0.02 0.17 0.25 1.80 0.11 0.06
 -------- 18:00 ---- 0.01 0.12 0.24 1.77 0.12 0.05
 -------- 19:00 0.04 0.01 0.17 0.26 1.76 0.11 0.05
 -------- 20:00 0.04 0.01 0.12 0.26 1.77 0.09 0.05
 -------- 21:00 0.04 0.01 0.17 0.23 1.70 0.09 0.05
 02.01.13 22:00 0.04 0.01 0.17 0.20 1.68 0.08 0.05
 -------- 23:00 0.04 0.01 0.17 0.15 1.68 0.07 0.05
 -------- 00:00 0.04 0.01 0.17 0.12 1.68 0.07 0.05
 -------- 01:00 0.04 0.01 0.12 0.12 1.68 0.07 0.06
 -------- 02:00 0.04 0.01 0.12 0.06 1.65 0.07 0.06
 03.01.13 03:00 0.04 0.01 0.12 0.02 1.66 0.07 0.05
 -------- 04:00 0.03 0.01 0.12 0.01 1.65 0.07 0.05
 -------- 05:00 0.02 0.01 0.12 0.03 1.64 0.08 0.06
 -------- 06:00 0.04 0.00 0.12 0.04 1.64 0.07 0.06
 -------- 07:00 0.03 0.00 0.12 0.09 1.65 0.07 0.06
 03.01.13 08:00 0.02 0.00 0.12 0.17 1.67 0.08 0.06
 -------- 09:00 0.02 0.00 0.12 0.19 1.68 0.09 0.06
 -------- 10:00 0.02 0.00 0.12 0.19 1.68 0.09 0.06
 -------- 11:00 0.02 0.01 0.12 0.20 1.70 0.11 0.06
 -------- 12:00 0.03 0.01 0.12 0.25 1.75 0.12 0.07
 03.01.13 13:00 0.04 0.01 0.12 0.23 1.74 0.13 0.07
 -------- 14:00 0.04 0.01 0.17 0.24 1.76 0.13 0.08
 -------- 15:00 0.04 0.01 0.21 0.25 1.80 0.13 0.08
 -------- 16:00 0.04 0.01 0.17 0.26 1.80 0.13 0.08
 -------- 17:00 0.03 0.01 0.17 0.19 1.75 0.09 0.08
 03.01.13 18:00 0.02 0.01 0.12 0.16 1.71 0.08 0.08
 -------- 19:00 0.03 0.01 0.12 0.10 1.67 0.07 0.05
 -------- 20:00 0.04 0.01 0.21 0.23 1.73 0.10 0.05
 -------- 21:00 0.04 0.01 0.25 0.20 1.73 0.09 0.06
 -------- 22:00 0.04 0.01 0.25 0.18 1.72 0.09 0.06
 03.01.13 23:00 0.04 0.01 0.25 0.19 1.73 0.09 0.06
 -------- 00:00 0.03 0.01 0.17 0.13 1.70 0.08 0.04
 -------- 01:00 0.02 0.00 0.12 0.15 1.67 0.08 0.04
 -------- 02:00 0.02 0.00 0.12 0.09 1.66 0.07 0.04
 -------- 03:00 0.02 0.00 0.25 0.08 1.68 0.07 0.03
 04.01.13 04:00 0.02 0.00 0.17 0.08 1.66 0.07 0.03
 -------- 05:00 0.02 0.00 0.12 0.04 1.62 0.07 0.02
 -------- 06:00 0.02 0.00 0.12 0.03 1.61 0.07 0.02
 -------- 07:00 0.02 0.00 0.12 0.07 1.61 0.07 0.02
 -------- 08:00 0.02 0.01 0.12 0.10 1.61 0.08 0.02
 04.01.13 09:00 0.02 0.00 0.12 0.13 1.62 0.08 0.02
 -------- 10:00 0.02 0.01 0.12 0.15 1.65 0.11 0.02
 -------- 11:00 0.03 0.00 0.21 0.24 1.76 0.23 0.04
