 Date Time CO H2S NO2 CHX NO PM10
 12.11.12 12:00 0.10 0.25 0.17 1.62 0.03 0.07
 -------- 13:00 0.10 0.38 0.19 1.66 0.06 0.09
 -------- 14:00 0.10 0.17 0.17 1.67 0.03 0.07
 -------- 15:00 0.10 0.21 0.17 1.71 0.03 0.06
 -------- 16:00 0.10 0.12 0.17 1.63 0.03 0.06
 12.11.12 17:00 0.10 0.17 0.17 1.62 0.02 0.07
 -------- 18:00 0.11 0.12 0.18 1.65 0.03 0.06
 -------- 19:00 0.09 0.12 0.17 1.63 0.03 0.07
 -------- 20:00 0.07 0.21 0.18 1.63 0.04 0.06
 -------- 21:00 0.07 0.29 0.18 1.63 0.03 0.06
 12.11.12 22:00 0.07 0.12 0.17 1.65 0.03 0.08
 -------- 23:00 0.06 0.12 0.17 1.63 0.02 0.07
 -------- 00:00 0.06 0.17 0.17 1.62 0.02 0.07
 -------- 01:00 0.05 0.17 0.18 1.61 0.01 0.06
 -------- 02:00 0.05 0.12 0.19 1.66 0.01 0.05
 13.11.12 03:00 0.03 0.25 0.17 1.63 0.00 0.05
 -------- 04:00 0.02 0.12 0.15 1.60 ---- 0.04
 -------- 05:00 0.02 ---- 0.15 1.58 0.00 0.04
 -------- 06:00 0.05 0.17 0.19 1.61 0.01 0.04
 -------- 07:00 0.06 0.25 0.20 1.61 0.01 0.03
 13.11.12 08:00 0.09 ---- 0.22 1.63 0.03 0.03
 -------- 09:00 0.07 ---- 0.21 1.60 0.02 0.03
 -------- 10:00 0.08 ---- 0.23 1.62 0.03 0.03
 -------- 11:00 0.07 0.12 0.19 1.60 0.02 0.03
 -------- 12:00 0.06 ---- 0.16 1.56 0.02 0.04
 13.11.12 13:00 0.05 ---- 0.15 1.54 0.01 0.05
 -------- 14:00 0.05 0.12 0.13 1.53 0.01 0.06
 -------- 15:00 0.05 0.12 0.12 1.54 0.01 0.06
 -------- 16:00 0.04 ---- 0.13 1.53 0.01 0.06
 -------- 17:00 0.05 ---- 0.18 1.55 0.01 0.05
 13.11.12 18:00 0.06 0.12 0.21 1.57 0.01 0.06
 -------- 19:00 0.07 0.21 0.16 1.54 0.01 0.04
 -------- 20:00 0.07 0.12 0.17 1.54 0.00 0.04
 -------- 21:00 0.06 ---- 0.16 1.54 0.00 0.04
 -------- 22:00 0.06 0.19 0.15 1.54 0.00 0.03
 13.11.12 23:00 0.07 0.12 0.11 1.53 ---- 0.04
 -------- 00:00 0.05 ---- 0.10 1.52 ---- 0.03
 -------- 01:00 0.04 0.12 0.08 1.52 ---- 0.02
 -------- 02:00 0.04 0.12 0.07 1.51 ---- 0.01
 -------- 03:00 0.04 0.12 0.07 1.51 ---- 0.02
 14.11.12 04:00 0.04 0.12 0.07 1.51 ---- 0.03
 -------- 05:00 0.04 ---- 0.07 1.53 ---- 0.02
 -------- 06:00 0.04 ---- 0.09 1.53 ---- 0.02
 -------- 07:00 0.07 ---- 0.08 1.53 0.00 0.01
 -------- 08:00 0.10 ---- 0.14 1.53 0.00 0.05
 14.11.12 09:00 0.10 ---- 0.14 1.53 0.00 0.05
 -------- 10:00 0.15 ---- 0.16 1.57 0.01 0.05
 -------- 11:00 0.10 ---- 0.16 1.53 0.01 0.06
