 Date Time CO SO2 H2S NO2 CHX NO PM10
 06.02.13 12:00 0.02 0.02 0.12 0.33 1.56 0.06 0.06
 -------- 13:00 0.02 0.02 0.12 0.29 1.56 0.06 0.06
 -------- 14:00 0.02 0.02 0.12 0.25 1.56 0.05 0.05
 -------- 15:00 0.02 0.01 0.38 0.21 1.61 0.04 0.04
 -------- 16:00 0.02 0.01 0.29 0.26 1.65 0.04 0.05
 06.02.13 17:00 0.02 0.01 0.46 0.28 1.62 0.03 0.05
 -------- 18:00 0.02 0.01 0.12 0.38 1.58 0.04 0.04
 -------- 19:00 0.02 0.01 0.12 0.34 1.61 0.04 0.04
 -------- 20:00 ---- 0.01 0.17 0.30 1.60 0.04 0.05
 -------- 21:00 ---- 0.01 0.17 0.28 1.59 0.03 0.05
 06.02.13 22:00 ---- 0.01 0.21 0.30 1.61 0.03 0.05
 -------- 23:00 ---- 0.01 0.25 0.30 1.58 0.03 0.06
 -------- 00:00 ---- 0.01 0.19 0.31 1.59 0.03 0.05
 -------- 01:00 ---- 0.01 0.12 0.26 1.57 0.03 0.04
 -------- 02:00 ---- 0.01 0.12 0.21 1.55 0.03 0.04
 07.02.13 03:00 ---- 0.01 ---- 0.15 1.53 0.03 0.03
 -------- 04:00 ---- 0.01 0.29 0.16 1.64 0.03 0.04
 -------- 05:00 ---- 0.01 0.25 0.17 1.65 0.03 0.07
 -------- 06:00 ---- 0.01 0.19 0.17 1.64 0.03 0.08
 -------- 07:00 0.04 0.01 0.12 0.17 1.64 0.03 0.09
 07.02.13 08:00 0.04 0.01 0.21 0.22 1.66 0.03 0.08
 -------- 09:00 0.04 0.01 0.21 0.24 1.64 0.03 0.06
 -------- 10:00 0.04 0.01 0.25 0.22 1.64 0.04 0.04
 -------- 11:00 0.04 0.01 0.12 0.19 1.61 0.04 0.06
 -------- 12:00 0.04 0.01 0.12 0.17 1.55 0.04 0.06
 07.02.13 13:00 0.04 0.01 ---- 0.18 1.54 0.04 0.06
 -------- 14:00 0.04 0.01 ---- 0.18 1.55 0.05 0.07
 -------- 15:00 0.04 0.01 0.12 0.22 1.60 0.05 0.07
 -------- 16:00 0.04 0.01 0.12 0.20 1.58 0.04 0.07
 -------- 17:00 0.04 0.01 ---- 0.17 1.56 0.04 0.06
 07.02.13 18:00 0.03 0.00 ---- 0.17 1.57 0.03 0.08
 -------- 19:00 0.03 0.00 ---- 0.16 1.60 0.03 0.08
 -------- 20:00 0.02 ---- ---- 0.13 1.57 0.03 0.05
 -------- 21:00 0.02 ---- ---- 0.13 1.58 0.03 0.05
 -------- 22:00 0.02 ---- ---- 0.13 1.59 0.03 0.05
 07.02.13 23:00 0.02 ---- ---- 0.13 1.56 0.03 0.05
 -------- 00:00 0.02 ---- ---- 0.13 1.57 0.03 0.04
 -------- 01:00 0.02 ---- 0.12 0.12 1.57 0.03 0.04
 -------- 02:00 0.02 0.00 ---- 0.13 1.56 0.03 0.04
 -------- 03:00 0.02 ---- ---- 0.13 1.53 0.03 0.04
 08.02.13 04:00 0.02 0.00 0.12 0.13 1.56 0.03 0.05
 -------- 05:00 0.02 0.00 0.12 0.14 1.55 0.03 0.04
 -------- 06:00 0.02 0.00 0.12 0.15 1.57 0.03 0.03
 -------- 07:00 0.02 0.00 0.17 0.15 1.61 0.03 0.03
 -------- 08:00 ---- 0.00 0.17 0.20 1.62 0.04 0.04
 08.02.13 09:00 ---- 0.00 0.25 0.24 1.62 0.03 0.04
 -------- 10:00 ---- 0.00 0.12 0.23 1.59 0.04 0.04
 -------- 11:00 ---- 0.00 0.21 0.20 1.61 0.04 0.03
