 Date Time CO H2S NO2 CHX NO PM10
 27.09.12 00:00 0.19 0.12 0.17 1.71 0.10 ----
 -------- 01:00 0.15 0.12 0.13 1.73 0.07 ----
 -------- 02:00 0.15 ---- 0.13 1.81 0.08 ----
 -------- 03:00 0.16 0.12 0.11 4.06 0.11 ----
 -------- 04:00 0.15 0.12 0.07 3.77 0.11 ----
 27.09.12 05:00 0.19 0.25 0.09 4.60 0.13 ----
 -------- 06:00 0.19 0.29 0.09 5.32 0.15 ----
 -------- 07:00 0.27 0.25 0.10 5.73 0.11 ----
 -------- 08:00 0.21 0.25 0.09 5.47 0.15 ----
 -------- 09:00 0.23 2.29 0.16 4.03 0.22 ----
 27.09.12 10:00 0.21 0.50 0.16 2.37 0.13 ----
 -------- 11:00 0.14 0.25 0.13 1.84 0.05 ----
 -------- 12:00 0.13 0.29 0.11 1.68 0.03 ----
 -------- 13:00 0.11 0.12 0.08 1.58 0.01 ----
 -------- 14:00 0.09 0.17 0.07 1.58 0.01 ----
 27.09.12 15:00 0.08 0.25 0.07 1.59 0.00 0.04
 -------- 16:00 0.09 0.33 0.09 1.64 0.00 0.05
 -------- 17:00 0.10 0.12 0.11 1.66 0.00 0.07
 -------- 18:00 0.10 0.87 0.14 1.85 0.00 0.10
 -------- 19:00 0.11 1.54 0.14 1.91 0.00 0.09
 27.09.12 20:00 0.09 1.42 0.14 1.85 ---- 0.08
 -------- 21:00 0.09 1.58 0.12 1.71 ---- 0.07
 -------- 22:00 0.08 1.12 0.12 1.61 ---- 0.06
 -------- 23:00 0.09 0.25 0.12 1.59 ---- 0.06
 -------- 00:00 0.09 0.87 0.13 1.61 ---- 0.07
 28.09.12 01:00 0.08 1.69 0.12 1.64 ---- 0.05
 -------- 02:00 0.08 0.25 0.13 1.66 ---- 0.05
 -------- 03:00 0.08 0.42 0.10 1.58 ---- 0.06
 -------- 04:00 0.08 0.17 0.09 1.59 ---- 0.07
 -------- 05:00 0.07 0.12 0.09 1.58 ---- 0.07
 28.09.12 06:00 0.08 0.29 0.11 1.60 ---- 0.05
 -------- 07:00 0.08 0.42 0.14 1.61 ---- 0.06
 -------- 08:00 0.11 0.33 0.18 1.60 0.01 0.08
 -------- 09:00 0.09 0.38 0.15 1.57 0.01 0.08
 -------- 10:00 0.08 0.33 0.14 1.57 0.01 0.18
 28.09.12 11:00 0.08 0.33 0.13 1.57 0.01 0.15
 -------- 12:00 0.08 0.33 0.11 1.55 0.01 0.12
 -------- 13:00 0.08 0.33 0.09 1.54 0.01 0.12
 -------- 14:00 0.07 0.29 0.09 1.54 0.00 0.09
 -------- 15:00 0.08 0.29 0.10 1.54 0.00 0.09
 28.09.12 16:00 0.07 0.21 0.09 1.53 0.00 0.10
 -------- 17:00 0.08 0.25 0.11 1.54 ---- 0.12
 -------- 18:00 0.08 0.21 0.12 1.54 ---- 0.10
 -------- 19:00 0.08 0.21 0.14 1.59 ---- 0.09
 -------- 20:00 0.08 0.25 0.13 1.56 ---- 0.08
 28.09.12 21:00 0.06 0.25 0.09 1.53 ---- 0.08
 -------- 22:00 0.07 0.17 0.10 1.50 ---- 0.06
 -------- 23:00 0.06 0.12 0.08 1.49 ---- 0.01
