 Date Time CO NO2 CHX NO
 24.11.12 12:00 0.23 0.13 1.64 0.25
 -------- 13:00 0.25 0.14 1.66 0.24
 -------- 14:00 0.25 0.13 1.70 0.20
 -------- 15:00 0.23 0.13 1.68 0.20
 -------- 16:00 0.24 0.14 1.69 0.25
 24.11.12 17:00 0.25 0.14 1.70 0.25
 -------- 18:00 0.25 0.13 1.70 0.25
 -------- 19:00 0.25 0.13 1.69 0.25
 -------- 20:00 0.25 0.13 1.68 0.26
 -------- 21:00 0.25 0.13 1.70 0.24
 24.11.12 22:00 0.28 0.14 1.73 0.26
 -------- 23:00 0.22 0.13 1.72 0.21
 -------- 00:00 0.20 0.13 1.67 0.20
 -------- 01:00 0.19 0.12 1.63 0.17
 -------- 02:00 0.17 0.12 1.61 0.13
 25.11.12 03:00 0.15 0.11 1.60 0.11
 -------- 04:00 0.14 0.10 1.58 0.08
 -------- 05:00 0.14 0.10 1.58 0.07
 -------- 06:00 0.14 0.10 1.59 0.08
 -------- 07:00 0.15 0.11 1.61 0.10
 25.11.12 08:00 0.17 0.12 1.61 0.11
 -------- 09:00 0.19 0.12 1.61 0.12
 -------- 10:00 0.22 0.11 1.62 0.15
 -------- 11:00 0.21 0.12 1.61 0.15
 -------- 12:00 0.22 0.12 1.62 0.16
 25.11.12 13:00 0.21 0.12 1.63 0.15
 -------- 14:00 0.21 0.14 1.62 0.16
 -------- 15:00 0.21 0.12 1.61 0.15
 -------- 16:00 0.23 0.12 1.62 0.16
 -------- 17:00 0.23 0.13 1.61 0.16
 25.11.12 18:00 0.22 0.12 1.60 0.15
 -------- 19:00 0.20 0.11 1.58 0.12
 -------- 20:00 0.19 0.11 1.57 0.12
 -------- 21:00 0.19 0.10 1.55 0.11
 -------- 22:00 0.19 0.11 1.56 0.13
 25.11.12 23:00 0.19 0.12 1.59 0.11
 -------- 00:00 0.18 0.12 1.58 0.13
 -------- 01:00 0.15 0.11 1.55 0.09
 -------- 02:00 0.13 0.10 1.54 0.08
 -------- 03:00 0.12 0.10 1.53 0.09
 26.11.12 04:00 0.11 0.09 1.53 0.07
 -------- 05:00 0.12 0.10 1.54 0.11
 -------- 06:00 0.14 0.10 1.56 0.13
 -------- 07:00 0.17 0.11 1.59 0.18
 -------- 08:00 0.21 0.12 1.64 0.20
 26.11.12 09:00 0.23 0.12 1.68 0.20
 -------- 10:00 0.27 0.11 1.65 0.20
 -------- 11:00 0.24 0.10 1.64 0.24
