 Date Time CO NO2 CHX NO
 27.11.12 12:00 0.21 0.08 1.60 0.09
 -------- 13:00 0.13 0.09 1.62 0.09
 -------- 14:00 0.07 0.08 1.64 0.07
 -------- 15:00 0.09 0.08 1.66 0.08
 -------- 16:00 0.12 0.08 1.65 0.06
 27.11.12 17:00 0.17 0.08 1.66 0.07
 -------- 18:00 0.19 0.08 1.66 0.06
 -------- 19:00 0.18 0.08 1.65 0.06
 -------- 20:00 0.19 0.09 1.65 0.07
 -------- 21:00 0.19 0.09 1.64 0.08
 27.11.12 22:00 0.23 0.09 1.62 0.07
 -------- 23:00 0.22 0.09 1.60 0.07
 -------- 00:00 0.22 0.10 1.60 0.11
 -------- 01:00 0.19 0.09 1.58 0.08
 -------- 02:00 0.19 0.09 1.58 0.07
 28.11.12 03:00 0.18 0.08 1.56 0.05
 -------- 04:00 0.18 0.07 1.58 0.04
 -------- 05:00 0.22 0.09 1.71 0.14
 -------- 06:00 0.26 0.11 1.84 0.28
 -------- 07:00 0.31 0.12 1.90 0.36
 28.11.12 08:00 0.35 0.12 2.01 0.36
 -------- 09:00 0.33 0.11 1.85 0.32
 -------- 10:00 0.33 0.12 1.77 0.29
 -------- 11:00 0.27 0.10 1.72 0.25
 -------- 12:00 0.25 0.10 1.67 0.27
 28.11.12 13:00 0.26 0.09 1.68 0.26
 -------- 14:00 0.29 0.10 1.74 0.28
 -------- 15:00 0.30 0.12 1.78 0.29
 -------- 16:00 0.33 0.12 1.81 0.30
 -------- 17:00 0.29 0.11 1.71 0.23
 28.11.12 18:00 0.26 0.11 1.66 0.17
 -------- 19:00 0.26 0.11 1.66 0.16
 -------- 20:00 0.23 0.10 1.64 0.14
 -------- 21:00 0.21 0.10 1.60 0.13
 -------- 22:00 0.22 0.09 1.59 0.13
 28.11.12 23:00 0.19 0.10 1.58 0.15
 -------- 00:00 0.17 0.08 1.56 0.11
 -------- 01:00 0.16 0.09 1.55 0.12
 -------- 02:00 0.14 0.08 1.54 0.10
 -------- 03:00 0.14 0.06 1.56 0.07
 29.11.12 04:00 0.14 0.08 1.63 0.08
 -------- 05:00 0.13 0.08 1.67 0.08
 -------- 06:00 0.15 0.09 1.60 0.11
 -------- 07:00 0.18 0.11 1.61 0.15
 -------- 08:00 0.21 0.11 1.62 0.15
 29.11.12 09:00 0.22 0.11 1.62 0.16
 -------- 10:00 0.25 0.13 1.64 0.18
 -------- 11:00 0.24 0.13 1.64 0.19
