 Date Time CO OZ NO2 NO
 25.12.12 12:00 0.28 ---- 0.17 0.15
 -------- 13:00 0.30 ---- 0.18 0.13
 -------- 14:00 0.31 ---- 0.20 0.16
 -------- 15:00 0.29 ---- 0.19 0.15
 -------- 16:00 0.27 ---- 0.18 0.11
 25.12.12 17:00 0.27 ---- 0.18 0.12
 -------- 18:00 0.30 ---- 0.19 0.11
 -------- 19:00 0.29 ---- 0.18 0.10
 -------- 20:00 0.23 ---- 0.15 0.08
 -------- 21:00 0.20 ---- 0.13 0.06
 25.12.12 22:00 0.23 ---- 0.13 0.07
 -------- 23:00 0.22 ---- 0.13 0.07
 -------- 00:00 0.21 ---- 0.14 0.08
 -------- 01:00 0.19 ---- 0.13 0.07
 -------- 02:00 0.16 ---- 0.09 0.04
 26.12.12 03:00 0.16 ---- 0.08 0.04
 -------- 04:00 0.16 ---- 0.10 0.04
 -------- 05:00 0.18 ---- 0.14 0.07
 -------- 06:00 0.19 ---- 0.16 0.10
 -------- 07:00 0.24 ---- 0.15 0.11
 26.12.12 08:00 0.27 ---- 0.14 0.11
 -------- 09:00 0.28 ---- 0.14 0.10
 -------- 10:00 0.21 ---- 0.15 0.11
 -------- 11:00 0.19 ---- 0.15 0.11
 -------- 12:00 0.21 ---- 0.16 0.11
 26.12.12 13:00 0.23 ---- 0.16 0.14
 -------- 14:00 0.25 ---- 0.15 0.15
 -------- 15:00 0.27 ---- 0.15 0.14
 -------- 16:00 0.21 ---- 0.15 0.10
 -------- 17:00 0.22 ---- 0.14 0.13
 26.12.12 18:00 0.28 ---- 0.18 0.15
 -------- 19:00 0.22 ---- 0.17 0.13
 -------- 20:00 0.22 ---- 0.15 0.14
 -------- 21:00 0.15 ---- 0.13 0.11
 -------- 22:00 0.18 ---- 0.13 0.08
 26.12.12 23:00 0.17 ---- 0.13 0.07
 -------- 00:00 0.16 ---- 0.13 0.06
 -------- 01:00 0.15 ---- 0.12 0.07
 -------- 02:00 0.16 ---- 0.13 0.09
 -------- 03:00 0.13 ---- 0.13 0.09
 27.12.12 04:00 0.17 ---- 0.14 0.13
 -------- 05:00 0.17 ---- 0.15 0.14
 -------- 06:00 0.21 ---- 0.15 0.16
 -------- 07:00 0.30 ---- 0.19 0.26
 -------- 08:00 0.34 ---- 0.18 0.20
 27.12.12 09:00 0.32 ---- 0.18 0.18
 -------- 10:00 0.30 ---- 0.19 0.17
 -------- 11:00 0.37 ---- 0.20 0.22
