 Date Time OZ NO2 CHX NO
 02.10.12 23:00 0.04 0.65 1.71 0.51
 -------- 00:00 0.04 0.64 1.68 0.47
 -------- 01:00 0.04 0.62 1.66 0.49
 -------- 02:00 0.04 0.60 1.65 0.43
 -------- 03:00 0.04 0.60 1.64 0.42
 03.10.12 04:00 0.06 0.58 1.63 0.38
 -------- 05:00 0.07 0.56 1.61 0.36
 -------- 06:00 0.06 0.53 1.61 0.35
 -------- 07:00 0.05 0.53 1.63 0.41
 -------- 08:00 0.05 0.54 1.63 0.42
 03.10.12 09:00 0.04 0.54 1.64 0.41
 -------- 10:00 0.04 0.54 1.66 0.47
 -------- 11:00 0.04 0.55 1.68 0.51
 -------- 12:00 0.04 0.56 1.68 0.52
 -------- 13:00 0.05 0.56 1.68 0.54
 03.10.12 14:00 0.05 0.55 1.66 0.51
 -------- 15:00 0.05 0.55 1.65 0.51
 -------- 16:00 0.04 0.57 1.66 0.53
 -------- 17:00 0.04 0.55 1.68 0.53
 -------- 18:00 0.04 0.56 1.69 0.48
 03.10.12 19:00 0.04 0.55 1.71 0.48
 -------- 20:00 0.04 0.54 1.74 0.53
 -------- 21:00 0.04 0.54 1.76 0.61
 -------- 22:00 0.04 0.55 1.80 0.65
 -------- 23:00 0.04 0.56 1.81 0.72
 04.10.12 00:00 0.04 0.54 1.82 0.66
 -------- 01:00 0.04 0.53 1.82 0.57
 -------- 02:00 0.04 0.54 1.80 0.62
 -------- 03:00 0.04 0.53 1.80 0.62
 -------- 04:00 0.04 0.52 1.89 0.63
 04.10.12 05:00 0.04 0.50 2.03 0.62
 -------- 06:00 0.04 0.49 2.09 0.62
 -------- 07:00 0.04 0.48 2.02 0.58
 -------- 08:00 0.04 0.47 1.95 0.59
 -------- 09:00 0.04 0.47 1.94 0.53
 04.10.12 10:00 0.05 0.47 1.85 0.46
 -------- 11:00 0.05 0.47 1.79 0.43
