 Date Time CO OZ NO2 NO
 31.03.13 00:00 1.11 0.39 0.21 0.04
 -------- 01:00 1.15 0.39 0.18 0.03
 -------- 02:00 1.19 0.37 0.18 0.02
 -------- 03:00 1.23 0.34 0.18 0.03
 -------- 04:00 1.27 0.31 0.18 0.03
 31.03.13 05:00 1.33 0.29 0.18 0.03
 -------- 06:00 1.33 0.28 0.20 0.04
 -------- 07:00 1.38 0.20 0.22 0.05
 -------- 08:00 1.48 0.14 0.25 0.07
 -------- 09:00 1.56 0.10 0.27 0.10
 31.03.13 10:00 1.52 0.11 0.28 0.11
 -------- 11:00 1.45 0.15 0.25 0.09
 -------- 12:00 1.36 0.17 0.25 0.09
 -------- 13:00 1.34 0.17 0.25 0.09
 -------- 14:00 1.37 0.15 0.26 0.11
 31.03.13 15:00 1.40 0.13 0.28 0.13
 -------- 16:00 1.43 0.17 0.25 0.08
 -------- 17:00 1.45 0.31 0.19 0.03
 -------- 18:00 1.47 0.32 0.21 0.03
 -------- 19:00 1.51 0.31 0.21 0.03
 31.03.13 20:00 1.56 0.24 0.23 0.03
 -------- 21:00 1.74 0.12 0.29 0.09
 -------- 22:00 1.66 0.14 0.27 0.06
 -------- 23:00 1.17 0.05 0.36 0.29
 -------- 00:00 1.81 0.05 0.34 0.23
 01.04.13 01:00 1.85 0.05 0.33 0.29
 -------- 02:00 1.85 0.05 0.32 0.29
 -------- 03:00 1.77 0.05 0.30 0.20
 -------- 04:00 1.73 0.05 0.29 0.19
 -------- 05:00 1.69 0.05 0.28 0.21
 01.04.13 06:00 1.71 0.05 0.29 0.28
 -------- 07:00 1.65 0.05 0.27 0.25
 -------- 08:00 1.56 0.06 0.27 0.16
 -------- 09:00 1.46 0.07 0.26 0.15
 -------- 10:00 1.35 0.09 0.24 0.13
 01.04.13 11:00 1.28 0.10 0.21 0.13
 -------- 12:00 1.21 0.10 0.21 0.12
 -------- 13:00 1.19 0.10 0.22 0.11
 -------- 14:00 1.21 0.08 0.24 0.16
 -------- 15:00 1.31 0.12 0.22 0.10
 01.04.13 16:00 1.29 0.13 0.21 0.09
 -------- 17:00 1.34 0.12 0.22 0.09
 -------- 18:00 1.57 0.07 0.25 0.12
 -------- 19:00 1.66 0.06 0.25 0.10
 -------- 20:00 1.71 0.07 0.24 0.10
 01.04.13 21:00 1.69 0.08 0.24 0.09
 -------- 22:00 1.69 0.06 0.27 0.10
 -------- 23:00 1.77 0.06 0.28 0.15
